period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1699.0,1699.0,1788.0,1788.0,1162.0,1162.0,4648.0,52828.0,4648.0,4648.0,,,,,1618.0,1618.0,1703.0,1703.0,1106.0,1106.0,4427.0,52607.0,4427.0,4427.0,4.0,9.48
2,2.0,2.0,11500.0,23000,,,,,1699.0,3397.0,1788.0,3576.0,1162.0,2323.0,4648.0,57476.0,4648.0,9296.0,,,,,1541.0,3159.0,1622.0,3325.0,1054.0,2160.0,4216.0,56823.0,4216.0,8643.0,4.0,13.48
3,3.0,3.0,11500.0,34500,,,,,1699.0,5096.0,1788.0,5364.0,1162.0,3484.0,4648.0,62124.0,4648.0,13944.0,,,,,1467.0,4626.0,1545.0,4869.0,1003.0,3163.0,4015.0,60838.0,4015.0,12658.0,4.0,17.48
4,4.0,4.0,11500.0,46000,,,,,1699.0,6795.0,1788.0,7152.0,1162.0,4646.0,4648.0,66773.0,4648.0,18593.0,,,,,1397.0,6023.0,1471.0,6340.0,956.0,4119.0,3824.0,64662.0,3824.0,16482.0,4.0,21.49
5,5.0,5.0,11500.0,57500,,,,,1699.0,8493.0,1788.0,8940.0,1162.0,5808.0,4648.0,71421.0,4648.0,23241.0,,,,,1331.0,7354.0,1401.0,7741.0,910.0,5029.0,3642.0,68304.0,3642.0,20124.0,4.0,25.49
6,6.0,6.0,11500.0,69000,,,,,1699.0,10192.0,1788.0,10728.0,1162.0,6969.0,4648.0,76069.0,4648.0,27889.0,,,,,1268.0,8622.0,1334.0,9075.0,867.0,5895.0,3469.0,71773.0,3469.0,23593.0,4.0,29.5
7,7.0,7.0,11500.0,80500,,,,,1699.0,11891.0,1788.0,12516.0,1162.0,8130.0,4648.0,80717.0,4648.0,32537.0,,,,,1207.0,9829.0,1271.0,10346.0,825.0,6721.0,3303.0,75076.0,3303.0,26896.0,4.0,33.5
8,8.0,8.0,11500.0,92000,,,,,1699.0,13589.0,1788.0,14304.0,1162.0,9292.0,4648.0,85365.0,4648.0,37185.0,,,,,1150.0,10979.0,1210.0,11556.0,786.0,7507.0,3146.0,78222.0,3146.0,30042.0,4.0,37.51
8.9,8.9,8.9,10350.000000000004,102350,,,,,1529.0,15118.0,1609.0,15913.0,1045.0,10337.0,4183.0,89549.0,4183.0,41369.0,,,,,990.0,11969.0,1042.0,12599.0,677.0,8184.0,2710.0,80932.0,2710.0,32752.0,3.6,41.11
post-use,8.9,9.790000000000001,0.0,102350,0,48180,0,0,0.0,15118.0,0.0,15913.0,0.0,10337.0,0.0,89549.0,0.0,41369.0,0,48180,0,0,0.0,11969.0,0.0,12599.0,0.0,8184.0,0.0,80932.0,0.0,32752.0,0.0,41.11
