period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0,0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1,1.0,13000,13000,,,-1389.0,-1389.0,1127.0,1127.0,1884,1884,793,793,2415.0,71545.0,2415.0,2415.0,,,-1323.0,-1323.0,1073.0,1073.0,1794.0,1794.0,755.0,755.0,2300.0,71430.0,2300.0,2300.0,1.38,11.2
2,2,2.0,13000,26000,,,,,1127.0,2254.0,1884,3768,793,1586,3804.0,75349.0,3804.0,6219.0,,,,,1022.0,2095.0,1709.0,3503.0,719.0,1475.0,3450.0,74880.0,3450.0,5750.0,1.38,12.58
3,3,3.0,13000,39000,,,,,1127.0,3381.0,1884,5652,793,2379,3804.0,79153.0,3804.0,10023.0,,,,,973.0,3069.0,1627.0,5131.0,685.0,2160.0,3286.0,78166.0,3286.0,9036.0,1.38,13.95
4,4,4.0,13000,52000,,,,,1127.0,4507.0,1884,7536,793,3172,3804.0,82957.0,3804.0,13827.0,,,,,927.0,3996.0,1550.0,6681.0,652.0,2812.0,3129.0,81296.0,3129.0,12166.0,1.38,15.33
5,5,5.0,13000,65000,,,,,1127.0,5634.0,1884,9420,793,3965,3804.0,86761.0,3804.0,17631.0,,,,,883.0,4879.0,1476.0,8157.0,621.0,3433.0,2980.0,84276.0,2980.0,15146.0,1.38,16.7
6,6,6.0,13000,78000,,,,,1127.0,6761.0,1884,11304,793,4758,3804.0,90564.0,3804.0,21434.0,,,,,841.0,5719.0,1406.0,9563.0,592.0,4025.0,2838.0,87115.0,2838.0,17985.0,1.38,18.08
7,7,7.0,13000,91000,,,,,1127.0,7888.0,1884,13188,793,5551,3804.0,94368.0,3804.0,25238.0,,,,,801.0,6520.0,1339.0,10902.0,564.0,4589.0,2703.0,89818.0,2703.0,20688.0,1.38,19.46
8,8,8.0,13000,104000,,,,,1127.0,9015.0,1884,15072,793,6344,3804.0,98172.0,3804.0,29042.0,,,,,763.0,7283.0,1275.0,12177.0,537.0,5125.0,2575.0,92392.0,2575.0,23262.0,1.38,20.83
9,9,9.0,13000,117000,,,,,1127.0,10142.0,1884,16956,793,7137,3804.0,101976.0,3804.0,32846.0,,,,,726.0,8009.0,1214.0,13391.0,511.0,5637.0,2452.0,94844.0,2452.0,25714.0,1.38,22.21
10,10,10.0,13000,130000,,,,,1127.0,11268.0,1884,18840,793,7930,3804.0,105780.0,3804.0,36650.0,,,,,692.0,8701.0,1157.0,14548.0,487.0,6123.0,2335.0,97180.0,2335.0,28050.0,1.38,23.59
11,11,11.0,13000,143000,,,,,1127.0,12395.0,1884,20724,793,8723,3804.0,109584.0,3804.0,40454.0,,,,,659.0,9360.0,1102.0,15649.0,464.0,6587.0,2224.0,99404.0,2224.0,30274.0,1.38,24.96
12,12,12.0,13000,156000,,,,,1127.0,13522.0,1884,22608,793,9516,3804.0,113387.0,3804.0,44257.0,,,,,627.0,9987.0,1049.0,16698.0,442.0,7029.0,2118.0,101522.0,2118.0,32392.0,1.38,26.34
13,13,13.0,13000,169000,,,,,1127.0,14649.0,1884,24492,793,10309,3804.0,117191.0,3804.0,48061.0,,,,,598.0,10585.0,999.0,17697.0,421.0,7449.0,2017.0,103539.0,2017.0,34409.0,1.38,27.72
post-use,13,14.3,0,169000,0,69130,0.0,-1389.0,0.0,14649.0,0,24492,0,10309,0.0,117191.0,0.0,48061.0,0,69130,0.0,-1323.0,0.0,10585.0,0.0,17697.0,0.0,7449.0,0.0,103539.0,0.0,34409.0,0.0,27.72
