period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,1328.0,1328.0,1884,1884,869.0,869.0,-71.0,69059.0,-71.0,-71.0,,,-3955.0,-3955.0,1265.0,1265.0,1794.0,1794.0,828.0,828.0,-68.0,69062.0,-68.0,-68.0,1.51,11.33
2,2.0,2.0,14250,28500,,,,,1328.0,2657.0,1884,3768,869.0,1738.0,4082.0,73140.0,4082.0,4010.0,,,,,1205.0,2470.0,1709.0,3503.0,788.0,1616.0,3702.0,72764.0,3702.0,3634.0,1.51,12.84
3,3.0,3.0,14250,42750,,,,,1328.0,3985.0,1884,5652,869.0,2608.0,4082.0,77222.0,4082.0,8092.0,,,,,1147.0,3617.0,1627.0,5131.0,751.0,2367.0,3526.0,76290.0,3526.0,7160.0,1.51,14.35
4,4.0,4.0,14250,57000,,,,,1328.0,5313.0,1884,7536,869.0,3477.0,4082.0,81303.0,4082.0,12173.0,,,,,1093.0,4710.0,1550.0,6681.0,715.0,3082.0,3358.0,79648.0,3358.0,10518.0,1.51,15.86
5,5.0,5.0,14250,71250,,,,,1328.0,6641.0,1884,9420,869.0,4346.0,4082.0,85385.0,4082.0,16255.0,,,,,1041.0,5751.0,1476.0,8157.0,681.0,3763.0,3198.0,82846.0,3198.0,13716.0,1.51,17.37
6,6.0,6.0,14250,85500,,,,,1328.0,7970.0,1884,11304,869.0,5216.0,4082.0,89466.0,4082.0,20336.0,,,,,991.0,6742.0,1406.0,9563.0,649.0,4412.0,3046.0,85891.0,3046.0,16761.0,1.51,18.88
7,7.0,7.0,14250,99750,,,,,1328.0,9298.0,1884,13188,869.0,6085.0,4082.0,93548.0,4082.0,24418.0,,,,,944.0,7686.0,1339.0,10902.0,618.0,5030.0,2901.0,88792.0,2901.0,19662.0,1.51,20.38
8,8.0,8.0,14250,114000,,,,,1328.0,10626.0,1884,15072,869.0,6954.0,4082.0,97629.0,4082.0,28499.0,,,,,899.0,8585.0,1275.0,12177.0,588.0,5618.0,2763.0,91555.0,2763.0,22425.0,1.51,21.89
9,9.0,9.0,14250,128250,,,,,1328.0,11955.0,1884,16956,869.0,7823.0,4082.0,101711.0,4082.0,32581.0,,,,,856.0,9441.0,1214.0,13391.0,560.0,6178.0,2631.0,94186.0,2631.0,25056.0,1.51,23.4
10,10.0,10.0,14250,142500,,,,,1328.0,13283.0,1884,18840,869.0,8692.0,4082.0,105792.0,4082.0,36662.0,,,,,815.0,10257.0,1157.0,14548.0,534.0,6712.0,2506.0,96691.0,2506.0,27561.0,1.51,24.91
11,11.0,11.0,14250,156750,,,,,1328.0,14611.0,1884,20724,869.0,9562.0,4082.0,109874.0,4082.0,40744.0,,,,,777.0,11033.0,1102.0,15649.0,508.0,7220.0,2386.0,99078.0,2386.0,29948.0,1.51,26.42
11.5,11.5,11.5,7125,163875,,,,,664.0,15275.0,942,21666,435.0,9996.0,2041.0,111915.0,2041.0,42785.0,,,,,379.0,11412.0,537.0,16187.0,248.0,7468.0,1164.0,100242.0,1164.0,31112.0,0.75,27.17
post-use,11.5,12.65,0,163875,0,69130,0,-4153,0.0,15275.0,0,21666,0.0,9996.0,0.0,111915.0,0.0,42785.0,0,69130,0.0,-3955.0,0.0,11412.0,0.0,16187.0,0.0,7468.0,0.0,100242.0,0.0,31112.0,0.0,27.17
