period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,1072.0,1072.0,1884.0,1884.0,702.0,702.0,-3843.0,65287.0,-3843.0,-3843.0,,,-7143.0,-7143.0,1021.0,1021.0,1794.0,1794.0,668.0,668.0,-3660.0,65470.0,-3660.0,-3660.0,1.22,11.04
2,2.0,2.0,11500.0,23000,,,,,1072.0,2144.0,1884.0,3768.0,702.0,1403.0,3657.0,68945.0,3657.0,-185.0,,,,,972.0,1993.0,1709.0,3503.0,636.0,1304.0,3317.0,68788.0,3317.0,-342.0,1.22,12.26
3,3.0,3.0,11500.0,34500,,,,,1072.0,3216.0,1884.0,5652.0,702.0,2104.0,3657.0,72602.0,3657.0,3472.0,,,,,926.0,2919.0,1627.0,5131.0,606.0,1910.0,3159.0,71947.0,3159.0,2817.0,1.22,13.48
4,4.0,4.0,11500.0,46000,,,,,1072.0,4288.0,1884.0,7536.0,702.0,2806.0,3657.0,76260.0,3657.0,7130.0,,,,,882.0,3801.0,1550.0,6681.0,577.0,2487.0,3009.0,74956.0,3009.0,5826.0,1.22,14.69
5,5.0,5.0,11500.0,57500,,,,,1072.0,5360.0,1884.0,9420.0,702.0,3508.0,3657.0,79917.0,3657.0,10787.0,,,,,840.0,4641.0,1476.0,8157.0,550.0,3037.0,2866.0,77822.0,2866.0,8692.0,1.22,15.91
6,6.0,6.0,11500.0,69000,,,,,1072.0,6432.0,1884.0,11304.0,702.0,4209.0,3657.0,83575.0,3657.0,14445.0,,,,,800.0,5441.0,1406.0,9563.0,523.0,3561.0,2729.0,80551.0,2729.0,11421.0,1.22,17.13
7,7.0,7.0,11500.0,80500,,,,,1072.0,7504.0,1884.0,13188.0,702.0,4910.0,3657.0,87232.0,3657.0,18102.0,,,,,762.0,6203.0,1339.0,10902.0,499.0,4059.0,2599.0,83151.0,2599.0,14021.0,1.22,18.35
8,8.0,8.0,11500.0,92000,,,,,1072.0,8576.0,1884.0,15072.0,702.0,5612.0,3657.0,90890.0,3657.0,21760.0,,,,,726.0,6928.0,1275.0,12177.0,475.0,4534.0,2476.0,85626.0,2476.0,16496.0,1.22,19.56
8.9,8.9,8.9,10350.000000000004,102350,,,,,965.0,9540.0,1696.0,16768.0,631.0,6243.0,3292.0,94181.0,3292.0,25051.0,,,,,625.0,7553.0,1098.0,13275.0,409.0,4943.0,2132.0,87758.0,2132.0,18628.0,1.1,20.66
post-use,8.9,9.790000000000001,0.0,102350,0,69130,0,-7500,0.0,9540.0,0.0,16768.0,0.0,6243.0,0.0,94181.0,0.0,25051.0,0,69130,0.0,-7143.0,0.0,7553.0,0.0,13275.0,0.0,4943.0,0.0,87758.0,0.0,18628.0,0.0,20.66
