period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,735.0,735.0,1884,1884,869.0,869.0,-665.0,68465.0,-665.0,-665.0,,,-4032.0,-4032.0,714.0,714.0,1829.0,1829.0,844.0,844.0,-645.0,68485.0,-645.0,-645.0,2.82,12.65
2,2.0,2.0,14250,28500,,,,,735.0,1470.0,1884,3768,869.0,1738.0,3488.0,71954.0,3488.0,2824.0,,,,,693.0,1407.0,1776.0,3605.0,819.0,1663.0,3288.0,71773.0,3288.0,2643.0,2.82,15.47
3,3.0,3.0,14250,42750,,,,,735.0,2206.0,1884,5652,869.0,2608.0,3488.0,75442.0,3488.0,6312.0,,,,,673.0,2080.0,1724.0,5329.0,795.0,2459.0,3192.0,74965.0,3192.0,5835.0,2.82,18.29
4,4.0,4.0,14250,57000,,,,,735.0,2941.0,1884,7536,869.0,3477.0,3488.0,78931.0,3488.0,9801.0,,,,,653.0,2733.0,1674.0,7003.0,772.0,3231.0,3099.0,78065.0,3099.0,8935.0,2.82,21.12
5,5.0,5.0,14250,71250,,,,,735.0,3676.0,1884,9420,869.0,4346.0,3488.0,82419.0,3488.0,13289.0,,,,,634.0,3367.0,1625.0,8628.0,750.0,3981.0,3009.0,81074.0,3009.0,11944.0,2.82,23.94
6,6.0,6.0,14250,85500,,,,,735.0,4411.0,1884,11304,869.0,5216.0,3488.0,85908.0,3488.0,16778.0,,,,,616.0,3983.0,1578.0,10206.0,728.0,4709.0,2922.0,83996.0,2922.0,14866.0,2.82,26.77
7,7.0,7.0,14250,99750,,,,,735.0,5147.0,1884,13188,869.0,6085.0,3488.0,89396.0,3488.0,20266.0,,,,,598.0,4581.0,1532.0,11738.0,707.0,5416.0,2836.0,86832.0,2836.0,17702.0,2.82,29.59
8,8.0,8.0,14250,114000,,,,,735.0,5882.0,1884,15072,869.0,6954.0,3488.0,92885.0,3488.0,23755.0,,,,,580.0,5161.0,1487.0,13225.0,686.0,6102.0,2754.0,89586.0,2754.0,20456.0,2.82,32.41
9,9.0,9.0,14250,128250,,,,,735.0,6617.0,1884,16956,869.0,7823.0,3488.0,96373.0,3488.0,27243.0,,,,,563.0,5725.0,1444.0,14669.0,666.0,6768.0,2674.0,92260.0,2674.0,23130.0,2.82,35.24
10,10.0,10.0,14250,142500,,,,,735.0,7352.0,1884,18840,869.0,8692.0,3488.0,99862.0,3488.0,30732.0,,,,,547.0,6272.0,1402.0,16071.0,647.0,7415.0,2596.0,94855.0,2596.0,25725.0,2.82,38.06
11,11.0,11.0,14250,156750,,,,,735.0,8087.0,1884,20724,869.0,9562.0,3488.0,103350.0,3488.0,34220.0,,,,,531.0,6803.0,1361.0,17432.0,628.0,8043.0,2520.0,97375.0,2520.0,28245.0,2.82,40.89
11.5,11.5,11.5,7125,163875,,,,,368.0,8455.0,942,21666,435.0,9996.0,1744.0,105094.0,1744.0,35964.0,,,,,262.0,7064.0,671.0,18102.0,309.0,8352.0,1242.0,98617.0,1242.0,29487.0,1.41,42.3
post-use,11.5,12.65,0,163875,0,69130,0,-4153,0.0,8455.0,0,21666,0.0,9996.0,0.0,105094.0,0.0,35964.0,0,69130,0.0,-4032.0,0.0,7064.0,0.0,18102.0,0.0,8352.0,0.0,98617.0,0.0,29487.0,0.0,42.3
