period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,817.0,817.0,1884,1884,869.0,869.0,-583.0,68547.0,-583.0,-583.0,,,-3955.0,-3955.0,778.0,778.0,1794.0,1794.0,828.0,828.0,-555.0,68575.0,-555.0,-555.0,2.65,12.48
2,2.0,2.0,14250,28500,,,,,817.0,1634.0,1884,3768,869.0,1738.0,3570.0,72118.0,3570.0,2988.0,,,,,741.0,1519.0,1709.0,3503.0,788.0,1616.0,3238.0,71813.0,3238.0,2683.0,2.65,15.13
3,3.0,3.0,14250,42750,,,,,817.0,2451.0,1884,5652,869.0,2608.0,3570.0,75688.0,3570.0,6558.0,,,,,706.0,2225.0,1627.0,5131.0,751.0,2367.0,3084.0,74898.0,3084.0,5768.0,2.65,17.78
4,4.0,4.0,14250,57000,,,,,817.0,3268.0,1884,7536,869.0,3477.0,3570.0,79258.0,3570.0,10128.0,,,,,672.0,2897.0,1550.0,6681.0,715.0,3082.0,2937.0,77835.0,2937.0,8705.0,2.65,20.44
5,5.0,5.0,14250,71250,,,,,817.0,4085.0,1884,9420,869.0,4346.0,3570.0,82828.0,3570.0,13698.0,,,,,640.0,3537.0,1476.0,8157.0,681.0,3763.0,2797.0,80632.0,2797.0,11502.0,2.65,23.09
6,6.0,6.0,14250,85500,,,,,817.0,4902.0,1884,11304,869.0,5216.0,3570.0,86399.0,3570.0,17269.0,,,,,610.0,4147.0,1406.0,9563.0,649.0,4412.0,2664.0,83296.0,2664.0,14166.0,2.65,25.74
7,7.0,7.0,14250,99750,,,,,817.0,5719.0,1884,13188,869.0,6085.0,3570.0,89969.0,3570.0,20839.0,,,,,581.0,4728.0,1339.0,10902.0,618.0,5030.0,2537.0,85834.0,2537.0,16704.0,2.65,28.4
8,8.0,8.0,14250,114000,,,,,817.0,6536.0,1884,15072,869.0,6954.0,3570.0,93539.0,3570.0,24409.0,,,,,553.0,5281.0,1275.0,12177.0,588.0,5618.0,2417.0,88250.0,2417.0,19120.0,2.65,31.05
9,9.0,9.0,14250,128250,,,,,817.0,7353.0,1884,16956,869.0,7823.0,3570.0,97110.0,3570.0,27980.0,,,,,527.0,5807.0,1214.0,13391.0,560.0,6178.0,2301.0,90552.0,2301.0,21422.0,2.65,33.71
10,10.0,10.0,14250,142500,,,,,817.0,8170.0,1884,18840,869.0,8692.0,3570.0,100680.0,3570.0,31550.0,,,,,502.0,6309.0,1157.0,14548.0,534.0,6712.0,2192.0,92744.0,2192.0,23614.0,2.65,36.36
11,11.0,11.0,14250,156750,,,,,817.0,8987.0,1884,20724,869.0,9562.0,3570.0,104250.0,3570.0,35120.0,,,,,478.0,6787.0,1102.0,15649.0,508.0,7220.0,2087.0,94831.0,2087.0,25701.0,2.65,39.01
11.5,11.5,11.5,7125,163875,,,,,409.0,9396.0,942,21666,435.0,9996.0,1785.0,106035.0,1785.0,36905.0,,,,,233.0,7020.0,537.0,16187.0,248.0,7468.0,1019.0,95850.0,1019.0,26720.0,1.33,40.34
post-use,11.5,12.65,0,163875,0,69130,0,-4153,0.0,9396.0,0,21666,0.0,9996.0,0.0,106035.0,0.0,36905.0,0,69130,0.0,-3955.0,0.0,7020.0,0.0,16187.0,0.0,7468.0,0.0,95850.0,0.0,26720.0,0.0,40.34
