period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,14250,14250,,,-4153,-4153,846.0,846.0,1884,1884,869.0,869.0,-554.0,68576.0,-554.0,-554.0,,,-3881.0,-3881.0,790.0,790.0,1761.0,1761.0,812.0,812.0,-518.0,68612.0,-518.0,-518.0,2.65,12.48
2,2.0,2.0,14250,28500,,,,,846.0,1692.0,1884,3768,869.0,1738.0,3599.0,72175.0,3599.0,3045.0,,,,,739.0,1529.0,1646.0,3406.0,759.0,1572.0,3144.0,71756.0,3144.0,2626.0,2.65,15.13
3,3.0,3.0,14250,42750,,,,,846.0,2537.0,1884,5652,869.0,2608.0,3599.0,75774.0,3599.0,6644.0,,,,,690.0,2220.0,1538.0,4944.0,710.0,2281.0,2938.0,74694.0,2938.0,5564.0,2.65,17.78
4,4.0,4.0,14250,57000,,,,,846.0,3383.0,1884,7536,869.0,3477.0,3599.0,79373.0,3599.0,10243.0,,,,,645.0,2865.0,1437.0,6382.0,663.0,2944.0,2746.0,77440.0,2746.0,8310.0,2.65,20.44
5,5.0,5.0,14250,71250,,,,,846.0,4229.0,1884,9420,869.0,4346.0,3599.0,82972.0,3599.0,13842.0,,,,,603.0,3468.0,1343.0,7725.0,620.0,3564.0,2566.0,80006.0,2566.0,10876.0,2.65,23.09
6,6.0,6.0,14250,85500,,,,,846.0,5075.0,1884,11304,869.0,5216.0,3599.0,86571.0,3599.0,17441.0,,,,,564.0,4032.0,1255.0,8980.0,579.0,4143.0,2398.0,82404.0,2398.0,13274.0,2.65,25.74
7,7.0,7.0,14250,99750,,,,,846.0,5921.0,1884,13188,869.0,6085.0,3599.0,90171.0,3599.0,21041.0,,,,,527.0,4558.0,1173.0,10153.0,541.0,4685.0,2241.0,84645.0,2241.0,15515.0,2.65,28.4
8,8.0,8.0,14250,114000,,,,,846.0,6767.0,1884,15072,869.0,6954.0,3599.0,93770.0,3599.0,24640.0,,,,,492.0,5051.0,1097.0,11250.0,506.0,5191.0,2095.0,86740.0,2095.0,17610.0,2.65,31.05
9,9.0,9.0,14250,128250,,,,,846.0,7612.0,1884,16956,869.0,7823.0,3599.0,97369.0,3599.0,28239.0,,,,,460.0,5511.0,1025.0,12275.0,473.0,5663.0,1958.0,88697.0,1958.0,19567.0,2.65,33.71
10,10.0,10.0,14250,142500,,,,,846.0,8458.0,1884,18840,869.0,8692.0,3599.0,100968.0,3599.0,31838.0,,,,,430.0,5941.0,958.0,13232.0,442.0,6105.0,1830.0,90527.0,1830.0,21397.0,2.65,36.36
11,11.0,11.0,14250,156750,,,,,846.0,9304.0,1884,20724,869.0,9562.0,3599.0,104567.0,3599.0,35437.0,,,,,402.0,6343.0,895.0,14128.0,413.0,6518.0,1710.0,92237.0,1710.0,23107.0,2.65,39.01
11.5,11.5,11.5,7125,163875,,,,,423.0,9727.0,942,21666,435.0,9996.0,1800.0,106366.0,1800.0,37236.0,,,,,194.0,6537.0,433.0,14560.0,200.0,6718.0,827.0,93063.0,827.0,23933.0,1.33,40.34
post-use,11.5,12.65,0,163875,0,69130,0,-4153,0.0,9727.0,0,21666,0.0,9996.0,0.0,106366.0,0.0,37236.0,0,69130,0.0,-3881.0,0.0,6537.0,0.0,14560.0,0.0,6718.0,0.0,93063.0,0.0,23933.0,0.0,40.34
