period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000,13000,,,-4153,-4153,629.0,629.0,1884,1884,793.0,793.0,-847.0,68283.0,-847.0,-847.0,,,-3955.0,-3955.0,599.0,599.0,1794.0,1794.0,755.0,755.0,-807.0,68323.0,-807.0,-807.0,0.6,10.42
2,2.0,2.0,13000,26000,,,,,629.0,1258.0,1884,3768,793.0,1586.0,3306.0,71589.0,3306.0,2459.0,,,,,571.0,1170.0,1709.0,3503.0,719.0,1475.0,2999.0,71322.0,2999.0,2192.0,0.6,11.02
3,3.0,3.0,13000,39000,,,,,629.0,1887.0,1884,5652,793.0,2379.0,3306.0,74895.0,3306.0,5765.0,,,,,543.0,1713.0,1627.0,5131.0,685.0,2160.0,2856.0,74178.0,2856.0,5048.0,0.6,11.62
4,4.0,4.0,13000,52000,,,,,629.0,2516.0,1884,7536,793.0,3172.0,3306.0,78201.0,3306.0,9071.0,,,,,518.0,2231.0,1550.0,6681.0,652.0,2812.0,2720.0,76898.0,2720.0,7768.0,0.6,12.22
5,5.0,5.0,13000,65000,,,,,629.0,3145.0,1884,9420,793.0,3965.0,3306.0,81507.0,3306.0,12377.0,,,,,493.0,2723.0,1476.0,8157.0,621.0,3433.0,2590.0,79488.0,2590.0,10358.0,0.6,12.82
6,6.0,6.0,13000,78000,,,,,629.0,3774.0,1884,11304,793.0,4758.0,3306.0,84813.0,3306.0,15683.0,,,,,469.0,3193.0,1406.0,9563.0,592.0,4025.0,2467.0,81955.0,2467.0,12825.0,0.6,13.42
7,7.0,7.0,13000,91000,,,,,629.0,4403.0,1884,13188,793.0,5551.0,3306.0,88119.0,3306.0,18989.0,,,,,447.0,3640.0,1339.0,10902.0,564.0,4589.0,2350.0,84305.0,2350.0,15175.0,0.6,14.02
8,8.0,8.0,13000,104000,,,,,629.0,5032.0,1884,15072,793.0,6344.0,3306.0,91425.0,3306.0,22295.0,,,,,426.0,4066.0,1275.0,12177.0,537.0,5125.0,2238.0,86542.0,2238.0,17412.0,0.6,14.62
9,9.0,9.0,13000,117000,,,,,629.0,5661.0,1884,16956,793.0,7137.0,3306.0,94731.0,3306.0,25601.0,,,,,405.0,4471.0,1214.0,13391.0,511.0,5637.0,2131.0,88673.0,2131.0,19543.0,0.6,15.22
10,10.0,10.0,13000,130000,,,,,629.0,6290.0,1884,18840,793.0,7930.0,3306.0,98037.0,3306.0,28907.0,,,,,386.0,4857.0,1157.0,14548.0,487.0,6123.0,2030.0,90703.0,2030.0,21573.0,0.6,15.83
11,11.0,11.0,13000,143000,,,,,629.0,6919.0,1884,20724,793.0,8723.0,3306.0,101343.0,3306.0,32213.0,,,,,368.0,5225.0,1102.0,15649.0,464.0,6587.0,1933.0,92636.0,1933.0,23506.0,0.6,16.43
11.5,11.5,11.5,6500,149500,,,,,315.0,7234.0,942,21666,396.0,9120.0,1653.0,102996.0,1653.0,33866.0,,,,,179.0,5404.0,537.0,16187.0,226.0,6813.0,943.0,93579.0,943.0,24449.0,0.3,16.73
post-use,11.5,12.65,0,149500,0,69130,0,-4153,0.0,7234.0,0,21666,0.0,9120.0,0.0,102996.0,0.0,33866.0,0,69130,0.0,-3955.0,0.0,5404.0,0.0,16187.0,0.0,6813.0,0.0,93579.0,0.0,24449.0,0.0,16.73
