period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,11500.0,11500,,,-7500,-7500,556.0,556.0,1884.0,1884.0,702.0,702.0,-4358.0,64772.0,-4358.0,-4358.0,,,-7143.0,-7143.0,530.0,530.0,1794.0,1794.0,668.0,668.0,-4151.0,64979.0,-4151.0,-4151.0,0.53,10.35
2,2.0,2.0,11500.0,23000,,,,,556.0,1113.0,1884.0,3768.0,702.0,1403.0,3142.0,67914.0,3142.0,-1216.0,,,,,505.0,1035.0,1709.0,3503.0,636.0,1304.0,2850.0,67829.0,2850.0,-1301.0,0.53,10.88
3,3.0,3.0,11500.0,34500,,,,,556.0,1669.0,1884.0,5652.0,702.0,2104.0,3142.0,71056.0,3142.0,1926.0,,,,,481.0,1515.0,1627.0,5131.0,606.0,1910.0,2714.0,70543.0,2714.0,1413.0,0.53,11.42
4,4.0,4.0,11500.0,46000,,,,,556.0,2226.0,1884.0,7536.0,702.0,2806.0,3142.0,74198.0,3142.0,5068.0,,,,,458.0,1973.0,1550.0,6681.0,577.0,2487.0,2585.0,73128.0,2585.0,3998.0,0.53,11.95
5,5.0,5.0,11500.0,57500,,,,,556.0,2782.0,1884.0,9420.0,702.0,3508.0,3142.0,77340.0,3142.0,8210.0,,,,,436.0,2409.0,1476.0,8157.0,550.0,3037.0,2462.0,75590.0,2462.0,6460.0,0.53,12.48
6,6.0,6.0,11500.0,69000,,,,,556.0,3339.0,1884.0,11304.0,702.0,4209.0,3142.0,80482.0,3142.0,11352.0,,,,,415.0,2824.0,1406.0,9563.0,523.0,3561.0,2345.0,77935.0,2345.0,8805.0,0.53,13.01
7,7.0,7.0,11500.0,80500,,,,,556.0,3895.0,1884.0,13188.0,702.0,4910.0,3142.0,83624.0,3142.0,14494.0,,,,,395.0,3220.0,1339.0,10902.0,499.0,4059.0,2233.0,80168.0,2233.0,11038.0,0.53,13.54
8,8.0,8.0,11500.0,92000,,,,,556.0,4452.0,1884.0,15072.0,702.0,5612.0,3142.0,86766.0,3142.0,17636.0,,,,,377.0,3596.0,1275.0,12177.0,475.0,4534.0,2127.0,82294.0,2127.0,13164.0,0.53,14.07
8.9,8.9,8.9,10350.000000000004,102350,,,,,501.0,4952.0,1696.0,16768.0,631.0,6243.0,2828.0,89593.0,2828.0,20463.0,,,,,324.0,3921.0,1098.0,13275.0,409.0,4943.0,1832.0,84126.0,1832.0,14996.0,0.48,14.55
post-use,8.9,9.790000000000001,0.0,102350,0,69130,0,-7500,0.0,4952.0,0.0,16768.0,0.0,6243.0,0.0,89593.0,0.0,20463.0,0,69130,0.0,-7143.0,0.0,3921.0,0.0,13275.0,0.0,4943.0,0.0,84126.0,0.0,14996.0,0.0,14.55
