period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1,1.0,13250,13250,,,-1389.0,-1389.0,663.0,663.0,1884,1884,808.0,808.0,1967.0,71097.0,1967.0,1967.0,,,-1323.0,-1323.0,632.0,632.0,1794.0,1794.0,770.0,770.0,1873.0,71003.0,1873.0,1873.0,0.61,10.43
2,2,2.0,13250,26500,,,,,663.0,1326.0,1884,3768,808.0,1616.0,3355.0,74452.0,3355.0,5322.0,,,,,602.0,1233.0,1709.0,3503.0,733.0,1503.0,3043.0,74047.0,3043.0,4917.0,0.61,11.05
3,3,3.0,13250,39750,,,,,663.0,1989.0,1884,5652,808.0,2425.0,3355.0,77808.0,3355.0,8678.0,,,,,573.0,1806.0,1627.0,5131.0,698.0,2201.0,2899.0,76945.0,2899.0,7815.0,0.61,11.66
4,4,4.0,13250,53000,,,,,663.0,2653.0,1884,7536,808.0,3233.0,3355.0,81163.0,3355.0,12033.0,,,,,546.0,2352.0,1550.0,6681.0,665.0,2866.0,2761.0,79706.0,2761.0,10576.0,0.61,12.27
5,5,5.0,13250,66250,,,,,663.0,3316.0,1884,9420,808.0,4041.0,3355.0,84518.0,3355.0,15388.0,,,,,520.0,2871.0,1476.0,8157.0,633.0,3499.0,2629.0,82335.0,2629.0,13205.0,0.61,12.88
6,6,6.0,13250,79500,,,,,663.0,3979.0,1884,11304,808.0,4850.0,3355.0,87874.0,3355.0,18744.0,,,,,495.0,3366.0,1406.0,9563.0,603.0,4102.0,2504.0,84838.0,2504.0,15708.0,0.61,13.49
7,7,7.0,13250,92750,,,,,663.0,4642.0,1884,13188,808.0,5658.0,3355.0,91229.0,3355.0,22099.0,,,,,471.0,3837.0,1339.0,10902.0,574.0,4677.0,2385.0,87223.0,2385.0,18093.0,0.61,14.11
8,8,8.0,13250,106000,,,,,663.0,5305.0,1884,15072,808.0,6466.0,3355.0,94585.0,3355.0,25455.0,,,,,449.0,4286.0,1275.0,12177.0,547.0,5224.0,2271.0,89494.0,2271.0,20364.0,0.61,14.72
9,9,9.0,13250,119250,,,,,663.0,5968.0,1884,16956,808.0,7274.0,3355.0,97940.0,3355.0,28810.0,,,,,427.0,4714.0,1214.0,13391.0,521.0,5745.0,2163.0,91657.0,2163.0,22527.0,0.61,15.33
10,10,10.0,13250,132500,,,,,663.0,6632.0,1884,18840,808.0,8082.0,3355.0,101295.0,3355.0,32165.0,,,,,407.0,5121.0,1157.0,14548.0,496.0,6241.0,2060.0,93717.0,2060.0,24587.0,0.61,15.94
11,11,11.0,13250,145750,,,,,663.0,7295.0,1884,20724,808.0,8891.0,3355.0,104651.0,3355.0,35521.0,,,,,388.0,5509.0,1102.0,15649.0,473.0,6714.0,1962.0,95679.0,1962.0,26549.0,0.61,16.55
12,12,12.0,13250,159000,,,,,663.0,7958.0,1884,22608,808.0,9699.0,3355.0,108006.0,3355.0,38876.0,,,,,369.0,5878.0,1049.0,16698.0,450.0,7164.0,1868.0,97547.0,1868.0,28417.0,0.61,17.16
13,13,13.0,13250,172250,,,,,663.0,8621.0,1884,24492,808.0,10507.0,3355.0,111362.0,3355.0,42232.0,,,,,352.0,6229.0,999.0,17697.0,429.0,7592.0,1779.0,99327.0,1779.0,30197.0,0.61,17.78
post-use,13,14.3,0,172250,0,69130,0.0,-1389.0,0.0,8621.0,0,24492,0.0,10507.0,0.0,111362.0,0.0,42232.0,0,69130,0.0,-1323.0,0.0,6229.0,0.0,17697.0,0.0,7592.0,0.0,99327.0,0.0,30197.0,0.0,17.78
