period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13750.0,13750,,,-7500,-7500,688.0,688.0,1884.0,1884.0,839.0,839.0,-4089.0,65041.0,-4089.0,-4089.0,,,-7143.0,-7143.0,655.0,655.0,1794.0,1794.0,799.0,799.0,-3894.0,65236.0,-3894.0,-3894.0,5.59,15.42
2,2.0,2.0,13750.0,27500,,,,,688.0,1376.0,1884.0,3768.0,839.0,1678.0,3411.0,68452.0,3411.0,-678.0,,,,,624.0,1280.0,1709.0,3503.0,761.0,1560.0,3094.0,68329.0,3094.0,-801.0,5.59,21.01
3,3.0,3.0,13750.0,41250,,,,,688.0,2065.0,1884.0,5652.0,839.0,2516.0,3411.0,71863.0,3411.0,2733.0,,,,,594.0,1874.0,1627.0,5131.0,725.0,2284.0,2946.0,71276.0,2946.0,2146.0,5.59,26.61
4,4.0,4.0,13750.0,55000,,,,,688.0,2753.0,1884.0,7536.0,839.0,3355.0,3411.0,75274.0,3411.0,6144.0,,,,,566.0,2440.0,1550.0,6681.0,690.0,2974.0,2806.0,74082.0,2806.0,4952.0,5.59,32.2
5,5.0,5.0,13750.0,68750,,,,,688.0,3441.0,1884.0,9420.0,839.0,4194.0,3411.0,78685.0,3411.0,9555.0,,,,,539.0,2979.0,1476.0,8157.0,657.0,3631.0,2673.0,76755.0,2673.0,7625.0,5.59,37.8
6,6.0,6.0,13750.0,82500,,,,,688.0,4129.0,1884.0,11304.0,839.0,5032.0,3411.0,82096.0,3411.0,12966.0,,,,,514.0,3493.0,1406.0,9563.0,626.0,4257.0,2545.0,79300.0,2545.0,10170.0,5.59,43.39
7,7.0,7.0,13750.0,96250,,,,,688.0,4817.0,1884.0,13188.0,839.0,5871.0,3411.0,85507.0,3411.0,16377.0,,,,,489.0,3982.0,1339.0,10902.0,596.0,4853.0,2424.0,81724.0,2424.0,12594.0,5.59,48.99
8,8.0,8.0,13750.0,110000,,,,,688.0,5506.0,1884.0,15072.0,839.0,6710.0,3411.0,88918.0,3411.0,19788.0,,,,,466.0,4448.0,1275.0,12177.0,568.0,5421.0,2309.0,84033.0,2309.0,14903.0,5.59,54.58
9,9.0,9.0,13750.0,123750,,,,,688.0,6194.0,1884.0,16956.0,839.0,7549.0,3411.0,92328.0,3411.0,23198.0,,,,,444.0,4892.0,1214.0,13391.0,541.0,5962.0,2199.0,86231.0,2199.0,17101.0,5.59,60.18
10,10.0,10.0,13750.0,137500,,,,,688.0,6882.0,1884.0,18840.0,839.0,8388.0,3411.0,95739.0,3411.0,26609.0,,,,,422.0,5314.0,1157.0,14548.0,515.0,6477.0,2094.0,88325.0,2094.0,19195.0,5.59,65.77
10.7,10.7,10.7,9624.99999999999,147125,,,,,482.0,7364.0,1319.0,20159.0,587.0,8975.0,2388.0,98127.0,2388.0,28997.0,,,,,286.0,5600.0,782.0,15330.0,348.0,6825.0,1417.0,89742.0,1417.0,20612.0,3.92,69.69
post-use,10.7,11.77,0.0,147125,0,69130,0,-7500,0.0,7364.0,0.0,20159.0,0.0,8975.0,0.0,98127.0,0.0,28997.0,0,69130,0.0,-7143.0,0.0,5600.0,0.0,15330.0,0.0,6825.0,0.0,89742.0,0.0,20612.0,0.0,69.69
