period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,2088.0,2088.0,1788.0,1788.0,1162.0,1162.0,5038.0,67782.0,5038.0,5038.0,,,,,1989.0,1989.0,1703.0,1703.0,1106.0,1106.0,4798.0,67542.0,4798.0,4798.0,4.53,10.0
2,2.0,2.0,11500.0,23000,,,,,2088.0,4176.0,1788.0,3576.0,1162.0,2323.0,5038.0,72819.0,5038.0,10075.0,,,,,1894.0,3882.0,1622.0,3325.0,1054.0,2160.0,4569.0,72111.0,4569.0,9367.0,4.53,14.53
3,3.0,3.0,11500.0,34500,,,,,2088.0,6264.0,1788.0,5364.0,1162.0,3484.0,5038.0,77857.0,5038.0,15113.0,,,,,1804.0,5686.0,1545.0,4869.0,1003.0,3163.0,4352.0,76463.0,4352.0,13718.0,4.53,19.05
4,4.0,4.0,11500.0,46000,,,,,2088.0,8352.0,1788.0,7152.0,1162.0,4646.0,5038.0,82894.0,5038.0,20150.0,,,,,1718.0,7404.0,1471.0,6340.0,956.0,4119.0,4144.0,80607.0,4144.0,17863.0,4.53,23.58
5,5.0,5.0,11500.0,57500,,,,,2088.0,10440.0,1788.0,8940.0,1162.0,5808.0,5038.0,87932.0,5038.0,25188.0,,,,,1636.0,9040.0,1401.0,7741.0,910.0,5029.0,3947.0,84554.0,3947.0,21810.0,4.53,28.11
6,6.0,6.0,11500.0,69000,,,,,2088.0,12528.0,1788.0,10728.0,1162.0,6969.0,5038.0,92969.0,5038.0,30225.0,,,,,1558.0,10598.0,1334.0,9075.0,867.0,5895.0,3759.0,88313.0,3759.0,25569.0,4.53,32.64
7,7.0,7.0,11500.0,80500,,,,,2088.0,14616.0,1788.0,12516.0,1162.0,8130.0,5038.0,98007.0,5038.0,35263.0,,,,,1484.0,12082.0,1271.0,10346.0,825.0,6721.0,3580.0,91893.0,3580.0,29149.0,4.53,37.17
8,8.0,8.0,11500.0,92000,,,,,2088.0,16704.0,1788.0,14304.0,1162.0,9292.0,5038.0,103044.0,5038.0,40300.0,,,,,1413.0,13495.0,1210.0,11556.0,786.0,7507.0,3410.0,95303.0,3410.0,32559.0,4.53,41.69
8.9,8.9,8.9,10350.000000000004,102350,,,,,1879.0,18583.0,1609.0,15913.0,1045.0,10337.0,4534.0,107578.0,4534.0,44834.0,,,,,1217.0,14713.0,1042.0,12599.0,677.0,8184.0,2937.0,98240.0,2937.0,35495.0,4.08,45.77
post-use,8.9,9.790000000000001,0.0,102350,0.0,62744.0,0,0,0.0,18583.0,0.0,15913.0,0.0,10337.0,0.0,107578.0,0.0,44834.0,0.0,62744.0,0,0,0.0,14713.0,0.0,12599.0,0.0,8184.0,0.0,98240.0,0.0,35495.0,0.0,45.77
