period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,2561.0,2561.0,1788,1788,1439.0,1439.0,5789.0,68533.0,5789.0,5789.0,,,,,2439.0,2439.0,1703.0,1703.0,1371.0,1371.0,5513.0,68257.0,5513.0,5513.0,5.61,11.08
2,2.0,2.0,14250,28500,,,,,2561.0,5123.0,1788,3576,1439.0,2878.0,5789.0,74322.0,5789.0,11577.0,,,,,2323.0,4763.0,1622.0,3325.0,1305.0,2676.0,5251.0,73508.0,5251.0,10764.0,5.61,16.69
3,3.0,3.0,14250,42750,,,,,2561.0,7684.0,1788,5364,1439.0,4318.0,5789.0,80110.0,5789.0,17366.0,,,,,2213.0,6975.0,1545.0,4869.0,1243.0,3919.0,5000.0,78508.0,5000.0,15764.0,5.61,22.3
4,4.0,4.0,14250,57000,,,,,2561.0,10246.0,1788,7152,1439.0,5757.0,5789.0,85899.0,5789.0,23155.0,,,,,2107.0,9083.0,1471.0,6340.0,1184.0,5104.0,4762.0,83271.0,4762.0,20526.0,5.61,27.91
5,5.0,5.0,14250,71250,,,,,2561.0,12807.0,1788,8940,1439.0,7196.0,5789.0,91688.0,5789.0,28943.0,,,,,2007.0,11090.0,1401.0,7741.0,1128.0,6231.0,4536.0,87806.0,4536.0,25062.0,5.61,33.52
6,6.0,6.0,14250,85500,,,,,2561.0,15369.0,1788,10728,1439.0,8636.0,5789.0,97477.0,5789.0,34732.0,,,,,1911.0,13001.0,1334.0,9075.0,1074.0,7305.0,4320.0,92126.0,4320.0,29382.0,5.61,39.14
7,7.0,7.0,14250,99750,,,,,2561.0,17930.0,1788,12516,1439.0,10075.0,5789.0,103265.0,5789.0,40521.0,,,,,1820.0,14821.0,1271.0,10346.0,1023.0,8328.0,4114.0,96240.0,4114.0,33496.0,5.61,44.75
8,8.0,8.0,14250,114000,,,,,2561.0,20492.0,1788,14304,1439.0,11514.0,5789.0,109054.0,5789.0,46310.0,,,,,1734.0,16555.0,1210.0,11556.0,974.0,9302.0,3918.0,100158.0,3918.0,37414.0,5.61,50.36
9,9.0,9.0,14250,128250,,,,,2561.0,23053.0,1788,16092,1439.0,12953.0,5789.0,114843.0,5789.0,52098.0,,,,,1651.0,18206.0,1153.0,12709.0,928.0,10230.0,3731.0,103889.0,3731.0,41145.0,5.61,55.97
10,10.0,10.0,14250,142500,,,,,2561.0,25614.0,1788,17880,1439.0,14392.0,5789.0,120631.0,5789.0,57887.0,,,,,1573.0,19779.0,1098.0,13806.0,884.0,11114.0,3554.0,107443.0,3554.0,44699.0,5.61,61.58
11,11.0,11.0,14250,156750,,,,,2561.0,28176.0,1788,19668,1439.0,15832.0,5789.0,126420.0,5789.0,63676.0,,,,,1498.0,21276.0,1045.0,14852.0,841.0,11955.0,3385.0,110828.0,3385.0,48083.0,5.61,67.19
11.5,11.5,11.5,7125,163875,,,,,1281.0,29457.0,894,20562,720.0,16551.0,2894.0,129314.0,2894.0,66570.0,,,,,731.0,22007.0,510.0,15362.0,411.0,12366.0,1651.0,112479.0,1651.0,49735.0,2.81,69.99
post-use,11.5,12.65,0,163875,0.0,62744.0,0,0,0.0,29457.0,0,20562,0.0,16551.0,0.0,129314.0,0.0,66570.0,0.0,62744.0,0,0,0.0,22007.0,0.0,15362.0,0.0,12366.0,0.0,112479.0,0.0,49735.0,0.0,69.99
