period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,2221.0,2221.0,1788,1788,1439.0,1439.0,5449.0,68193.0,5449.0,5449.0,,,,,2116.0,2116.0,1703.0,1703.0,1371.0,1371.0,5189.0,67933.0,5189.0,5189.0,5.61,11.08
2,2.0,2.0,14250,28500,,,,,2221.0,4443.0,1788,3576,1439.0,2878.0,5449.0,73641.0,5449.0,10897.0,,,,,2015.0,4130.0,1622.0,3325.0,1305.0,2676.0,4942.0,72875.0,4942.0,10131.0,5.61,16.69
3,3.0,3.0,14250,42750,,,,,2221.0,6664.0,1788,5364,1439.0,4318.0,5449.0,79090.0,5449.0,16346.0,,,,,1919.0,6049.0,1545.0,4869.0,1243.0,3919.0,4707.0,77582.0,4707.0,14838.0,5.61,22.3
4,4.0,4.0,14250,57000,,,,,2221.0,8885.0,1788,7152,1439.0,5757.0,5449.0,84539.0,5449.0,21794.0,,,,,1827.0,7877.0,1471.0,6340.0,1184.0,5104.0,4483.0,82065.0,4483.0,19320.0,5.61,27.91
5,5.0,5.0,14250,71250,,,,,2221.0,11107.0,1788,8940,1439.0,7196.0,5449.0,89987.0,5449.0,27243.0,,,,,1740.0,9617.0,1401.0,7741.0,1128.0,6231.0,4269.0,86334.0,4269.0,23589.0,5.61,33.52
6,6.0,6.0,14250,85500,,,,,2221.0,13328.0,1788,10728,1439.0,8636.0,5449.0,95436.0,5449.0,32691.0,,,,,1658.0,11275.0,1334.0,9075.0,1074.0,7305.0,4066.0,90400.0,4066.0,27655.0,5.61,39.14
7,7.0,7.0,14250,99750,,,,,2221.0,15549.0,1788,12516,1439.0,10075.0,5449.0,100884.0,5449.0,38140.0,,,,,1579.0,12853.0,1271.0,10346.0,1023.0,8328.0,3872.0,94272.0,3872.0,31527.0,5.61,44.75
8,8.0,8.0,14250,114000,,,,,2221.0,17770.0,1788,14304,1439.0,11514.0,5449.0,106333.0,5449.0,43588.0,,,,,1503.0,14357.0,1210.0,11556.0,974.0,9302.0,3688.0,97960.0,3688.0,35215.0,5.61,50.36
9,9.0,9.0,14250,128250,,,,,2221.0,19992.0,1788,16092,1439.0,12953.0,5449.0,111781.0,5449.0,49037.0,,,,,1432.0,15789.0,1153.0,12709.0,928.0,10230.0,3512.0,101472.0,3512.0,38727.0,5.61,55.97
10,10.0,10.0,14250,142500,,,,,2221.0,22213.0,1788,17880,1439.0,14392.0,5449.0,117230.0,5449.0,54486.0,,,,,1364.0,17152.0,1098.0,13806.0,884.0,11114.0,3345.0,104817.0,3345.0,42072.0,5.61,61.58
11,11.0,11.0,14250,156750,,,,,2221.0,24434.0,1788,19668,1439.0,15832.0,5449.0,122678.0,5449.0,59934.0,,,,,1299.0,18451.0,1045.0,14852.0,841.0,11955.0,3186.0,108002.0,3186.0,45258.0,5.61,67.19
11.5,11.5,11.5,7125,163875,,,,,1111.0,25545.0,894,20562,720.0,16551.0,2724.0,125403.0,2724.0,62658.0,,,,,634.0,19085.0,510.0,15362.0,411.0,12366.0,1554.0,109557.0,1554.0,46812.0,2.81,69.99
post-use,11.5,12.65,0,163875,0.0,62744.0,0,0,0.0,25545.0,0,20562,0.0,16551.0,0.0,125403.0,0.0,62658.0,0.0,62744.0,0,0,0.0,19085.0,0.0,15362.0,0.0,12366.0,0.0,109557.0,0.0,46812.0,0.0,69.99
