period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1,1.0,13250,13250,,,,,2065.0,2065.0,1788,1788,1338.0,1338.0,5192.0,67936.0,5192.0,5192.0,,,,,1967.0,1967.0,1703.0,1703.0,1275.0,1275.0,4944.0,67689.0,4944.0,4944.0,5.22,10.69
2,2,2.0,13250,26500,,,,,2065.0,4131.0,1788,3576,1338.0,2676.0,5192.0,73128.0,5192.0,10383.0,,,,,1873.0,3840.0,1622.0,3325.0,1214.0,2488.0,4709.0,72398.0,4709.0,9653.0,5.22,15.9
3,3,3.0,13250,39750,,,,,2065.0,6196.0,1788,5364,1338.0,4015.0,5192.0,78319.0,5192.0,15575.0,,,,,1784.0,5625.0,1545.0,4869.0,1156.0,3644.0,4485.0,76883.0,4485.0,14138.0,5.22,21.12
4,4,4.0,13250,53000,,,,,2065.0,8262.0,1788,7152,1338.0,5353.0,5192.0,83511.0,5192.0,20767.0,,,,,1699.0,7324.0,1471.0,6340.0,1101.0,4745.0,4271.0,81154.0,4271.0,18409.0,5.22,26.34
5,5,5.0,13250,66250,,,,,2065.0,10327.0,1788,8940,1338.0,6691.0,5192.0,88703.0,5192.0,25958.0,,,,,1618.0,8942.0,1401.0,7741.0,1049.0,5794.0,4068.0,85222.0,4068.0,22477.0,5.22,31.56
6,6,6.0,13250,79500,,,,,2065.0,12393.0,1788,10728,1338.0,8030.0,5192.0,93894.0,5192.0,31150.0,,,,,1541.0,10483.0,1334.0,9075.0,999.0,6793.0,3874.0,89096.0,3874.0,26351.0,5.22,36.77
7,7,7.0,13250,92750,,,,,2065.0,14458.0,1788,12516,1338.0,9368.0,5192.0,99086.0,5192.0,36342.0,,,,,1468.0,11951.0,1271.0,10346.0,951.0,7744.0,3690.0,92785.0,3690.0,30041.0,5.22,41.99
8,8,8.0,13250,106000,,,,,2065.0,16523.0,1788,14304,1338.0,10706.0,5192.0,104278.0,5192.0,41533.0,,,,,1398.0,13349.0,1210.0,11556.0,906.0,8649.0,3514.0,96299.0,3514.0,33555.0,5.22,47.21
9,9,9.0,13250,119250,,,,,2065.0,18589.0,1788,16092,1338.0,12044.0,5192.0,109469.0,5192.0,46725.0,,,,,1331.0,14681.0,1153.0,12709.0,863.0,9512.0,3347.0,99646.0,3347.0,36902.0,5.22,52.42
10,10,10.0,13250,132500,,,,,2065.0,20654.0,1788,17880,1338.0,13382.0,5192.0,114661.0,5192.0,51917.0,,,,,1268.0,15949.0,1098.0,13806.0,822.0,10334.0,3187.0,102833.0,3187.0,40089.0,5.22,57.64
11,11,11.0,13250,145750,,,,,2065.0,22720.0,1788,19668,1338.0,14721.0,5192.0,119853.0,5192.0,57108.0,,,,,1208.0,17156.0,1045.0,14852.0,782.0,11116.0,3035.0,105869.0,3035.0,43124.0,5.22,62.86
12,12,12.0,13250,159000,,,,,2065.0,24785.0,1788,21456,1338.0,16059.0,5192.0,125044.0,5192.0,62300.0,,,,,1150.0,18306.0,996.0,15847.0,745.0,11861.0,2891.0,108759.0,2891.0,46015.0,5.22,68.08
13,13,13.0,13250,172250,,,,,2065.0,26851.0,1788,23244,1338.0,17397.0,5192.0,130236.0,5192.0,67492.0,,,,,1095.0,19402.0,948.0,16796.0,710.0,12571.0,2753.0,111513.0,2753.0,48768.0,5.22,73.29
post-use,13,14.3,0,172250,0.0,62744.0,0,0,0.0,26851.0,0,23244,0.0,17397.0,0.0,130236.0,0.0,67492.0,0.0,62744.0,0,0,0.0,19402.0,0.0,16796.0,0.0,12571.0,0.0,111513.0,0.0,48768.0,0.0,73.29
