period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,11500.0,11500,,,,,1793.0,1793.0,1788.0,1788.0,1162.0,1162.0,4742.0,67486.0,4742.0,4742.0,,,,,1707.0,1707.0,1703.0,1703.0,1106.0,1106.0,4516.0,67261.0,4516.0,4516.0,4.53,10.0
2,2.0,2.0,11500.0,23000,,,,,1793.0,3585.0,1788.0,3576.0,1162.0,2323.0,4742.0,72229.0,4742.0,9484.0,,,,,1626.0,3333.0,1622.0,3325.0,1054.0,2160.0,4301.0,71562.0,4301.0,8818.0,4.53,14.53
3,3.0,3.0,11500.0,34500,,,,,1793.0,5378.0,1788.0,5364.0,1162.0,3484.0,4742.0,76971.0,4742.0,14226.0,,,,,1549.0,4882.0,1545.0,4869.0,1003.0,3163.0,4096.0,75658.0,4096.0,12914.0,4.53,19.05
4,4.0,4.0,11500.0,46000,,,,,1793.0,7171.0,1788.0,7152.0,1162.0,4646.0,4742.0,81713.0,4742.0,18969.0,,,,,1475.0,6357.0,1471.0,6340.0,956.0,4119.0,3901.0,79560.0,3901.0,16815.0,4.53,23.58
5,5.0,5.0,11500.0,57500,,,,,1793.0,8963.0,1788.0,8940.0,1162.0,5808.0,4742.0,86455.0,4742.0,23711.0,,,,,1405.0,7761.0,1401.0,7741.0,910.0,5029.0,3716.0,83275.0,3716.0,20531.0,4.53,28.11
6,6.0,6.0,11500.0,69000,,,,,1793.0,10756.0,1788.0,10728.0,1162.0,6969.0,4742.0,91197.0,4742.0,28453.0,,,,,1338.0,9099.0,1334.0,9075.0,867.0,5895.0,3539.0,86814.0,3539.0,24070.0,4.53,32.64
7,7.0,7.0,11500.0,80500,,,,,1793.0,12548.0,1788.0,12516.0,1162.0,8130.0,4742.0,95939.0,4742.0,33195.0,,,,,1274.0,10373.0,1271.0,10346.0,825.0,6721.0,3370.0,90184.0,3370.0,27440.0,4.53,37.17
8,8.0,8.0,11500.0,92000,,,,,1793.0,14341.0,1788.0,14304.0,1162.0,9292.0,4742.0,100681.0,4742.0,37937.0,,,,,1213.0,11586.0,1210.0,11556.0,786.0,7507.0,3210.0,93394.0,3210.0,30649.0,4.53,41.69
8.9,8.9,8.9,10350.000000000004,102350,,,,,1613.0,15954.0,1609.0,15913.0,1045.0,10337.0,4268.0,104949.0,4268.0,42205.0,,,,,1045.0,12631.0,1042.0,12599.0,677.0,8184.0,2765.0,96158.0,2765.0,33414.0,4.08,45.77
post-use,8.9,9.790000000000001,0.0,102350,0.0,62744.0,0,0,0.0,15954.0,0.0,15913.0,0.0,10337.0,0.0,104949.0,0.0,42205.0,0.0,62744.0,0,0,0.0,12631.0,0.0,12599.0,0.0,8184.0,0.0,96158.0,0.0,33414.0,0.0,45.77
