period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1.0,1.0,14250,14250,,,,,1840.0,1840.0,1788,1788,1439.0,1439.0,5067.0,67811.0,5067.0,5067.0,,,,,1752.0,1752.0,1703.0,1703.0,1371.0,1371.0,4825.0,67570.0,4825.0,4825.0,5.61,11.08
2,2.0,2.0,14250,28500,,,,,1840.0,3679.0,1788,3576,1439.0,2878.0,5067.0,72878.0,5067.0,10134.0,,,,,1668.0,3420.0,1622.0,3325.0,1305.0,2676.0,4596.0,72166.0,4596.0,9421.0,5.61,16.69
3,3.0,3.0,14250,42750,,,,,1840.0,5519.0,1788,5364,1439.0,4318.0,5067.0,77945.0,5067.0,15200.0,,,,,1589.0,5009.0,1545.0,4869.0,1243.0,3919.0,4377.0,76542.0,4377.0,13798.0,5.61,22.3
4,4.0,4.0,14250,57000,,,,,1840.0,7358.0,1788,7152,1439.0,5757.0,5067.0,83011.0,5067.0,20267.0,,,,,1513.0,6523.0,1471.0,6340.0,1184.0,5104.0,4168.0,80711.0,4168.0,17967.0,5.61,27.91
5,5.0,5.0,14250,71250,,,,,1840.0,9198.0,1788,8940,1439.0,7196.0,5067.0,88078.0,5067.0,25334.0,,,,,1441.0,7964.0,1401.0,7741.0,1128.0,6231.0,3970.0,84681.0,3970.0,21936.0,5.61,33.52
6,6.0,6.0,14250,85500,,,,,1840.0,11037.0,1788,10728,1439.0,8636.0,5067.0,93145.0,5067.0,30401.0,,,,,1373.0,9337.0,1334.0,9075.0,1074.0,7305.0,3781.0,88462.0,3781.0,25717.0,5.61,39.14
7,7.0,7.0,14250,99750,,,,,1840.0,12877.0,1788,12516,1439.0,10075.0,5067.0,98212.0,5067.0,35467.0,,,,,1307.0,10644.0,1271.0,10346.0,1023.0,8328.0,3601.0,92063.0,3601.0,29318.0,5.61,44.75
8,8.0,8.0,14250,114000,,,,,1840.0,14716.0,1788,14304,1439.0,11514.0,5067.0,103278.0,5067.0,40534.0,,,,,1245.0,11889.0,1210.0,11556.0,974.0,9302.0,3429.0,95492.0,3429.0,32748.0,5.61,50.36
9,9.0,9.0,14250,128250,,,,,1840.0,16556.0,1788,16092,1439.0,12953.0,5067.0,108345.0,5067.0,45601.0,,,,,1186.0,13075.0,1153.0,12709.0,928.0,10230.0,3266.0,98758.0,3266.0,36014.0,5.61,55.97
10,10.0,10.0,14250,142500,,,,,1840.0,18395.0,1788,17880,1439.0,14392.0,5067.0,113412.0,5067.0,50668.0,,,,,1129.0,14204.0,1098.0,13806.0,884.0,11114.0,3111.0,101869.0,3111.0,39124.0,5.61,61.58
11,11.0,11.0,14250,156750,,,,,1840.0,20235.0,1788,19668,1439.0,15832.0,5067.0,118479.0,5067.0,55734.0,,,,,1076.0,15280.0,1045.0,14852.0,841.0,11955.0,2962.0,104831.0,2962.0,42087.0,5.61,67.19
11.5,11.5,11.5,7125,163875,,,,,920.0,21154.0,894,20562,720.0,16551.0,2533.0,121012.0,2533.0,58268.0,,,,,525.0,15805.0,510.0,15362.0,411.0,12366.0,1446.0,106277.0,1446.0,43532.0,2.81,69.99
post-use,11.5,12.65,0,163875,0.0,62744.0,0,0,0.0,21154.0,0,20562,0.0,16551.0,0.0,121012.0,0.0,58268.0,0.0,62744.0,0,0,0.0,15805.0,0.0,15362.0,0.0,12366.0,0.0,106277.0,0.0,43532.0,0.0,69.99
