period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,62744.0,62744.0,,,0.0,0.0,0,0,0,0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.47,5.47
1,1,1.0,13000,13000,,,,,1678.0,1678.0,1788,1788,1313,1313,4779.0,67523.0,4779.0,4779.0,,,,,1598.0,1598.0,1703.0,1703.0,1250.0,1250.0,4552.0,67296.0,4552.0,4552.0,5.12,10.59
2,2,2.0,13000,26000,,,,,1678.0,3356.0,1788,3576,1313,2626,4779.0,72303.0,4779.0,9558.0,,,,,1522.0,3120.0,1622.0,3325.0,1191.0,2441.0,4335.0,71631.0,4335.0,8886.0,5.12,15.71
3,3,3.0,13000,39000,,,,,1678.0,5034.0,1788,5364,1313,3939,4779.0,77082.0,4779.0,14337.0,,,,,1450.0,4570.0,1545.0,4869.0,1134.0,3576.0,4128.0,75759.0,4128.0,13015.0,5.12,20.83
4,4,4.0,13000,52000,,,,,1678.0,6713.0,1788,7152,1313,5252,4779.0,81861.0,4779.0,19117.0,,,,,1381.0,5951.0,1471.0,6340.0,1080.0,4656.0,3932.0,79691.0,3932.0,16947.0,5.12,25.94
5,5,5.0,13000,65000,,,,,1678.0,8391.0,1788,8940,1313,6565,4779.0,86640.0,4779.0,23896.0,,,,,1315.0,7266.0,1401.0,7741.0,1029.0,5685.0,3745.0,83436.0,3745.0,20691.0,5.12,31.06
6,6,6.0,13000,78000,,,,,1678.0,10069.0,1788,10728,1313,7878,4779.0,91419.0,4779.0,28675.0,,,,,1252.0,8518.0,1334.0,9075.0,980.0,6664.0,3566.0,87002.0,3566.0,24258.0,5.12,36.18
7,7,7.0,13000,91000,,,,,1678.0,11747.0,1788,12516,1313,9191,4779.0,96198.0,4779.0,33454.0,,,,,1193.0,9710.0,1271.0,10346.0,933.0,7598.0,3396.0,90398.0,3396.0,27654.0,5.12,41.3
8,8,8.0,13000,104000,,,,,1678.0,13425.0,1788,14304,1313,10504,4779.0,100978.0,4779.0,38233.0,,,,,1136.0,10846.0,1210.0,11556.0,889.0,8486.0,3235.0,93633.0,3235.0,30889.0,5.12,46.42
9,9,9.0,13000,117000,,,,,1678.0,15103.0,1788,16092,1313,11817,4779.0,105757.0,4779.0,43012.0,,,,,1082.0,11928.0,1153.0,12709.0,846.0,9333.0,3081.0,96714.0,3081.0,33969.0,5.12,51.54
10,10,10.0,13000,130000,,,,,1678.0,16782.0,1788,17880,1313,13130,4779.0,110536.0,4779.0,47792.0,,,,,1030.0,12958.0,1098.0,13806.0,806.0,10139.0,2934.0,99648.0,2934.0,36903.0,5.12,56.66
11,11,11.0,13000,143000,,,,,1678.0,18460.0,1788,19668,1313,14443,4779.0,115315.0,4779.0,52571.0,,,,,981.0,13939.0,1045.0,14852.0,768.0,10906.0,2794.0,102442.0,2794.0,39698.0,5.12,61.78
12,12,12.0,13000,156000,,,,,1678.0,20138.0,1788,21456,1313,15756,4779.0,120094.0,4779.0,57350.0,,,,,934.0,14874.0,996.0,15847.0,731.0,11637.0,2661.0,105103.0,2661.0,42359.0,5.12,66.89
13,13,13.0,13000,169000,,,,,1678.0,21816.0,1788,23244,1313,17069,4779.0,124873.0,4779.0,62129.0,,,,,890.0,15764.0,948.0,16796.0,696.0,12334.0,2534.0,107638.0,2534.0,44893.0,5.12,72.01
post-use,13,14.3,0,169000,0.0,62744.0,0,0,0.0,21816.0,0,23244,0,17069,0.0,124873.0,0.0,62129.0,0.0,62744.0,0,0,0.0,15764.0,0.0,16796.0,0.0,12334.0,0.0,107638.0,0.0,44893.0,0.0,72.01
