period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,1337.0,1337.0,1884.0,1884.0,706.0,706.0,-3573.0,56427.0,,,-7317.0,-7317.0,1304.0,1304.0,1838.0,1838.0,689.0,689.0,-3486.0,56514.0,1.6,11.4
2,2.0,2.0,11576.0,23152.0,,,,,1337.0,2674.0,1884.0,3768.0,706.0,1412.0,3927.0,60354.0,,,,,1273.0,2577.0,1793.0,3631.0,672.0,1361.0,3738.0,60252.0,1.6,13.1
3,3.0,3.0,11576.0,34728.0,,,,,1337.0,4011.0,1884.0,5652.0,706.0,2118.0,3927.0,64281.0,,,,,1242.0,3819.0,1749.0,5381.0,656.0,2017.0,3647.0,63899.0,1.6,14.7
4,4.0,4.0,11576.0,46304.0,,,,,1337.0,5348.0,1884.0,7536.0,706.0,2825.0,3927.0,68209.0,,,,,1211.0,5030.0,1707.0,7088.0,640.0,2656.0,3558.0,67457.0,1.6,16.3
5,5.0,5.0,11576.0,57880.0,,,,,1337.0,6685.0,1884.0,9420.0,706.0,3531.0,3927.0,72136.0,,,,,1182.0,6212.0,1665.0,8753.0,624.0,3281.0,3471.0,70928.0,1.6,17.9
6,6.0,6.0,11576.0,69456.0,,,,,1337.0,8022.0,1884.0,11304.0,706.0,4237.0,3927.0,76063.0,,,,,1153.0,7365.0,1625.0,10377.0,609.0,3889.0,3386.0,74314.0,1.6,19.5
7,7.0,7.0,11576.0,81032.0,,,,,1337.0,9359.0,1884.0,13188.0,706.0,4943.0,3927.0,79990.0,,,,,1125.0,8489.0,1585.0,11962.0,594.0,4484.0,3304.0,77618.0,1.6,21.1
8,8.0,8.0,11576.0,92608.0,,,,,1337.0,10696.0,1884.0,15072.0,706.0,5649.0,3927.0,83917.0,,,,,1097.0,9587.0,1546.0,13509.0,580.0,5063.0,3223.0,80841.0,1.6,22.8
9,9.0,9.0,11576.0,104184.0,,,,,1337.0,12033.0,1884.0,16956.0,706.0,6355.0,3927.0,87844.0,,,,,1071.0,10657.0,1509.0,15017.0,565.0,5629.0,3145.0,83986.0,1.6,24.4
10,10.0,10.0,11576.0,115760.0,,,,,1337.0,13370.0,1884.0,18840.0,706.0,7061.0,3927.0,91772.0,,,,,1044.0,11702.0,1472.0,16489.0,552.0,6180.0,3068.0,87054.0,1.6,26.0
11,11.0,11.0,11576.0,127336.0,,,,,1337.0,14707.0,1884.0,20724.0,706.0,7767.0,3927.0,95699.0,,,,,1019.0,12721.0,1436.0,17925.0,538.0,6718.0,2993.0,90047.0,1.6,27.6
12,12.0,12.0,11576.0,138912.0,,,,,1337.0,16044.0,1884.0,22608.0,706.0,8474.0,3927.0,99626.0,,,,,994.0,13715.0,1401.0,19326.0,525.0,7243.0,2920.0,92967.0,1.6,29.2
13,13.0,13.0,11576.0,150488.0,,,,,1337.0,17381.0,1884.0,24492.0,706.0,9180.0,3927.0,103553.0,,,,,970.0,14685.0,1367.0,20692.0,512.0,7756.0,2849.0,95816.0,1.6,30.8
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,187.0,17569.0,264.0,24756.0,99.0,9279.0,550.0,104103.0,,,,,135.0,14820.0,191.0,20883.0,71.0,7827.0,397.0,96213.0,0.2,31.1
post-use,13.14,14.454000000000002,0.0,152108.64,0,60000,0,-7500,0.0,17569.0,0.0,24756.0,0.0,9279.0,0.0,104103.0,0,60000,0.0,-7317.0,0.0,14820.0,0.0,20883.0,0.0,7827.0,0.0,96213.0,0.0,31.1
