period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,562.0,562.0,1884.0,1884.0,770.0,770.0,-4284.0,55716.0,-4284.0,-4284.0,,,-7143.0,-7143.0,535.0,535.0,1794.0,1794.0,733.0,733.0,-4080.0,55920.0,-4080.0,-4080.0,1.8,11.6
2,2.0,2.0,12622.201554,25244.403108,,,,,562.0,1124.0,1884.0,3768.0,770.0,1540.0,3216.0,58932.0,3216.0,-1068.0,,,,,510.0,1045.0,1709.0,3503.0,698.0,1432.0,2917.0,58837.0,2917.0,-1163.0,1.8,13.3
3,3.0,3.0,12622.201554,37866.604662,,,,,562.0,1686.0,1884.0,5652.0,770.0,2310.0,3216.0,62148.0,3216.0,2148.0,,,,,485.0,1530.0,1627.0,5131.0,665.0,2097.0,2778.0,61615.0,2778.0,1615.0,1.8,15.1
4,4.0,4.0,12622.201554,50488.806216,,,,,562.0,2248.0,1884.0,7536.0,770.0,3080.0,3216.0,65363.0,3216.0,5363.0,,,,,462.0,1992.0,1550.0,6681.0,633.0,2730.0,2646.0,64260.0,2646.0,4260.0,1.8,16.9
5,5.0,5.0,12622.201554,63111.00777,,,,,562.0,2810.0,1884.0,9420.0,770.0,3850.0,3216.0,68579.0,3216.0,8579.0,,,,,440.0,2433.0,1476.0,8157.0,603.0,3333.0,2520.0,66780.0,2520.0,6780.0,1.8,18.6
6,6.0,6.0,12622.201554,75733.209324,,,,,562.0,3371.0,1884.0,11304.0,770.0,4620.0,3216.0,71795.0,3216.0,11795.0,,,,,419.0,2852.0,1406.0,9563.0,575.0,3908.0,2400.0,69180.0,2400.0,9180.0,1.8,20.4
7,7.0,7.0,12622.201554,88355.410878,,,,,562.0,3933.0,1884.0,13188.0,770.0,5390.0,3216.0,75011.0,3216.0,15011.0,,,,,399.0,3251.0,1339.0,10902.0,547.0,4455.0,2285.0,71465.0,2285.0,11465.0,1.8,22.2
8,8.0,8.0,12622.201554,100977.612432,,,,,562.0,4495.0,1884.0,15072.0,770.0,6160.0,3216.0,78227.0,3216.0,18227.0,,,,,380.0,3632.0,1275.0,12177.0,521.0,4976.0,2177.0,73642.0,2177.0,13642.0,1.8,23.9
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,506.0,5001.0,1696.0,16768.0,693.0,6853.0,2894.0,81121.0,2894.0,21121.0,,,,,328.0,3959.0,1098.0,13275.0,449.0,5425.0,1875.0,75517.0,1875.0,15517.0,1.6,25.5
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,60000,0,-7500,0.0,5001.0,0.0,16768.0,0.0,6853.0,0.0,81121.0,0.0,21121.0,0,60000,0.0,-7143.0,0.0,3959.0,0.0,13275.0,0.0,5425.0,0.0,75517.0,0.0,15517.0,0.0,25.5
