period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,595.0,595.0,1884,1884,815.0,815.0,1905.0,61905.0,1905.0,1905.0,,,-1355.0,-1355.0,580.0,580.0,1838.0,1838.0,795.0,795.0,1859.0,61859.0,1859.0,1859.0,1.9,11.7
2,2,2.0,13363.34444,26726.68888,,,,,595.0,1190.0,1884,3768,815.0,1630.0,3294.0,65199.0,3294.0,5199.0,,,,,566.0,1147.0,1793.0,3631.0,776.0,1571.0,3135.0,64994.0,3135.0,4994.0,1.9,13.6
3,3,3.0,13363.34444,40090.03332,,,,,595.0,1785.0,1884,5652,815.0,2445.0,3294.0,68494.0,3294.0,8494.0,,,,,552.0,1699.0,1749.0,5381.0,757.0,2328.0,3059.0,68053.0,3059.0,8053.0,1.9,15.4
4,4,4.0,13363.34444,53453.37776,,,,,595.0,2380.0,1884,7536,815.0,3261.0,3294.0,71788.0,3294.0,11788.0,,,,,539.0,2238.0,1707.0,7088.0,738.0,3067.0,2984.0,71037.0,2984.0,11037.0,1.9,17.3
5,5,5.0,13363.34444,66816.7222,,,,,595.0,2974.0,1884,9420,815.0,4076.0,3294.0,75082.0,3294.0,15082.0,,,,,526.0,2764.0,1665.0,8753.0,720.0,3787.0,2911.0,73949.0,2911.0,13949.0,1.9,19.2
6,6,6.0,13363.34444,80180.06664,,,,,595.0,3569.0,1884,11304,815.0,4891.0,3294.0,78376.0,3294.0,18376.0,,,,,513.0,3277.0,1625.0,10377.0,703.0,4490.0,2840.0,76789.0,2840.0,16789.0,1.9,21.0
7,7,7.0,13363.34444,93543.41108,,,,,595.0,4164.0,1884,13188,815.0,5706.0,3294.0,81670.0,3294.0,21670.0,,,,,500.0,3777.0,1585.0,11962.0,686.0,5176.0,2771.0,79560.0,2771.0,19560.0,1.9,22.9
8,8,8.0,13363.34444,106906.75552,,,,,595.0,4759.0,1884,15072,815.0,6521.0,3294.0,84964.0,3294.0,24964.0,,,,,488.0,4265.0,1546.0,13509.0,669.0,5845.0,2704.0,82264.0,2704.0,22264.0,1.9,24.8
9,9,9.0,13363.34444,120270.09996,,,,,595.0,5354.0,1884,16956,815.0,7336.0,3294.0,88258.0,3294.0,28258.0,,,,,476.0,4742.0,1509.0,15017.0,653.0,6498.0,2638.0,84902.0,2638.0,24902.0,1.9,26.6
10,10,10.0,13363.34444,133633.4444,,,,,595.0,5949.0,1884,18840,815.0,8152.0,3294.0,91552.0,3294.0,31552.0,,,,,465.0,5207.0,1472.0,16489.0,637.0,7134.0,2573.0,87475.0,2573.0,27475.0,1.9,28.5
11,11,11.0,13363.34444,146996.78884,,,,,595.0,6544.0,1884,20724,815.0,8967.0,3294.0,94846.0,3294.0,34846.0,,,,,453.0,5660.0,1436.0,17925.0,621.0,7756.0,2511.0,89986.0,2511.0,29986.0,1.9,30.4
12,12,12.0,13363.34444,160360.13328,,,,,595.0,7139.0,1884,22608,815.0,9782.0,3294.0,98140.0,3294.0,38140.0,,,,,442.0,6102.0,1401.0,19326.0,606.0,8362.0,2449.0,92435.0,2449.0,32435.0,1.9,32.2
13,13,13.0,13363.34444,173723.47772000002,,,,,595.0,7734.0,1884,24492,815.0,10597.0,3294.0,101434.0,3294.0,41434.0,,,,,432.0,6534.0,1367.0,20692.0,591.0,8953.0,2390.0,94824.0,2390.0,34824.0,1.9,34.1
post-use,13,14.3,0.0,173723.47772000002,0,60000,0.0,-1389.0,0.0,7734.0,0,24492,0.0,10597.0,0.0,101434.0,0.0,41434.0,0,60000,0.0,-1355.0,0.0,6534.0,0.0,20692.0,0.0,8953.0,0.0,94824.0,0.0,34824.0,0.0,34.1
