period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,419.0,419.0,1884.0,1884.0,704.0,704.0,-4494.0,55506.0,-4494.0,-4494.0,,,-7143.0,-7143.0,399.0,399.0,1794.0,1794.0,670.0,670.0,-4280.0,55720.0,-4280.0,-4280.0,0.4,10.2
2,2.0,2.0,11533.46302,23066.92604,,,,,419.0,837.0,1884.0,3768.0,704.0,1407.0,3006.0,58512.0,3006.0,-1488.0,,,,,380.0,778.0,1709.0,3503.0,638.0,1308.0,2727.0,58447.0,2727.0,-1553.0,0.4,10.6
3,3.0,3.0,11533.46302,34600.38906,,,,,419.0,1256.0,1884.0,5652.0,704.0,2111.0,3006.0,61518.0,3006.0,1518.0,,,,,362.0,1140.0,1627.0,5131.0,608.0,1916.0,2597.0,61043.0,2597.0,1043.0,0.4,11.0
4,4.0,4.0,11533.46302,46133.85208,,,,,419.0,1674.0,1884.0,7536.0,704.0,2814.0,3006.0,64524.0,3006.0,4524.0,,,,,344.0,1484.0,1550.0,6681.0,579.0,2495.0,2473.0,63517.0,2473.0,3517.0,0.4,11.4
5,5.0,5.0,11533.46302,57667.31509999999,,,,,419.0,2093.0,1884.0,9420.0,704.0,3518.0,3006.0,67530.0,3006.0,7530.0,,,,,328.0,1812.0,1476.0,8157.0,551.0,3046.0,2355.0,65872.0,2355.0,5872.0,0.4,11.8
6,6.0,6.0,11533.46302,69200.77811999999,,,,,419.0,2511.0,1884.0,11304.0,704.0,4221.0,3006.0,70537.0,3006.0,10537.0,,,,,312.0,2124.0,1406.0,9563.0,525.0,3571.0,2243.0,68115.0,2243.0,8115.0,0.4,12.2
7,7.0,7.0,11533.46302,80734.24113999998,,,,,419.0,2930.0,1884.0,13188.0,704.0,4925.0,3006.0,73543.0,3006.0,13543.0,,,,,297.0,2422.0,1339.0,10902.0,500.0,4071.0,2136.0,70252.0,2136.0,10252.0,0.4,12.6
8,8.0,8.0,11533.46302,92267.70415999998,,,,,419.0,3348.0,1884.0,15072.0,704.0,5628.0,3006.0,76549.0,3006.0,16549.0,,,,,283.0,2705.0,1275.0,12177.0,476.0,4547.0,2035.0,72286.0,2035.0,12286.0,0.4,13.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,377.0,3725.0,1696.0,16768.0,633.0,6262.0,2705.0,79254.0,2705.0,19254.0,,,,,244.0,2949.0,1098.0,13275.0,410.0,4957.0,1753.0,74039.0,1753.0,14039.0,0.4,13.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,60000,0,-7500,0.0,3725.0,0.0,16768.0,0.0,6262.0,0.0,79254.0,0.0,19254.0,0,60000,0.0,-7143.0,0.0,2949.0,0.0,13275.0,0.0,4957.0,0.0,74039.0,0.0,14039.0,0.0,13.4
