period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,435.0,435.0,1884.0,1884.0,706.0,706.0,-4475.0,55525.0,,,-7317.0,-7317.0,424.0,424.0,1838.0,1838.0,689.0,689.0,-4366.0,55634.0,0.4,10.2
2,2.0,2.0,11576.0,23152.0,,,,,435.0,869.0,1884.0,3768.0,706.0,1412.0,3025.0,58549.0,,,,,414.0,838.0,1793.0,3631.0,672.0,1361.0,2879.0,58513.0,0.4,10.6
3,3.0,3.0,11576.0,34728.0,,,,,435.0,1304.0,1884.0,5652.0,706.0,2118.0,3025.0,61574.0,,,,,404.0,1241.0,1749.0,5381.0,656.0,2017.0,2809.0,61321.0,0.4,11.0
4,4.0,4.0,11576.0,46304.0,,,,,435.0,1738.0,1884.0,7536.0,706.0,2825.0,3025.0,64599.0,,,,,394.0,1635.0,1707.0,7088.0,640.0,2656.0,2740.0,64062.0,0.4,11.4
5,5.0,5.0,11576.0,57880.0,,,,,435.0,2173.0,1884.0,9420.0,706.0,3531.0,3025.0,67623.0,,,,,384.0,2019.0,1665.0,8753.0,624.0,3281.0,2673.0,66735.0,0.4,11.8
6,6.0,6.0,11576.0,69456.0,,,,,435.0,2607.0,1884.0,11304.0,706.0,4237.0,3025.0,70648.0,,,,,375.0,2393.0,1625.0,10377.0,609.0,3889.0,2608.0,69343.0,0.4,12.2
7,7.0,7.0,11576.0,81032.0,,,,,435.0,3042.0,1884.0,13188.0,706.0,4943.0,3025.0,73673.0,,,,,366.0,2759.0,1585.0,11962.0,594.0,4484.0,2545.0,71888.0,0.4,12.6
8,8.0,8.0,11576.0,92608.0,,,,,435.0,3476.0,1884.0,15072.0,706.0,5649.0,3025.0,76697.0,,,,,357.0,3116.0,1546.0,13509.0,580.0,5063.0,2482.0,74370.0,0.4,13.0
9,9.0,9.0,11576.0,104184.0,,,,,435.0,3911.0,1884.0,16956.0,706.0,6355.0,3025.0,79722.0,,,,,348.0,3464.0,1509.0,15017.0,565.0,5629.0,2422.0,76792.0,0.4,13.4
10,10.0,10.0,11576.0,115760.0,,,,,435.0,4345.0,1884.0,18840.0,706.0,7061.0,3025.0,82747.0,,,,,339.0,3803.0,1472.0,16489.0,552.0,6180.0,2363.0,79155.0,0.4,13.8
11,11.0,11.0,11576.0,127336.0,,,,,435.0,4780.0,1884.0,20724.0,706.0,7767.0,3025.0,85771.0,,,,,331.0,4134.0,1436.0,17925.0,538.0,6718.0,2305.0,81460.0,0.4,14.2
12,12.0,12.0,11576.0,138912.0,,,,,435.0,5214.0,1884.0,22608.0,706.0,8474.0,3025.0,88796.0,,,,,323.0,4457.0,1401.0,19326.0,525.0,7243.0,2249.0,83709.0,0.4,14.6
13,13.0,13.0,11576.0,150488.0,,,,,435.0,5649.0,1884.0,24492.0,706.0,9180.0,3025.0,91821.0,,,,,315.0,4773.0,1367.0,20692.0,512.0,7756.0,2194.0,85903.0,0.4,15.0
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,61.0,5710.0,264.0,24756.0,99.0,9279.0,423.0,92244.0,,,,,44.0,4817.0,191.0,20883.0,71.0,7827.0,306.0,86210.0,0.1,15.1
post-use,13.14,14.454000000000002,0.0,152108.64,0,60000,0,-7500,0.0,5710.0,0.0,24756.0,0.0,9279.0,0.0,92244.0,0,60000,0.0,-7317.0,0.0,4817.0,0.0,20883.0,0.0,7827.0,0.0,86210.0,0.0,15.1
