period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,474.0,474.0,1884.0,1884.0,770.0,770.0,-4372.0,55628.0,-4372.0,-4372.0,,,-7317.0,-7317.0,462.0,462.0,1838.0,1838.0,751.0,751.0,-4266.0,55734.0,-4266.0,-4266.0,0.4,10.3
2,2.0,2.0,12622.201554,25244.403108,,,,,474.0,948.0,1884.0,3768.0,770.0,1540.0,3128.0,58756.0,3128.0,-1244.0,,,,,451.0,913.0,1793.0,3631.0,733.0,1484.0,2977.0,58711.0,2977.0,-1289.0,0.4,10.7
3,3.0,3.0,12622.201554,37866.604662,,,,,474.0,1421.0,1884.0,5652.0,770.0,2310.0,3128.0,61883.0,3128.0,1883.0,,,,,440.0,1353.0,1749.0,5381.0,715.0,2199.0,2904.0,61616.0,2904.0,1616.0,0.4,11.1
4,4.0,4.0,12622.201554,50488.806216,,,,,474.0,1895.0,1884.0,7536.0,770.0,3080.0,3128.0,65011.0,3128.0,5011.0,,,,,429.0,1782.0,1707.0,7088.0,698.0,2897.0,2834.0,64449.0,2834.0,4449.0,0.4,11.6
5,5.0,5.0,12622.201554,63111.00777,,,,,474.0,2369.0,1884.0,9420.0,770.0,3850.0,3128.0,68139.0,3128.0,8139.0,,,,,419.0,2201.0,1665.0,8753.0,681.0,3577.0,2764.0,67214.0,2764.0,7214.0,0.4,12.0
6,6.0,6.0,12622.201554,75733.209324,,,,,474.0,2843.0,1884.0,11304.0,770.0,4620.0,3128.0,71267.0,3128.0,11267.0,,,,,409.0,2610.0,1625.0,10377.0,664.0,4241.0,2697.0,69911.0,2697.0,9911.0,0.4,12.4
7,7.0,7.0,12622.201554,88355.410878,,,,,474.0,3317.0,1884.0,13188.0,770.0,5390.0,3128.0,74394.0,3128.0,14394.0,,,,,399.0,3008.0,1585.0,11962.0,648.0,4889.0,2631.0,72542.0,2631.0,12542.0,0.4,12.9
8,8.0,8.0,12622.201554,100977.612432,,,,,474.0,3790.0,1884.0,15072.0,770.0,6160.0,3128.0,77522.0,3128.0,17522.0,,,,,389.0,3397.0,1546.0,13509.0,632.0,5521.0,2567.0,75109.0,2567.0,15109.0,0.4,13.3
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,426.0,4217.0,1696.0,16768.0,693.0,6853.0,2815.0,80337.0,2815.0,20337.0,,,,,342.0,3740.0,1361.0,14870.0,556.0,6077.0,2260.0,77369.0,2260.0,17369.0,0.4,13.7
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,60000,0,-7500,0.0,4217.0,0.0,16768.0,0.0,6853.0,0.0,80337.0,0.0,20337.0,0,60000,0.0,-7317.0,0.0,3740.0,0.0,14870.0,0.0,6077.0,0.0,77369.0,0.0,17369.0,0.0,13.7
