period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,502.0,502.0,1884,1884,815.0,815.0,1812.0,61812.0,1812.0,1812.0,,,-1355.0,-1355.0,489.0,489.0,1838.0,1838.0,795.0,795.0,1768.0,61768.0,1768.0,1768.0,0.5,10.3
2,2,2.0,13363.34444,26726.68888,,,,,502.0,1003.0,1884,3768,815.0,1630.0,3201.0,65013.0,3201.0,5013.0,,,,,477.0,967.0,1793.0,3631.0,776.0,1571.0,3047.0,64814.0,3047.0,4814.0,0.5,10.7
3,3,3.0,13363.34444,40090.03332,,,,,502.0,1505.0,1884,5652,815.0,2445.0,3201.0,68214.0,3201.0,8214.0,,,,,466.0,1433.0,1749.0,5381.0,757.0,2328.0,2972.0,67787.0,2972.0,7787.0,0.5,11.2
4,4,4.0,13363.34444,53453.37776,,,,,502.0,2007.0,1884,7536,815.0,3261.0,3201.0,71414.0,3201.0,11414.0,,,,,454.0,1887.0,1707.0,7088.0,738.0,3067.0,2900.0,70686.0,2900.0,10686.0,0.5,11.7
5,5,5.0,13363.34444,66816.7222,,,,,502.0,2508.0,1884,9420,815.0,4076.0,3201.0,74615.0,3201.0,14615.0,,,,,443.0,2330.0,1665.0,8753.0,720.0,3787.0,2829.0,73516.0,2829.0,13516.0,0.5,12.1
6,6,6.0,13363.34444,80180.06664,,,,,502.0,3010.0,1884,11304,815.0,4891.0,3201.0,77816.0,3201.0,17816.0,,,,,433.0,2763.0,1625.0,10377.0,703.0,4490.0,2760.0,76276.0,2760.0,16276.0,0.5,12.6
7,7,7.0,13363.34444,93543.41108,,,,,502.0,3511.0,1884,13188,815.0,5706.0,3201.0,81017.0,3201.0,21017.0,,,,,422.0,3185.0,1585.0,11962.0,686.0,5176.0,2693.0,78968.0,2693.0,18968.0,0.5,13.1
8,8,8.0,13363.34444,106906.75552,,,,,502.0,4013.0,1884,15072,815.0,6521.0,3201.0,84218.0,3201.0,24218.0,,,,,412.0,3597.0,1546.0,13509.0,669.0,5845.0,2627.0,81595.0,2627.0,21595.0,0.5,13.5
9,9,9.0,13363.34444,120270.09996,,,,,502.0,4515.0,1884,16956,815.0,7336.0,3201.0,87418.0,3201.0,27418.0,,,,,402.0,3998.0,1509.0,15017.0,653.0,6498.0,2563.0,84158.0,2563.0,24158.0,0.5,14.0
10,10,10.0,13363.34444,133633.4444,,,,,502.0,5016.0,1884,18840,815.0,8152.0,3201.0,90619.0,3201.0,30619.0,,,,,392.0,4390.0,1472.0,16489.0,637.0,7134.0,2500.0,86659.0,2500.0,26659.0,0.5,14.5
11,11,11.0,13363.34444,146996.78884,,,,,502.0,5518.0,1884,20724,815.0,8967.0,3201.0,93820.0,3201.0,33820.0,,,,,382.0,4773.0,1436.0,17925.0,621.0,7756.0,2439.0,89098.0,2439.0,29098.0,0.5,14.9
12,12,12.0,13363.34444,160360.13328,,,,,502.0,6020.0,1884,22608,815.0,9782.0,3201.0,97021.0,3201.0,37021.0,,,,,373.0,5146.0,1401.0,19326.0,606.0,8362.0,2380.0,91478.0,2380.0,31478.0,0.5,15.4
13,13,13.0,13363.34444,173723.47772000002,,,,,502.0,6521.0,1884,24492,815.0,10597.0,3201.0,100222.0,3201.0,40222.0,,,,,364.0,5509.0,1367.0,20692.0,591.0,8953.0,2322.0,93800.0,2322.0,33800.0,0.5,15.8
post-use,13,14.3,0.0,173723.47772000002,0,60000,0.0,-1389.0,0.0,6521.0,0,24492,0.0,10597.0,0.0,100222.0,0.0,40222.0,0,60000,0.0,-1355.0,0.0,5509.0,0.0,20692.0,0.0,8953.0,0.0,93800.0,0.0,33800.0,0.0,15.8
