period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,539.0,539.0,1884,1884,875.0,875.0,-855.0,59145.0,-855.0,-855.0,,,-3955.0,-3955.0,513.0,513.0,1794.0,1794.0,834.0,834.0,-814.0,59186.0,-814.0,-814.0,4.4,14.2
2,2.0,2.0,14350.869023,28701.738046,,,,,539.0,1077.0,1884,3768,875.0,1751.0,3298.0,62443.0,3298.0,2443.0,,,,,489.0,1002.0,1709.0,3503.0,794.0,1628.0,2991.0,62177.0,2991.0,2177.0,4.4,18.6
3,3.0,3.0,14350.869023,43052.607069,,,,,539.0,1616.0,1884,5652,875.0,2626.0,3298.0,65741.0,3298.0,5741.0,,,,,465.0,1467.0,1627.0,5131.0,756.0,2384.0,2849.0,65026.0,2849.0,5026.0,4.4,23.0
4,4.0,4.0,14350.869023,57403.476092,,,,,539.0,2155.0,1884,7536,875.0,3502.0,3298.0,69039.0,3298.0,9039.0,,,,,443.0,1910.0,1550.0,6681.0,720.0,3104.0,2713.0,67740.0,2713.0,7740.0,4.4,27.3
5,5.0,5.0,14350.869023,71754.345115,,,,,539.0,2693.0,1884,9420,875.0,4377.0,3298.0,72337.0,3298.0,12337.0,,,,,422.0,2332.0,1476.0,8157.0,686.0,3790.0,2584.0,70324.0,2584.0,10324.0,4.4,31.7
6,6.0,6.0,14350.869023,86105.21413800001,,,,,539.0,3232.0,1884,11304,875.0,5252.0,3298.0,75636.0,3298.0,15636.0,,,,,402.0,2734.0,1406.0,9563.0,653.0,4443.0,2461.0,72785.0,2461.0,12785.0,4.4,36.1
7,7.0,7.0,14350.869023,100456.08316100002,,,,,539.0,3771.0,1884,13188,875.0,6128.0,3298.0,78934.0,3298.0,18934.0,,,,,383.0,3117.0,1339.0,10902.0,622.0,5065.0,2344.0,75129.0,2344.0,15129.0,4.4,40.5
8,8.0,8.0,14350.869023,114806.95218400002,,,,,539.0,4310.0,1884,15072,875.0,7003.0,3298.0,82232.0,3298.0,22232.0,,,,,365.0,3482.0,1275.0,12177.0,593.0,5658.0,2232.0,77361.0,2232.0,17361.0,4.4,44.9
9,9.0,9.0,14350.869023,129157.82120700003,,,,,539.0,4848.0,1884,16956,875.0,7879.0,3298.0,85530.0,3298.0,25530.0,,,,,347.0,3829.0,1214.0,13391.0,564.0,6222.0,2126.0,79487.0,2126.0,19487.0,4.4,49.2
10,10.0,10.0,14350.869023,143508.69023000004,,,,,539.0,5387.0,1884,18840,875.0,8754.0,3298.0,88828.0,3298.0,28828.0,,,,,331.0,4160.0,1157.0,14548.0,537.0,6760.0,2025.0,81512.0,2025.0,21512.0,4.4,53.6
11,11.0,11.0,14350.869023,157859.55925300004,,,,,539.0,5926.0,1884,20724,875.0,9629.0,3298.0,92126.0,3298.0,32126.0,,,,,315.0,4475.0,1102.0,15649.0,512.0,7271.0,1928.0,83440.0,1928.0,23440.0,4.4,58.0
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,269.0,6195.0,942,21666,438.0,10067.0,1649.0,93775.0,1649.0,33775.0,,,,,154.0,4628.0,537.0,16187.0,250.0,7521.0,941.0,84381.0,941.0,24381.0,2.2,60.2
post-use,11.5,12.65,0.0,165034.99376450005,0,60000,0,-4153,0.0,6195.0,0,21666,0.0,10067.0,0.0,93775.0,0.0,33775.0,0,60000,0.0,-3955.0,0.0,4628.0,0.0,16187.0,0.0,7521.0,0.0,84381.0,0.0,24381.0,0.0,60.2
