period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,2369.0,2369.0,1788,1788,1350.0,1350.0,5506.0,57443.0,5506.0,5506.0,,,,,2256.0,2256.0,1703.0,1703.0,1285.0,1285.0,5244.0,57181.0,5244.0,5244.0,3.8,9.2
2,2,2.0,13363.34444,26726.68888,,,,,2369.0,4737.0,1788,3576,1350.0,2699.0,5506.0,62949.0,5506.0,11012.0,,,,,2148.0,4404.0,1622.0,3325.0,1224.0,2510.0,4994.0,62175.0,4994.0,10238.0,3.8,13.0
3,3,3.0,13363.34444,40090.03332,,,,,2369.0,7106.0,1788,5364,1350.0,4049.0,5506.0,68455.0,5506.0,16519.0,,,,,2046.0,6450.0,1545.0,4869.0,1166.0,3676.0,4756.0,66931.0,4756.0,14995.0,3.8,16.8
4,4,4.0,13363.34444,53453.37776,,,,,2369.0,9474.0,1788,7152,1350.0,5399.0,5506.0,73961.0,5506.0,22025.0,,,,,1949.0,8399.0,1471.0,6340.0,1110.0,4786.0,4530.0,71461.0,4530.0,19525.0,3.8,20.5
5,5,5.0,13363.34444,66816.7222,,,,,2369.0,11843.0,1788,8940,1350.0,6748.0,5506.0,79468.0,5506.0,27531.0,,,,,1856.0,10254.0,1401.0,7741.0,1058.0,5843.0,4314.0,75776.0,4314.0,23839.0,3.8,24.3
6,6,6.0,13363.34444,80180.06664,,,,,2369.0,14211.0,1788,10728,1350.0,8098.0,5506.0,84974.0,5506.0,33037.0,,,,,1767.0,12022.0,1334.0,9075.0,1007.0,6851.0,4109.0,79884.0,4109.0,27948.0,3.8,28.1
7,7,7.0,13363.34444,93543.41108,,,,,2369.0,16580.0,1788,12516,1350.0,9448.0,5506.0,90480.0,5506.0,38544.0,,,,,1683.0,13705.0,1271.0,10346.0,959.0,7810.0,3913.0,83798.0,3913.0,31861.0,3.8,31.8
8,8,8.0,13363.34444,106906.75552,,,,,2369.0,18948.0,1788,14304,1350.0,10798.0,5506.0,95986.0,5506.0,44050.0,,,,,1603.0,15308.0,1210.0,11556.0,914.0,8723.0,3727.0,87524.0,3727.0,35588.0,3.8,35.6
9,9,9.0,13363.34444,120270.09996,,,,,2369.0,21317.0,1788,16092,1350.0,12147.0,5506.0,101493.0,5506.0,49556.0,,,,,1527.0,16835.0,1153.0,12709.0,870.0,9593.0,3549.0,91074.0,3549.0,39137.0,3.8,39.3
10,10,10.0,13363.34444,133633.4444,,,,,2369.0,23685.0,1788,17880,1350.0,13497.0,5506.0,106999.0,5506.0,55062.0,,,,,1454.0,18289.0,1098.0,13806.0,829.0,10422.0,3380.0,94454.0,3380.0,42518.0,3.8,43.1
11,11,11.0,13363.34444,146996.78884,,,,,2369.0,26054.0,1788,19668,1350.0,14847.0,5506.0,112505.0,5506.0,60568.0,,,,,1385.0,19674.0,1045.0,14852.0,789.0,11211.0,3219.0,97673.0,3219.0,45737.0,3.8,46.9
12,12,12.0,13363.34444,160360.13328,,,,,2369.0,28422.0,1788,21456,1350.0,16196.0,5506.0,118011.0,5506.0,66075.0,,,,,1319.0,20993.0,996.0,15847.0,752.0,11963.0,3066.0,100740.0,3066.0,48803.0,3.8,50.6
13,13,13.0,13363.34444,173723.47772000002,,,,,2369.0,30791.0,1788,23244,1350.0,17546.0,5506.0,123517.0,5506.0,71581.0,,,,,1256.0,22249.0,948.0,16796.0,716.0,12678.0,2920.0,103660.0,2920.0,51723.0,3.8,54.4
post-use,13,14.3,0.0,173723.47772000002,0.0,51936.0,0,0,0.0,30791.0,0,23244,0.0,17546.0,0.0,123517.0,0.0,71581.0,0.0,51936.0,0,0,0.0,22249.0,0.0,16796.0,0.0,12678.0,0.0,103660.0,0.0,51723.0,0.0,54.4
