period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1680.0,1680.0,1788.0,1788.0,1275.0,1275.0,4743.0,56679.0,4743.0,4743.0,,,,,1639.0,1639.0,1744.0,1744.0,1244.0,1244.0,4627.0,56563.0,4627.0,4627.0,3.6,9.0
2,2.0,2.0,12622.201554,25244.403108,,,,,1680.0,3359.0,1788.0,3576.0,1275.0,2550.0,4743.0,61422.0,4743.0,9485.0,,,,,1599.0,3238.0,1702.0,3446.0,1213.0,2457.0,4514.0,61077.0,4514.0,9141.0,3.6,12.6
3,3.0,3.0,12622.201554,37866.604662,,,,,1680.0,5039.0,1788.0,5364.0,1275.0,3825.0,4743.0,66164.0,4743.0,14228.0,,,,,1560.0,4797.0,1660.0,5107.0,1184.0,3641.0,4404.0,65481.0,4404.0,13545.0,3.6,16.1
4,4.0,4.0,12622.201554,50488.806216,,,,,1680.0,6719.0,1788.0,7152.0,1275.0,5099.0,4743.0,70907.0,4743.0,18970.0,,,,,1522.0,6319.0,1620.0,6726.0,1155.0,4796.0,4297.0,69778.0,4297.0,17841.0,3.6,19.7
5,5.0,5.0,12622.201554,63111.00777,,,,,1680.0,8399.0,1788.0,8940.0,1275.0,6374.0,4743.0,75649.0,4743.0,23713.0,,,,,1485.0,7804.0,1580.0,8307.0,1127.0,5923.0,4192.0,73970.0,4192.0,22033.0,3.6,23.2
6,6.0,6.0,12622.201554,75733.209324,,,,,1680.0,10078.0,1788.0,10728.0,1275.0,7649.0,4743.0,80392.0,4743.0,28455.0,,,,,1448.0,9252.0,1542.0,9849.0,1099.0,7022.0,4090.0,78059.0,4090.0,26123.0,3.6,26.8
7,7.0,7.0,12622.201554,88355.410878,,,,,1680.0,11758.0,1788.0,12516.0,1275.0,8924.0,4743.0,85135.0,4743.0,33198.0,,,,,1413.0,10665.0,1504.0,11353.0,1072.0,8094.0,3990.0,82049.0,3990.0,30112.0,3.6,30.4
8,8.0,8.0,12622.201554,100977.612432,,,,,1680.0,13438.0,1788.0,14304.0,1275.0,10199.0,4743.0,89877.0,4743.0,37941.0,,,,,1379.0,12044.0,1467.0,12820.0,1046.0,9141.0,3892.0,85941.0,3892.0,34005.0,3.6,33.9
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1512.0,14950.0,1609.0,15913.0,1147.0,11346.0,4268.0,94145.0,4268.0,42209.0,,,,,1214.0,13257.0,1292.0,14112.0,921.0,10062.0,3426.0,89368.0,3426.0,37431.0,3.2,37.1
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,51936.0,0,0,0.0,14950.0,0.0,15913.0,0.0,11346.0,0.0,94145.0,0.0,42209.0,0.0,51936.0,0,0,0.0,13257.0,0.0,14112.0,0.0,10062.0,0.0,89368.0,0.0,37431.0,0.0,37.1
