period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1457.0,1457.0,1788.0,1788.0,1275.0,1275.0,4520.0,56456.0,4520.0,4520.0,,,,,1387.0,1387.0,1703.0,1703.0,1214.0,1214.0,4304.0,56241.0,4304.0,4304.0,3.6,9.0
2,2.0,2.0,12622.201554,25244.403108,,,,,1457.0,2913.0,1788.0,3576.0,1275.0,2550.0,4520.0,60976.0,4520.0,9039.0,,,,,1321.0,2709.0,1622.0,3325.0,1156.0,2370.0,4099.0,60340.0,4099.0,8404.0,3.6,12.6
3,3.0,3.0,12622.201554,37866.604662,,,,,1457.0,4370.0,1788.0,5364.0,1275.0,3825.0,4520.0,65495.0,4520.0,13559.0,,,,,1258.0,3967.0,1545.0,4869.0,1101.0,3472.0,3904.0,64244.0,3904.0,12308.0,3.6,16.1
4,4.0,4.0,12622.201554,50488.806216,,,,,1457.0,5827.0,1788.0,7152.0,1275.0,5099.0,4520.0,70015.0,4520.0,18078.0,,,,,1198.0,5165.0,1471.0,6340.0,1049.0,4521.0,3718.0,67963.0,3718.0,16026.0,3.6,19.7
5,5.0,5.0,12622.201554,63111.00777,,,,,1457.0,7283.0,1788.0,8940.0,1275.0,6374.0,4520.0,74534.0,4520.0,22598.0,,,,,1141.0,6307.0,1401.0,7741.0,999.0,5519.0,3541.0,71504.0,3541.0,19567.0,3.6,23.2
6,6.0,6.0,12622.201554,75733.209324,,,,,1457.0,8740.0,1788.0,10728.0,1275.0,7649.0,4520.0,79054.0,4520.0,27117.0,,,,,1087.0,7394.0,1334.0,9075.0,951.0,6471.0,3373.0,74876.0,3373.0,22940.0,3.6,26.8
7,7.0,7.0,12622.201554,88355.410878,,,,,1457.0,10197.0,1788.0,12516.0,1275.0,8924.0,4520.0,83573.0,4520.0,31637.0,,,,,1035.0,8429.0,1271.0,10346.0,906.0,7377.0,3212.0,78088.0,3212.0,26152.0,3.6,30.4
8,8.0,8.0,12622.201554,100977.612432,,,,,1457.0,11653.0,1788.0,14304.0,1275.0,10199.0,4520.0,88093.0,4520.0,36156.0,,,,,986.0,9415.0,1210.0,11556.0,863.0,8240.0,3059.0,81147.0,3059.0,29211.0,3.6,33.9
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1311.0,12964.0,1609.0,15913.0,1147.0,11346.0,4068.0,92160.0,4068.0,40224.0,,,,,849.0,10264.0,1042.0,12599.0,743.0,8983.0,2635.0,83782.0,2635.0,31845.0,3.2,37.1
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,51936.0,0,0,0.0,12964.0,0.0,15913.0,0.0,11346.0,0.0,92160.0,0.0,40224.0,0.0,51936.0,0,0,0.0,10264.0,0.0,12599.0,0.0,8983.0,0.0,83782.0,0.0,31845.0,0.0,37.1
