period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,2041.0,2041.0,1788,1788,1350.0,1350.0,5179.0,57115.0,5179.0,5179.0,,,,,1944.0,1944.0,1703.0,1703.0,1285.0,1285.0,4932.0,56869.0,4932.0,4932.0,3.8,9.2
2,2,2.0,13363.34444,26726.68888,,,,,2041.0,4082.0,1788,3576,1350.0,2699.0,5179.0,62294.0,5179.0,10358.0,,,,,1851.0,3796.0,1622.0,3325.0,1224.0,2510.0,4697.0,61566.0,4697.0,9630.0,3.8,13.0
3,3,3.0,13363.34444,40090.03332,,,,,2041.0,6124.0,1788,5364,1350.0,4049.0,5179.0,67473.0,5179.0,15537.0,,,,,1763.0,5559.0,1545.0,4869.0,1166.0,3676.0,4474.0,66040.0,4474.0,14104.0,3.8,16.8
4,4,4.0,13363.34444,53453.37776,,,,,2041.0,8165.0,1788,7152,1350.0,5399.0,5179.0,72652.0,5179.0,20716.0,,,,,1679.0,7238.0,1471.0,6340.0,1110.0,4786.0,4261.0,70301.0,4261.0,18364.0,3.8,20.5
5,5,5.0,13363.34444,66816.7222,,,,,2041.0,10206.0,1788,8940,1350.0,6748.0,5179.0,77831.0,5179.0,25895.0,,,,,1599.0,8838.0,1401.0,7741.0,1058.0,5843.0,4058.0,74359.0,4058.0,22422.0,3.8,24.3
6,6,6.0,13363.34444,80180.06664,,,,,2041.0,12247.0,1788,10728,1350.0,8098.0,5179.0,83010.0,5179.0,31074.0,,,,,1523.0,10361.0,1334.0,9075.0,1007.0,6851.0,3865.0,78223.0,3865.0,26287.0,3.8,28.1
7,7,7.0,13363.34444,93543.41108,,,,,2041.0,14289.0,1788,12516,1350.0,9448.0,5179.0,88189.0,5179.0,36253.0,,,,,1451.0,11811.0,1271.0,10346.0,959.0,7810.0,3681.0,81904.0,3681.0,29967.0,3.8,31.8
8,8,8.0,13363.34444,106906.75552,,,,,2041.0,16330.0,1788,14304,1350.0,10798.0,5179.0,93368.0,5179.0,41432.0,,,,,1382.0,13193.0,1210.0,11556.0,914.0,8723.0,3505.0,85409.0,3505.0,33473.0,3.8,35.6
9,9,9.0,13363.34444,120270.09996,,,,,2041.0,18371.0,1788,16092,1350.0,12147.0,5179.0,98547.0,5179.0,46610.0,,,,,1316.0,14509.0,1153.0,12709.0,870.0,9593.0,3338.0,88747.0,3338.0,36811.0,3.8,39.3
10,10,10.0,13363.34444,133633.4444,,,,,2041.0,20412.0,1788,17880,1350.0,13497.0,5179.0,103726.0,5179.0,51789.0,,,,,1253.0,15762.0,1098.0,13806.0,829.0,10422.0,3179.0,91927.0,3179.0,39990.0,3.8,43.1
11,11,11.0,13363.34444,146996.78884,,,,,2041.0,22454.0,1788,19668,1350.0,14847.0,5179.0,108905.0,5179.0,56968.0,,,,,1193.0,16955.0,1045.0,14852.0,789.0,11211.0,3028.0,94955.0,3028.0,43018.0,3.8,46.9
12,12,12.0,13363.34444,160360.13328,,,,,2041.0,24495.0,1788,21456,1350.0,16196.0,5179.0,114084.0,5179.0,62147.0,,,,,1137.0,18092.0,996.0,15847.0,752.0,11963.0,2884.0,97839.0,2884.0,45902.0,3.8,50.6
13,13,13.0,13363.34444,173723.47772000002,,,,,2041.0,26536.0,1788,23244,1350.0,17546.0,5179.0,119263.0,5179.0,67326.0,,,,,1083.0,19175.0,948.0,16796.0,716.0,12678.0,2747.0,100585.0,2747.0,48649.0,3.8,54.4
post-use,13,14.3,0.0,173723.47772000002,0.0,51936.0,0,0,0.0,26536.0,0,23244,0.0,17546.0,0.0,119263.0,0.0,67326.0,0.0,51936.0,0,0,0.0,19175.0,0.0,16796.0,0.0,12678.0,0.0,100585.0,0.0,48649.0,0.0,54.4
