period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1762.0,1762.0,1788.0,1788.0,1165.0,1165.0,4715.0,56651.0,4715.0,4715.0,,,,,1719.0,1719.0,1744.0,1744.0,1136.0,1136.0,4600.0,56536.0,4600.0,4600.0,3.2,8.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1762.0,3523.0,1788.0,3576.0,1165.0,2330.0,4715.0,61366.0,4715.0,9429.0,,,,,1677.0,3396.0,1702.0,3446.0,1109.0,2245.0,4487.0,61024.0,4487.0,9087.0,3.2,12.0
3,3.0,3.0,11533.46302,34600.38906,,,,,1762.0,5285.0,1788.0,5364.0,1165.0,3495.0,4715.0,66080.0,4715.0,14144.0,,,,,1636.0,5032.0,1660.0,5107.0,1082.0,3327.0,4378.0,65402.0,4378.0,13465.0,3.2,15.2
4,4.0,4.0,11533.46302,46133.85208,,,,,1762.0,7047.0,1788.0,7152.0,1165.0,4660.0,4715.0,70795.0,4715.0,18858.0,,,,,1596.0,6628.0,1620.0,6726.0,1055.0,4382.0,4271.0,69673.0,4271.0,17736.0,3.2,18.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1762.0,8809.0,1788.0,8940.0,1165.0,5824.0,4715.0,75510.0,4715.0,23573.0,,,,,1557.0,8185.0,1580.0,8307.0,1030.0,5412.0,4167.0,73840.0,4167.0,21903.0,3.2,21.7
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1762.0,10570.0,1788.0,10728.0,1165.0,6989.0,4715.0,80224.0,4715.0,28288.0,,,,,1519.0,9704.0,1542.0,9849.0,1004.0,6416.0,4065.0,77905.0,4065.0,25969.0,3.2,25.0
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1762.0,12332.0,1788.0,12516.0,1165.0,8154.0,4715.0,84939.0,4715.0,33002.0,,,,,1482.0,11186.0,1504.0,11353.0,980.0,7396.0,3966.0,81871.0,3966.0,29935.0,3.2,28.2
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1762.0,14094.0,1788.0,14304.0,1165.0,9319.0,4715.0,89653.0,4715.0,37717.0,,,,,1446.0,12632.0,1467.0,12820.0,956.0,8352.0,3870.0,85741.0,3870.0,33804.0,3.2,31.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1586.0,15679.0,1609.0,15913.0,1048.0,10367.0,4243.0,93897.0,4243.0,41960.0,,,,,1273.0,13905.0,1292.0,14112.0,842.0,9194.0,3406.0,89147.0,3406.0,37210.0,2.9,34.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,51936.0,0,0,0.0,15679.0,0.0,15913.0,0.0,10367.0,0.0,93897.0,0.0,41960.0,0.0,51936.0,0,0,0.0,13905.0,0.0,14112.0,0.0,9194.0,0.0,89147.0,0.0,37210.0,0.0,34.4
