period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,1206.0,1206.0,1788.0,1788.0,1275.0,1275.0,4269.0,56206.0,4269.0,4269.0,,,,,1149.0,1149.0,1703.0,1703.0,1214.0,1214.0,4066.0,56002.0,4066.0,4066.0,3.6,9.0
2,2.0,2.0,12622.201554,25244.403108,,,,,1206.0,2413.0,1788.0,3576.0,1275.0,2550.0,4269.0,60475.0,4269.0,8538.0,,,,,1094.0,2243.0,1622.0,3325.0,1156.0,2370.0,3872.0,59875.0,3872.0,7938.0,3.6,12.6
3,3.0,3.0,12622.201554,37866.604662,,,,,1206.0,3619.0,1788.0,5364.0,1275.0,3825.0,4269.0,64744.0,4269.0,12807.0,,,,,1042.0,3285.0,1545.0,4869.0,1101.0,3472.0,3688.0,63562.0,3688.0,11626.0,3.6,16.1
4,4.0,4.0,12622.201554,50488.806216,,,,,1206.0,4825.0,1788.0,7152.0,1275.0,5099.0,4269.0,69013.0,4269.0,17077.0,,,,,992.0,4278.0,1471.0,6340.0,1049.0,4521.0,3512.0,67075.0,3512.0,15138.0,3.6,19.7
5,5.0,5.0,12622.201554,63111.00777,,,,,1206.0,6032.0,1788.0,8940.0,1275.0,6374.0,4269.0,73282.0,4269.0,21346.0,,,,,945.0,5223.0,1401.0,7741.0,999.0,5519.0,3345.0,70420.0,3345.0,18483.0,3.6,23.2
6,6.0,6.0,12622.201554,75733.209324,,,,,1206.0,7238.0,1788.0,10728.0,1275.0,7649.0,4269.0,77551.0,4269.0,25615.0,,,,,900.0,6123.0,1334.0,9075.0,951.0,6471.0,3186.0,73605.0,3186.0,21669.0,3.6,26.8
7,7.0,7.0,12622.201554,88355.410878,,,,,1206.0,8444.0,1788.0,12516.0,1275.0,8924.0,4269.0,81821.0,4269.0,29884.0,,,,,857.0,6980.0,1271.0,10346.0,906.0,7377.0,3034.0,76639.0,3034.0,24703.0,3.6,30.4
8,8.0,8.0,12622.201554,100977.612432,,,,,1206.0,9651.0,1788.0,14304.0,1275.0,10199.0,4269.0,86090.0,4269.0,34153.0,,,,,816.0,7797.0,1210.0,11556.0,863.0,8240.0,2890.0,79529.0,2890.0,27592.0,3.6,33.9
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1086.0,10736.0,1609.0,15913.0,1147.0,11346.0,3842.0,89932.0,3842.0,37996.0,,,,,703.0,8500.0,1042.0,12599.0,743.0,8983.0,2489.0,82018.0,2489.0,30081.0,3.2,37.1
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,51936.0,0,0,0.0,10736.0,0.0,15913.0,0.0,11346.0,0.0,89932.0,0.0,37996.0,0.0,51936.0,0,0,0.0,8500.0,0.0,12599.0,0.0,8983.0,0.0,82018.0,0.0,30081.0,0.0,37.1
