period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0,0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1640.0,1640.0,1788,1788,1350.0,1350.0,4778.0,56714.0,4778.0,4778.0,,,,,1600.0,1600.0,1744.0,1744.0,1317.0,1317.0,4661.0,56598.0,4661.0,4661.0,3.8,9.2
2,2,2.0,13363.34444,26726.68888,,,,,1640.0,3280.0,1788,3576,1350.0,2699.0,4778.0,61492.0,4778.0,9555.0,,,,,1561.0,3161.0,1702.0,3446.0,1285.0,2601.0,4547.0,61145.0,4547.0,9208.0,3.8,13.0
3,3,3.0,13363.34444,40090.03332,,,,,1640.0,4920.0,1788,5364,1350.0,4049.0,4778.0,66269.0,4778.0,14333.0,,,,,1523.0,4684.0,1660.0,5107.0,1253.0,3855.0,4436.0,65581.0,4436.0,13645.0,3.8,16.8
4,4,4.0,13363.34444,53453.37776,,,,,1640.0,6560.0,1788,7152,1350.0,5399.0,4778.0,71047.0,4778.0,19110.0,,,,,1486.0,6169.0,1620.0,6726.0,1223.0,5078.0,4328.0,69910.0,4328.0,17973.0,3.8,20.5
5,5,5.0,13363.34444,66816.7222,,,,,1640.0,8200.0,1788,8940,1350.0,6748.0,4778.0,75825.0,4778.0,23888.0,,,,,1449.0,7619.0,1580.0,8307.0,1193.0,6270.0,4223.0,74132.0,4223.0,22196.0,3.8,24.3
6,6,6.0,13363.34444,80180.06664,,,,,1640.0,9840.0,1788,10728,1350.0,8098.0,4778.0,80602.0,4778.0,28666.0,,,,,1414.0,9033.0,1542.0,9849.0,1164.0,7434.0,4120.0,78252.0,4120.0,26316.0,3.8,28.1
7,7,7.0,13363.34444,93543.41108,,,,,1640.0,11479.0,1788,12516,1350.0,9448.0,4778.0,85380.0,4778.0,33443.0,,,,,1380.0,10412.0,1504.0,11353.0,1135.0,8570.0,4019.0,82271.0,4019.0,30335.0,3.8,31.8
8,8,8.0,13363.34444,106906.75552,,,,,1640.0,13119.0,1788,14304,1350.0,10798.0,4778.0,90157.0,4778.0,38221.0,,,,,1346.0,11758.0,1467.0,12820.0,1108.0,9678.0,3921.0,86193.0,3921.0,34256.0,3.8,35.6
9,9,9.0,13363.34444,120270.09996,,,,,1640.0,14759.0,1788,16092,1350.0,12147.0,4778.0,94935.0,4778.0,42999.0,,,,,1313.0,13072.0,1432.0,14252.0,1081.0,10758.0,3826.0,90018.0,3826.0,38082.0,3.8,39.3
10,10,10.0,13363.34444,133633.4444,,,,,1640.0,16399.0,1788,17880,1350.0,13497.0,4778.0,99713.0,4778.0,47776.0,,,,,1281.0,14353.0,1397.0,15649.0,1054.0,11813.0,3732.0,93750.0,3732.0,41814.0,3.8,43.1
11,11,11.0,13363.34444,146996.78884,,,,,1640.0,18039.0,1788,19668,1350.0,14847.0,4778.0,104490.0,4778.0,52554.0,,,,,1250.0,15603.0,1363.0,17011.0,1029.0,12841.0,3641.0,97392.0,3641.0,45455.0,3.8,46.9
12,12,12.0,13363.34444,160360.13328,,,,,1640.0,19679.0,1788,21456,1350.0,16196.0,4778.0,109268.0,4778.0,57331.0,,,,,1219.0,16822.0,1329.0,18341.0,1004.0,13845.0,3552.0,100944.0,3552.0,49008.0,3.8,50.6
13,13,13.0,13363.34444,173723.47772000002,,,,,1640.0,21319.0,1788,23244,1350.0,17546.0,4778.0,114046.0,4778.0,62109.0,,,,,1190.0,18012.0,1297.0,19638.0,979.0,14824.0,3466.0,104410.0,3466.0,52473.0,3.8,54.4
post-use,13,14.3,0.0,173723.47772000002,0.0,51936.0,0,0,0.0,21319.0,0,23244,0.0,17546.0,0.0,114046.0,0.0,62109.0,0.0,51936.0,0,0,0.0,18012.0,0.0,19638.0,0.0,14824.0,0.0,104410.0,0.0,52473.0,0.0,54.4
