period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1415.0,1415.0,1788.0,1788.0,1165.0,1165.0,4368.0,56305.0,4368.0,4368.0,,,,,1348.0,1348.0,1703.0,1703.0,1109.0,1109.0,4160.0,56097.0,4160.0,4160.0,3.2,8.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1415.0,2831.0,1788.0,3576.0,1165.0,2330.0,4368.0,60673.0,4368.0,8736.0,,,,,1284.0,2632.0,1622.0,3325.0,1057.0,2166.0,3962.0,60059.0,3962.0,8122.0,3.2,12.0
3,3.0,3.0,11533.46302,34600.38906,,,,,1415.0,4246.0,1788.0,5364.0,1165.0,3495.0,4368.0,65041.0,4368.0,13105.0,,,,,1223.0,3854.0,1545.0,4869.0,1006.0,3172.0,3773.0,63832.0,3773.0,11896.0,3.2,15.2
4,4.0,4.0,11533.46302,46133.85208,,,,,1415.0,5661.0,1788.0,7152.0,1165.0,4660.0,4368.0,69409.0,4368.0,17473.0,,,,,1164.0,5019.0,1471.0,6340.0,958.0,4131.0,3594.0,67426.0,3594.0,15490.0,3.2,18.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1415.0,7077.0,1788.0,8940.0,1165.0,5824.0,4368.0,73778.0,4368.0,21841.0,,,,,1109.0,6128.0,1401.0,7741.0,913.0,5043.0,3423.0,70849.0,3423.0,18912.0,3.2,21.7
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1415.0,8492.0,1788.0,10728.0,1165.0,6989.0,4368.0,78146.0,4368.0,26209.0,,,,,1056.0,7184.0,1334.0,9075.0,869.0,5913.0,3260.0,74108.0,3260.0,22172.0,3.2,25.0
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1415.0,9908.0,1788.0,12516.0,1165.0,8154.0,4368.0,82514.0,4368.0,30578.0,,,,,1006.0,8190.0,1271.0,10346.0,828.0,6740.0,3104.0,77213.0,3104.0,25276.0,3.2,28.2
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1415.0,11323.0,1788.0,14304.0,1165.0,9319.0,4368.0,86882.0,4368.0,34946.0,,,,,958.0,9148.0,1210.0,11556.0,788.0,7529.0,2957.0,80169.0,2957.0,28233.0,3.2,31.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1274.0,12597.0,1609.0,15913.0,1048.0,10367.0,3931.0,90814.0,3931.0,38877.0,,,,,825.0,9973.0,1042.0,12599.0,679.0,8208.0,2547.0,82716.0,2547.0,30779.0,2.9,34.4
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,51936.0,0,0,0.0,12597.0,0.0,15913.0,0.0,10367.0,0.0,90814.0,0.0,38877.0,0.0,51936.0,0,0,0.0,9973.0,0.0,12599.0,0.0,8208.0,0.0,82716.0,0.0,30779.0,0.0,34.4
