period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,687.0,687.0,1884.0,1884.0,706.0,706.0,-4223.0,24777.0,,,-7317.0,-7317.0,670.0,670.0,1838.0,1838.0,689.0,689.0,-4120.0,24880.0,0.8,10.6
2,2.0,2.0,11576.0,23152.0,,,,,687.0,1373.0,1884.0,3768.0,706.0,1412.0,3277.0,28054.0,,,,,654.0,1323.0,1793.0,3631.0,672.0,1361.0,3119.0,27999.0,0.8,11.4
3,3.0,3.0,11576.0,34728.0,,,,,687.0,2060.0,1884.0,5652.0,706.0,2118.0,3277.0,31330.0,,,,,638.0,1961.0,1749.0,5381.0,656.0,2017.0,3043.0,31042.0,0.8,12.2
4,4.0,4.0,11576.0,46304.0,,,,,687.0,2747.0,1884.0,7536.0,706.0,2825.0,3277.0,34607.0,,,,,622.0,2583.0,1707.0,7088.0,640.0,2656.0,2969.0,34010.0,0.8,12.9
5,5.0,5.0,11576.0,57880.0,,,,,687.0,3433.0,1884.0,9420.0,706.0,3531.0,3277.0,37884.0,,,,,607.0,3190.0,1665.0,8753.0,624.0,3281.0,2896.0,36906.0,0.8,13.7
6,6.0,6.0,11576.0,69456.0,,,,,687.0,4120.0,1884.0,11304.0,706.0,4237.0,3277.0,41161.0,,,,,592.0,3782.0,1625.0,10377.0,609.0,3889.0,2826.0,39732.0,0.8,14.5
7,7.0,7.0,11576.0,81032.0,,,,,687.0,4807.0,1884.0,13188.0,706.0,4943.0,3277.0,44438.0,,,,,578.0,4360.0,1585.0,11962.0,594.0,4484.0,2757.0,42489.0,0.8,15.3
8,8.0,8.0,11576.0,92608.0,,,,,687.0,5493.0,1884.0,15072.0,706.0,5649.0,3277.0,47714.0,,,,,564.0,4923.0,1546.0,13509.0,580.0,5063.0,2689.0,45178.0,0.8,16.1
9,9.0,9.0,11576.0,104184.0,,,,,687.0,6180.0,1884.0,16956.0,706.0,6355.0,3277.0,50991.0,,,,,550.0,5473.0,1509.0,15017.0,565.0,5629.0,2624.0,47802.0,0.8,16.8
10,10.0,10.0,11576.0,115760.0,,,,,687.0,6867.0,1884.0,18840.0,706.0,7061.0,3277.0,54268.0,,,,,536.0,6010.0,1472.0,16489.0,552.0,6180.0,2560.0,50362.0,0.8,17.6
11,11.0,11.0,11576.0,127336.0,,,,,687.0,7553.0,1884.0,20724.0,706.0,7767.0,3277.0,57545.0,,,,,523.0,6533.0,1436.0,17925.0,538.0,6718.0,2497.0,52859.0,0.8,18.4
12,12.0,12.0,11576.0,138912.0,,,,,687.0,8240.0,1884.0,22608.0,706.0,8474.0,3277.0,60822.0,,,,,511.0,7044.0,1401.0,19326.0,525.0,7243.0,2436.0,55296.0,0.8,19.2
13,13.0,13.0,11576.0,150488.0,,,,,687.0,8927.0,1884.0,24492.0,706.0,9180.0,3277.0,64098.0,,,,,498.0,7542.0,1367.0,20692.0,512.0,7756.0,2377.0,57673.0,0.8,20.0
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,96.0,9023.0,264.0,24756.0,99.0,9279.0,459.0,64557.0,,,,,69.0,7611.0,191.0,20883.0,71.0,7827.0,332.0,58004.0,0.1,20.1
post-use,13.14,14.454000000000002,0.0,152108.64,0,29000,0,-7500,0.0,9023.0,0.0,24756.0,0.0,9279.0,0.0,64557.0,0,29000,0.0,-7317.0,0.0,7611.0,0.0,20883.0,0.0,7827.0,0.0,58004.0,0.0,20.1
