period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,820.0,820.0,1884.0,1884.0,843.0,843.0,-3953.0,25047.0,-3953.0,-3953.0,,,-7143.0,-7143.0,781.0,781.0,1794.0,1794.0,803.0,803.0,-3765.0,25235.0,-3765.0,-3765.0,0.9,10.8
2,2.0,2.0,13821.181558,27642.363116,,,,,820.0,1640.0,1884.0,3768.0,843.0,1686.0,3547.0,28594.0,3547.0,-406.0,,,,,744.0,1524.0,1709.0,3503.0,765.0,1568.0,3217.0,28452.0,3217.0,-548.0,0.9,11.7
3,3.0,3.0,13821.181558,41463.544674000004,,,,,820.0,2460.0,1884.0,5652.0,843.0,2529.0,3547.0,32141.0,3547.0,3141.0,,,,,708.0,2233.0,1627.0,5131.0,728.0,2296.0,3064.0,31516.0,3064.0,2516.0,0.9,12.6
4,4.0,4.0,13821.181558,55284.726232,,,,,820.0,3279.0,1884.0,7536.0,843.0,3372.0,3547.0,35688.0,3547.0,6688.0,,,,,674.0,2907.0,1550.0,6681.0,694.0,2990.0,2918.0,34434.0,2918.0,5434.0,0.9,13.5
5,5.0,5.0,13821.181558,69105.90779,,,,,820.0,4099.0,1884.0,9420.0,843.0,4215.0,3547.0,39235.0,3547.0,10235.0,,,,,642.0,3549.0,1476.0,8157.0,661.0,3650.0,2779.0,37214.0,2779.0,8214.0,0.9,14.5
6,6.0,6.0,13821.181558,82927.089348,,,,,820.0,4919.0,1884.0,11304.0,843.0,5059.0,3547.0,42782.0,3547.0,13782.0,,,,,612.0,4161.0,1406.0,9563.0,629.0,4279.0,2647.0,39860.0,2647.0,10860.0,0.9,15.4
7,7.0,7.0,13821.181558,96748.27090599999,,,,,820.0,5739.0,1884.0,13188.0,843.0,5902.0,3547.0,46329.0,3547.0,17329.0,,,,,583.0,4744.0,1339.0,10902.0,599.0,4878.0,2521.0,42381.0,2521.0,13381.0,0.9,16.3
8,8.0,8.0,13821.181558,110569.45246399999,,,,,820.0,6559.0,1884.0,15072.0,843.0,6745.0,3547.0,49875.0,3547.0,20875.0,,,,,555.0,5299.0,1275.0,12177.0,571.0,5449.0,2401.0,44782.0,2401.0,15782.0,0.9,17.3
9,9.0,9.0,13821.181558,124390.63402199998,,,,,820.0,7379.0,1884.0,16956.0,843.0,7588.0,3547.0,53422.0,3547.0,24422.0,,,,,528.0,5827.0,1214.0,13391.0,543.0,5993.0,2286.0,47068.0,2286.0,18068.0,0.9,18.2
10,10.0,10.0,13821.181558,138211.81558,,,,,820.0,8198.0,1884.0,18840.0,843.0,8431.0,3547.0,56969.0,3547.0,27969.0,,,,,503.0,6331.0,1157.0,14548.0,518.0,6510.0,2178.0,49246.0,2178.0,20246.0,0.9,19.1
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,574.0,8772.0,1319.0,20159.0,590.0,9021.0,2483.0,59452.0,2483.0,30452.0,,,,,340.0,6671.0,782.0,15330.0,350.0,6860.0,1473.0,50719.0,1473.0,21719.0,0.7,19.8
post-use,10.7,11.77,0.0,147886.64267059998,0,29000,0,-7500,0.0,8772.0,0.0,20159.0,0.0,9021.0,0.0,59452.0,0.0,30452.0,0,29000,0.0,-7143.0,0.0,6671.0,0.0,15330.0,0.0,6860.0,0.0,50719.0,0.0,21719.0,0.0,19.8
