period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,684.0,684.0,1884.0,1884.0,704.0,704.0,-4228.0,24772.0,-4228.0,-4228.0,,,-7143.0,-7143.0,652.0,652.0,1794.0,1794.0,670.0,670.0,-4027.0,24973.0,-4027.0,-4027.0,0.8,10.6
2,2.0,2.0,11533.46302,23066.92604,,,,,684.0,1368.0,1884.0,3768.0,704.0,1407.0,3272.0,28043.0,3272.0,-957.0,,,,,621.0,1272.0,1709.0,3503.0,638.0,1308.0,2968.0,27941.0,2968.0,-1059.0,0.8,11.4
3,3.0,3.0,11533.46302,34600.38906,,,,,684.0,2052.0,1884.0,5652.0,704.0,2111.0,3272.0,31315.0,3272.0,2315.0,,,,,591.0,1863.0,1627.0,5131.0,608.0,1916.0,2826.0,30767.0,2826.0,1767.0,0.8,12.2
4,4.0,4.0,11533.46302,46133.85208,,,,,684.0,2737.0,1884.0,7536.0,704.0,2814.0,3272.0,34587.0,3272.0,5587.0,,,,,563.0,2426.0,1550.0,6681.0,579.0,2495.0,2692.0,33458.0,2692.0,4458.0,0.8,12.9
5,5.0,5.0,11533.46302,57667.31509999999,,,,,684.0,3421.0,1884.0,9420.0,704.0,3518.0,3272.0,37858.0,3272.0,8858.0,,,,,536.0,2962.0,1476.0,8157.0,551.0,3046.0,2563.0,36022.0,2563.0,7022.0,0.8,13.7
6,6.0,6.0,11533.46302,69200.77811999999,,,,,684.0,4105.0,1884.0,11304.0,704.0,4221.0,3272.0,41130.0,3272.0,12130.0,,,,,511.0,3472.0,1406.0,9563.0,525.0,3571.0,2441.0,38463.0,2441.0,9463.0,0.8,14.5
7,7.0,7.0,11533.46302,80734.24113999998,,,,,684.0,4789.0,1884.0,13188.0,704.0,4925.0,3272.0,44402.0,3272.0,15402.0,,,,,486.0,3959.0,1339.0,10902.0,500.0,4071.0,2325.0,40788.0,2325.0,11788.0,0.8,15.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,684.0,5473.0,1884.0,15072.0,704.0,5628.0,3272.0,47673.0,3272.0,18673.0,,,,,463.0,4422.0,1275.0,12177.0,476.0,4547.0,2214.0,43003.0,2214.0,14003.0,0.8,16.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,616.0,6089.0,1696.0,16768.0,633.0,6262.0,2945.0,50618.0,2945.0,21618.0,,,,,399.0,4821.0,1098.0,13275.0,410.0,4957.0,1907.0,44910.0,1907.0,15910.0,0.7,16.7
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,29000,0,-7500,0.0,6089.0,0.0,16768.0,0.0,6262.0,0.0,50618.0,0.0,21618.0,0,29000,0.0,-7143.0,0.0,4821.0,0.0,13275.0,0.0,4957.0,0.0,44910.0,0.0,15910.0,0.0,16.7
