period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,1134.0,1134.0,1884.0,1884.0,706.0,706.0,-3775.0,25225.0,,,-7317.0,-7317.0,1107.0,1107.0,1838.0,1838.0,689.0,689.0,-3683.0,25317.0,1.4,11.2
2,2.0,2.0,11576.0,23152.0,,,,,1134.0,2269.0,1884.0,3768.0,706.0,1412.0,3725.0,28949.0,,,,,1080.0,2187.0,1793.0,3631.0,672.0,1361.0,3545.0,28862.0,1.4,12.6
3,3.0,3.0,11576.0,34728.0,,,,,1134.0,3403.0,1884.0,5652.0,706.0,2118.0,3725.0,32674.0,,,,,1053.0,3240.0,1749.0,5381.0,656.0,2017.0,3459.0,32320.0,1.4,13.9
4,4.0,4.0,11576.0,46304.0,,,,,1134.0,4538.0,1884.0,7536.0,706.0,2825.0,3725.0,36398.0,,,,,1028.0,4268.0,1707.0,7088.0,640.0,2656.0,3374.0,35695.0,1.4,15.3
5,5.0,5.0,11576.0,57880.0,,,,,1134.0,5672.0,1884.0,9420.0,706.0,3531.0,3725.0,40123.0,,,,,1003.0,5270.0,1665.0,8753.0,624.0,3281.0,3292.0,38987.0,1.4,16.7
6,6.0,6.0,11576.0,69456.0,,,,,1134.0,6807.0,1884.0,11304.0,706.0,4237.0,3725.0,43848.0,,,,,978.0,6249.0,1625.0,10377.0,609.0,3889.0,3212.0,42198.0,1.4,18.1
7,7.0,7.0,11576.0,81032.0,,,,,1134.0,7941.0,1884.0,13188.0,706.0,4943.0,3725.0,47572.0,,,,,954.0,7203.0,1585.0,11962.0,594.0,4484.0,3133.0,45332.0,1.4,19.4
8,8.0,8.0,11576.0,92608.0,,,,,1134.0,9076.0,1884.0,15072.0,706.0,5649.0,3725.0,51297.0,,,,,931.0,8134.0,1546.0,13509.0,580.0,5063.0,3057.0,48389.0,1.4,20.8
9,9.0,9.0,11576.0,104184.0,,,,,1134.0,10210.0,1884.0,16956.0,706.0,6355.0,3725.0,55021.0,,,,,908.0,9043.0,1509.0,15017.0,565.0,5629.0,2982.0,51371.0,1.4,22.2
10,10.0,10.0,11576.0,115760.0,,,,,1134.0,11344.0,1884.0,18840.0,706.0,7061.0,3725.0,58746.0,,,,,886.0,9929.0,1472.0,16489.0,552.0,6180.0,2910.0,54281.0,1.4,23.5
11,11.0,11.0,11576.0,127336.0,,,,,1134.0,12479.0,1884.0,20724.0,706.0,7767.0,3725.0,62470.0,,,,,865.0,10793.0,1436.0,17925.0,538.0,6718.0,2839.0,57119.0,1.4,24.9
12,12.0,12.0,11576.0,138912.0,,,,,1134.0,13613.0,1884.0,22608.0,706.0,8474.0,3725.0,66195.0,,,,,844.0,11637.0,1401.0,19326.0,525.0,7243.0,2769.0,59889.0,1.4,26.3
13,13.0,13.0,11576.0,150488.0,,,,,1134.0,14748.0,1884.0,24492.0,706.0,9180.0,3725.0,69920.0,,,,,823.0,12460.0,1367.0,20692.0,512.0,7756.0,2702.0,62591.0,1.4,27.7
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,159.0,14907.0,264.0,24756.0,99.0,9279.0,521.0,70441.0,,,,,115.0,12575.0,191.0,20883.0,71.0,7827.0,377.0,62968.0,0.2,27.8
post-use,13.14,14.454000000000002,0.0,152108.64,0,29000,0,-7500,0.0,14907.0,0.0,24756.0,0.0,9279.0,0.0,70441.0,0,29000,0.0,-7317.0,0.0,12575.0,0.0,20883.0,0.0,7827.0,0.0,62968.0,0.0,27.8
