period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,477.0,477.0,1884.0,1884.0,770.0,770.0,-4369.0,24631.0,-4369.0,-4369.0,,,-7143.0,-7143.0,454.0,454.0,1794.0,1794.0,733.0,733.0,-4161.0,24839.0,-4161.0,-4161.0,1.5,11.3
2,2.0,2.0,12622.201554,25244.403108,,,,,477.0,954.0,1884.0,3768.0,770.0,1540.0,3131.0,27761.0,3131.0,-1239.0,,,,,432.0,887.0,1709.0,3503.0,698.0,1432.0,2840.0,27678.0,2840.0,-1322.0,1.5,12.8
3,3.0,3.0,12622.201554,37866.604662,,,,,477.0,1430.0,1884.0,5652.0,770.0,2310.0,3131.0,30892.0,3131.0,1892.0,,,,,412.0,1298.0,1627.0,5131.0,665.0,2097.0,2704.0,30383.0,2704.0,1383.0,1.5,14.3
4,4.0,4.0,12622.201554,50488.806216,,,,,477.0,1907.0,1884.0,7536.0,770.0,3080.0,3131.0,34023.0,3131.0,5023.0,,,,,392.0,1691.0,1550.0,6681.0,633.0,2730.0,2576.0,32959.0,2576.0,3959.0,1.5,15.8
5,5.0,5.0,12622.201554,63111.00777,,,,,477.0,2384.0,1884.0,9420.0,770.0,3850.0,3131.0,37154.0,3131.0,8154.0,,,,,374.0,2064.0,1476.0,8157.0,603.0,3333.0,2453.0,35412.0,2453.0,6412.0,1.5,17.3
6,6.0,6.0,12622.201554,75733.209324,,,,,477.0,2861.0,1884.0,11304.0,770.0,4620.0,3131.0,40284.0,3131.0,11284.0,,,,,356.0,2420.0,1406.0,9563.0,575.0,3908.0,2336.0,37748.0,2336.0,8748.0,1.5,18.8
7,7.0,7.0,12622.201554,88355.410878,,,,,477.0,3337.0,1884.0,13188.0,770.0,5390.0,3131.0,43415.0,3131.0,14415.0,,,,,339.0,2759.0,1339.0,10902.0,547.0,4455.0,2225.0,39973.0,2225.0,10973.0,1.5,20.3
8,8.0,8.0,12622.201554,100977.612432,,,,,477.0,3814.0,1884.0,15072.0,770.0,6160.0,3131.0,46546.0,3131.0,17546.0,,,,,323.0,3081.0,1275.0,12177.0,521.0,4976.0,2119.0,42092.0,2119.0,13092.0,1.5,21.8
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,429.0,4243.0,1696.0,16768.0,693.0,6853.0,2818.0,49363.0,2818.0,20363.0,,,,,278.0,3359.0,1098.0,13275.0,449.0,5425.0,1825.0,43917.0,1825.0,14917.0,1.3,23.1
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,29000,0,-7500,0.0,4243.0,0.0,16768.0,0.0,6853.0,0.0,49363.0,0.0,20363.0,0,29000,0.0,-7143.0,0.0,3359.0,0.0,13275.0,0.0,5425.0,0.0,43917.0,0.0,14917.0,0.0,23.1
