period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0,0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,505.0,505.0,1884,1884,815.0,815.0,1815.0,30815.0,1815.0,1815.0,,,-1355.0,-1355.0,492.0,492.0,1838.0,1838.0,795.0,795.0,1771.0,30771.0,1771.0,1771.0,1.6,11.4
2,2,2.0,13363.34444,26726.68888,,,,,505.0,1010.0,1884,3768,815.0,1630.0,3204.0,34019.0,3204.0,5019.0,,,,,480.0,973.0,1793.0,3631.0,776.0,1571.0,3050.0,33821.0,3050.0,4821.0,1.6,13.0
3,3,3.0,13363.34444,40090.03332,,,,,505.0,1514.0,1884,5652,815.0,2445.0,3204.0,37223.0,3204.0,8223.0,,,,,469.0,1442.0,1749.0,5381.0,757.0,2328.0,2975.0,36796.0,2975.0,7796.0,1.6,14.6
4,4,4.0,13363.34444,53453.37776,,,,,505.0,2019.0,1884,7536,815.0,3261.0,3204.0,40427.0,3204.0,11427.0,,,,,457.0,1899.0,1707.0,7088.0,738.0,3067.0,2903.0,39698.0,2903.0,10698.0,1.6,16.2
5,5,5.0,13363.34444,66816.7222,,,,,505.0,2524.0,1884,9420,815.0,4076.0,3204.0,43631.0,3204.0,14631.0,,,,,446.0,2345.0,1665.0,8753.0,720.0,3787.0,2832.0,42530.0,2832.0,13530.0,1.6,17.7
6,6,6.0,13363.34444,80180.06664,,,,,505.0,3029.0,1884,11304,815.0,4891.0,3204.0,46835.0,3204.0,17835.0,,,,,435.0,2780.0,1625.0,10377.0,703.0,4490.0,2763.0,45293.0,2763.0,16293.0,1.6,19.3
7,7,7.0,13363.34444,93543.41108,,,,,505.0,3533.0,1884,13188,815.0,5706.0,3204.0,50039.0,3204.0,21039.0,,,,,425.0,3205.0,1585.0,11962.0,686.0,5176.0,2695.0,47988.0,2695.0,18988.0,1.6,20.9
8,8,8.0,13363.34444,106906.75552,,,,,505.0,4038.0,1884,15072,815.0,6521.0,3204.0,53243.0,3204.0,24243.0,,,,,414.0,3619.0,1546.0,13509.0,669.0,5845.0,2630.0,50618.0,2630.0,21618.0,1.6,22.5
9,9,9.0,13363.34444,120270.09996,,,,,505.0,4543.0,1884,16956,815.0,7336.0,3204.0,56447.0,3204.0,27447.0,,,,,404.0,4023.0,1509.0,15017.0,653.0,6498.0,2565.0,53183.0,2565.0,24183.0,1.6,24.1
10,10,10.0,13363.34444,133633.4444,,,,,505.0,5048.0,1884,18840,815.0,8152.0,3204.0,59651.0,3204.0,30651.0,,,,,394.0,4418.0,1472.0,16489.0,637.0,7134.0,2503.0,55686.0,2503.0,26686.0,1.6,25.7
11,11,11.0,13363.34444,146996.78884,,,,,505.0,5552.0,1884,20724,815.0,8967.0,3204.0,62854.0,3204.0,33854.0,,,,,385.0,4802.0,1436.0,17925.0,621.0,7756.0,2442.0,58128.0,2442.0,29128.0,1.6,27.2
12,12,12.0,13363.34444,160360.13328,,,,,505.0,6057.0,1884,22608,815.0,9782.0,3204.0,66058.0,3204.0,37058.0,,,,,375.0,5178.0,1401.0,19326.0,606.0,8362.0,2382.0,60510.0,2382.0,31510.0,1.6,28.8
13,13,13.0,13363.34444,173723.47772000002,,,,,505.0,6562.0,1884,24492,815.0,10597.0,3204.0,69262.0,3204.0,40262.0,,,,,366.0,5544.0,1367.0,20692.0,591.0,8953.0,2324.0,62834.0,2324.0,33834.0,1.6,30.4
post-use,13,14.3,0.0,173723.47772000002,0,29000,0.0,-1389.0,0.0,6562.0,0,24492,0.0,10597.0,0.0,69262.0,0.0,40262.0,0,29000,0.0,-1355.0,0.0,5544.0,0.0,20692.0,0.0,8953.0,0.0,62834.0,0.0,33834.0,0.0,30.4
