period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,9.8,9.8
1,1.0,1.0,11576.0,11576.0,,,-7500,-7500,356.0,356.0,1884.0,1884.0,706.0,706.0,-4553.0,24447.0,,,-7317.0,-7317.0,348.0,348.0,1838.0,1838.0,689.0,689.0,-4442.0,24558.0,0.3,10.2
2,2.0,2.0,11576.0,23152.0,,,,,356.0,713.0,1884.0,3768.0,706.0,1412.0,2947.0,27393.0,,,,,339.0,687.0,1793.0,3631.0,672.0,1361.0,2805.0,27362.0,0.3,10.5
3,3.0,3.0,11576.0,34728.0,,,,,356.0,1069.0,1884.0,5652.0,706.0,2118.0,2947.0,30340.0,,,,,331.0,1018.0,1749.0,5381.0,656.0,2017.0,2736.0,30098.0,0.3,10.8
4,4.0,4.0,11576.0,46304.0,,,,,356.0,1426.0,1884.0,7536.0,706.0,2825.0,2947.0,33286.0,,,,,323.0,1341.0,1707.0,7088.0,640.0,2656.0,2669.0,32768.0,0.3,11.2
5,5.0,5.0,11576.0,57880.0,,,,,356.0,1782.0,1884.0,9420.0,706.0,3531.0,2947.0,36233.0,,,,,315.0,1656.0,1665.0,8753.0,624.0,3281.0,2604.0,35372.0,0.3,11.5
6,6.0,6.0,11576.0,69456.0,,,,,356.0,2139.0,1884.0,11304.0,706.0,4237.0,2947.0,39179.0,,,,,307.0,1963.0,1625.0,10377.0,609.0,3889.0,2541.0,37913.0,0.3,11.9
7,7.0,7.0,11576.0,81032.0,,,,,356.0,2495.0,1884.0,13188.0,706.0,4943.0,2947.0,42126.0,,,,,300.0,2263.0,1585.0,11962.0,594.0,4484.0,2479.0,40392.0,0.3,12.2
8,8.0,8.0,11576.0,92608.0,,,,,356.0,2852.0,1884.0,15072.0,706.0,5649.0,2947.0,45073.0,,,,,293.0,2556.0,1546.0,13509.0,580.0,5063.0,2418.0,42810.0,0.3,12.5
9,9.0,9.0,11576.0,104184.0,,,,,356.0,3208.0,1884.0,16956.0,706.0,6355.0,2947.0,48019.0,,,,,285.0,2841.0,1509.0,15017.0,565.0,5629.0,2359.0,45170.0,0.3,12.9
10,10.0,10.0,11576.0,115760.0,,,,,356.0,3564.0,1884.0,18840.0,706.0,7061.0,2947.0,50966.0,,,,,278.0,3120.0,1472.0,16489.0,552.0,6180.0,2302.0,47472.0,0.3,13.2
11,11.0,11.0,11576.0,127336.0,,,,,356.0,3921.0,1884.0,20724.0,706.0,7767.0,2947.0,53912.0,,,,,272.0,3391.0,1436.0,17925.0,538.0,6718.0,2246.0,49717.0,0.3,13.6
12,12.0,12.0,11576.0,138912.0,,,,,356.0,4277.0,1884.0,22608.0,706.0,8474.0,2947.0,56859.0,,,,,265.0,3656.0,1401.0,19326.0,525.0,7243.0,2191.0,51908.0,0.3,13.9
13,13.0,13.0,11576.0,150488.0,,,,,356.0,4634.0,1884.0,24492.0,706.0,9180.0,2947.0,59806.0,,,,,259.0,3915.0,1367.0,20692.0,512.0,7756.0,2138.0,54046.0,0.3,14.2
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,50.0,4684.0,264.0,24756.0,99.0,9279.0,413.0,60218.0,,,,,36.0,3951.0,191.0,20883.0,71.0,7827.0,298.0,54344.0,0.0,14.3
post-use,13.14,14.454000000000002,0.0,152108.64,0,29000,0,-7500,0.0,4684.0,0.0,24756.0,0.0,9279.0,0.0,60218.0,0,29000,0.0,-7317.0,0.0,3951.0,0.0,20883.0,0.0,7827.0,0.0,54344.0,0.0,14.3
