period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,402.0,402.0,1884.0,1884.0,770.0,770.0,-4444.0,24556.0,-4444.0,-4444.0,,,-7143.0,-7143.0,383.0,383.0,1794.0,1794.0,733.0,733.0,-4232.0,24768.0,-4232.0,-4232.0,0.4,10.2
2,2.0,2.0,12622.201554,25244.403108,,,,,402.0,804.0,1884.0,3768.0,770.0,1540.0,3056.0,27612.0,3056.0,-1388.0,,,,,365.0,748.0,1709.0,3503.0,698.0,1432.0,2772.0,27539.0,2772.0,-1461.0,0.4,10.6
3,3.0,3.0,12622.201554,37866.604662,,,,,402.0,1206.0,1884.0,5652.0,770.0,2310.0,3056.0,30668.0,3056.0,1668.0,,,,,347.0,1095.0,1627.0,5131.0,665.0,2097.0,2640.0,30179.0,2640.0,1179.0,0.4,10.9
4,4.0,4.0,12622.201554,50488.806216,,,,,402.0,1608.0,1884.0,7536.0,770.0,3080.0,3056.0,33724.0,3056.0,4724.0,,,,,331.0,1426.0,1550.0,6681.0,633.0,2730.0,2514.0,32693.0,2514.0,3693.0,0.4,11.3
5,5.0,5.0,12622.201554,63111.00777,,,,,402.0,2010.0,1884.0,9420.0,770.0,3850.0,3056.0,36780.0,3056.0,7780.0,,,,,315.0,1741.0,1476.0,8157.0,603.0,3333.0,2394.0,35088.0,2394.0,6088.0,0.4,11.7
6,6.0,6.0,12622.201554,75733.209324,,,,,402.0,2412.0,1884.0,11304.0,770.0,4620.0,3056.0,39836.0,3056.0,10836.0,,,,,300.0,2041.0,1406.0,9563.0,575.0,3908.0,2280.0,37368.0,2280.0,8368.0,0.4,12.0
7,7.0,7.0,12622.201554,88355.410878,,,,,402.0,2814.0,1884.0,13188.0,770.0,5390.0,3056.0,42892.0,3056.0,13892.0,,,,,286.0,2326.0,1339.0,10902.0,547.0,4455.0,2172.0,39540.0,2172.0,10540.0,0.4,12.4
8,8.0,8.0,12622.201554,100977.612432,,,,,402.0,3216.0,1884.0,15072.0,770.0,6160.0,3056.0,45948.0,3056.0,16948.0,,,,,272.0,2598.0,1275.0,12177.0,521.0,4976.0,2068.0,41609.0,2068.0,12609.0,0.4,12.8
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,362.0,3578.0,1696.0,16768.0,693.0,6853.0,2750.0,48698.0,2750.0,19698.0,,,,,234.0,2833.0,1098.0,13275.0,449.0,5425.0,1782.0,43390.0,1782.0,14390.0,0.3,13.1
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,29000,0,-7500,0.0,3578.0,0.0,16768.0,0.0,6853.0,0.0,48698.0,0.0,19698.0,0,29000,0.0,-7143.0,0.0,2833.0,0.0,13275.0,0.0,5425.0,0.0,43390.0,0.0,14390.0,0.0,13.1
