period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,29000,29000,,,0.0,0.0,0,0,0.0,0.0,29000.0,29000.0,0.0,0.0,29000,29000,,,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,29000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,430.0,430.0,1884,1884,815.0,815.0,1740.0,30740.0,1740.0,1740.0,,,-1355.0,-1355.0,419.0,419.0,1838.0,1838.0,795.0,795.0,1698.0,30698.0,1698.0,1698.0,3.5,13.3
2,2,2.0,13363.34444,26726.68888,,,,,430.0,859.0,1884,3768,815.0,1630.0,3129.0,33869.0,3129.0,4869.0,,,,,409.0,828.0,1793.0,3631.0,776.0,1571.0,2978.0,33676.0,2978.0,4676.0,3.5,16.7
3,3,3.0,13363.34444,40090.03332,,,,,430.0,1289.0,1884,5652,815.0,2445.0,3129.0,36998.0,3129.0,7998.0,,,,,399.0,1227.0,1749.0,5381.0,757.0,2328.0,2905.0,36581.0,2905.0,7581.0,3.5,20.2
4,4,4.0,13363.34444,53453.37776,,,,,430.0,1719.0,1884,7536,815.0,3261.0,3129.0,40127.0,3129.0,11127.0,,,,,389.0,1616.0,1707.0,7088.0,738.0,3067.0,2835.0,39416.0,2835.0,10416.0,3.5,23.7
5,5,5.0,13363.34444,66816.7222,,,,,430.0,2148.0,1884,9420,815.0,4076.0,3129.0,43255.0,3129.0,14255.0,,,,,380.0,1996.0,1665.0,8753.0,720.0,3787.0,2765.0,42181.0,2765.0,13181.0,3.5,27.1
6,6,6.0,13363.34444,80180.06664,,,,,430.0,2578.0,1884,11304,815.0,4891.0,3129.0,46384.0,3129.0,17384.0,,,,,370.0,2367.0,1625.0,10377.0,703.0,4490.0,2698.0,44879.0,2698.0,15879.0,3.5,30.6
7,7,7.0,13363.34444,93543.41108,,,,,430.0,3008.0,1884,13188,815.0,5706.0,3129.0,49513.0,3129.0,20513.0,,,,,361.0,2728.0,1585.0,11962.0,686.0,5176.0,2632.0,47511.0,2632.0,18511.0,3.5,34.0
8,8,8.0,13363.34444,106906.75552,,,,,430.0,3437.0,1884,15072,815.0,6521.0,3129.0,52642.0,3129.0,23642.0,,,,,353.0,3081.0,1546.0,13509.0,669.0,5845.0,2568.0,50079.0,2568.0,21079.0,3.5,37.5
9,9,9.0,13363.34444,120270.09996,,,,,430.0,3867.0,1884,16956,815.0,7336.0,3129.0,55771.0,3129.0,26771.0,,,,,344.0,3425.0,1509.0,15017.0,653.0,6498.0,2505.0,52585.0,2505.0,23585.0,3.5,41.0
10,10,10.0,13363.34444,133633.4444,,,,,430.0,4297.0,1884,18840,815.0,8152.0,3129.0,58900.0,3129.0,29900.0,,,,,336.0,3760.0,1472.0,16489.0,637.0,7134.0,2444.0,55029.0,2444.0,26029.0,3.5,44.4
11,11,11.0,13363.34444,146996.78884,,,,,430.0,4726.0,1884,20724,815.0,8967.0,3129.0,62028.0,3129.0,33028.0,,,,,327.0,4088.0,1436.0,17925.0,621.0,7756.0,2385.0,57414.0,2385.0,28414.0,3.5,47.9
12,12,12.0,13363.34444,160360.13328,,,,,430.0,5156.0,1884,22608,815.0,9782.0,3129.0,65157.0,3129.0,36157.0,,,,,319.0,4407.0,1401.0,19326.0,606.0,8362.0,2326.0,59740.0,2326.0,30740.0,3.5,51.3
13,13,13.0,13363.34444,173723.47772000002,,,,,430.0,5586.0,1884,24492,815.0,10597.0,3129.0,68286.0,3129.0,39286.0,,,,,312.0,4719.0,1367.0,20692.0,591.0,8953.0,2270.0,62010.0,2270.0,33010.0,3.5,54.8
post-use,13,14.3,0.0,173723.47772000002,0,29000,0.0,-1389.0,0.0,5586.0,0,24492,0.0,10597.0,0.0,68286.0,0.0,39286.0,0,29000,0.0,-1355.0,0.0,4719.0,0.0,20692.0,0.0,8953.0,0.0,62010.0,0.0,33010.0,0.0,54.8
