period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,836.0,836.0,1884,1884,815.0,815.0,2146.0,62146.0,2146.0,2146.0,,,-1323.0,-1323.0,796.0,796.0,1794.0,1794.0,776.0,776.0,2044.0,62044.0,2044.0,2044.0,2.7,12.5
2,2,2.0,13363.34444,26726.68888,,,,,836.0,1672.0,1884,3768,815.0,1630.0,3535.0,65681.0,3535.0,5681.0,,,,,758.0,1554.0,1709.0,3503.0,739.0,1516.0,3206.0,65251.0,3206.0,5251.0,2.7,15.3
3,3,3.0,13363.34444,40090.03332,,,,,836.0,2508.0,1884,5652,815.0,2445.0,3535.0,69216.0,3535.0,9216.0,,,,,722.0,2276.0,1627.0,5131.0,704.0,2220.0,3054.0,68304.0,3054.0,8304.0,2.7,18.0
4,4,4.0,13363.34444,53453.37776,,,,,836.0,3343.0,1884,7536,815.0,3261.0,3535.0,72751.0,3535.0,12751.0,,,,,688.0,2964.0,1550.0,6681.0,671.0,2891.0,2908.0,71212.0,2908.0,11212.0,2.7,20.7
5,5,5.0,13363.34444,66816.7222,,,,,836.0,4179.0,1884,9420,815.0,4076.0,3535.0,76286.0,3535.0,16286.0,,,,,655.0,3619.0,1476.0,8157.0,639.0,3529.0,2770.0,73982.0,2770.0,13982.0,2.7,23.4
6,6,6.0,13363.34444,80180.06664,,,,,836.0,5015.0,1884,11304,815.0,4891.0,3535.0,79821.0,3535.0,19821.0,,,,,624.0,4243.0,1406.0,9563.0,608.0,4138.0,2638.0,76620.0,2638.0,16620.0,2.7,26.1
7,7,7.0,13363.34444,93543.41108,,,,,836.0,5851.0,1884,13188,815.0,5706.0,3535.0,83356.0,3535.0,23356.0,,,,,594.0,4837.0,1339.0,10902.0,579.0,4717.0,2512.0,79132.0,2512.0,19132.0,2.7,28.8
8,8,8.0,13363.34444,106906.75552,,,,,836.0,6687.0,1884,15072,815.0,6521.0,3535.0,86892.0,3535.0,26892.0,,,,,566.0,5402.0,1275.0,12177.0,552.0,5269.0,2393.0,81525.0,2393.0,21525.0,2.7,31.5
9,9,9.0,13363.34444,120270.09996,,,,,836.0,7523.0,1884,16956,815.0,7336.0,3535.0,90427.0,3535.0,30427.0,,,,,539.0,5941.0,1214.0,13391.0,525.0,5794.0,2279.0,83804.0,2279.0,23804.0,2.7,34.3
10,10,10.0,13363.34444,133633.4444,,,,,836.0,8359.0,1884,18840,815.0,8152.0,3535.0,93962.0,3535.0,33962.0,,,,,513.0,6454.0,1157.0,14548.0,500.0,6294.0,2170.0,85974.0,2170.0,25974.0,2.7,37.0
11,11,11.0,13363.34444,146996.78884,,,,,836.0,9194.0,1884,20724,815.0,8967.0,3535.0,97497.0,3535.0,37497.0,,,,,489.0,6943.0,1102.0,15649.0,477.0,6771.0,2067.0,88041.0,2067.0,28041.0,2.7,39.7
12,12,12.0,13363.34444,160360.13328,,,,,836.0,10030.0,1884,22608,815.0,9782.0,3535.0,101032.0,3535.0,41032.0,,,,,465.0,7408.0,1049.0,16698.0,454.0,7225.0,1968.0,90009.0,1968.0,30009.0,2.7,42.4
13,13,13.0,13363.34444,173723.47772000002,,,,,836.0,10866.0,1884,24492,815.0,10597.0,3535.0,104567.0,3535.0,44567.0,,,,,443.0,7852.0,999.0,17697.0,432.0,7657.0,1875.0,91884.0,1875.0,31884.0,2.7,45.1
post-use,13,14.3,0.0,173723.47772000002,0,60000,0.0,-1389.0,0.0,10866.0,0,24492,0.0,10597.0,0.0,104567.0,0.0,44567.0,0,60000,0.0,-1323.0,0.0,7852.0,0.0,17697.0,0.0,7657.0,0.0,91884.0,0.0,31884.0,0.0,45.1
