period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0,0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,929.0,929.0,1884,1884,875.0,875.0,-464.0,59536.0,-464.0,-464.0,,,-4052.0,-4052.0,907.0,907.0,1838.0,1838.0,854.0,854.0,-453.0,59547.0,-453.0,-453.0,2.9,12.7
2,2.0,2.0,14350.869023,28701.738046,,,,,929.0,1858.0,1884,3768,875.0,1751.0,3689.0,63224.0,3689.0,3224.0,,,,,884.0,1791.0,1793.0,3631.0,833.0,1687.0,3511.0,63058.0,3511.0,3058.0,2.9,15.7
3,3.0,3.0,14350.869023,43052.607069,,,,,929.0,2788.0,1884,5652,875.0,2626.0,3689.0,66913.0,3689.0,6913.0,,,,,863.0,2654.0,1749.0,5381.0,813.0,2500.0,3425.0,66483.0,3425.0,6483.0,2.9,18.6
4,4.0,4.0,14350.869023,57403.476092,,,,,929.0,3717.0,1884,7536,875.0,3502.0,3689.0,70602.0,3689.0,10602.0,,,,,842.0,3496.0,1707.0,7088.0,793.0,3293.0,3342.0,69825.0,3342.0,9825.0,2.9,21.5
5,5.0,5.0,14350.869023,71754.345115,,,,,929.0,4646.0,1884,9420,875.0,4377.0,3689.0,74290.0,3689.0,14290.0,,,,,821.0,4317.0,1665.0,8753.0,774.0,4067.0,3260.0,73085.0,3260.0,13085.0,2.9,24.4
6,6.0,6.0,14350.869023,86105.21413800001,,,,,929.0,5575.0,1884,11304,875.0,5252.0,3689.0,77979.0,3689.0,17979.0,,,,,801.0,5118.0,1625.0,10377.0,755.0,4822.0,3181.0,76266.0,3181.0,16266.0,2.9,27.3
7,7.0,7.0,14350.869023,100456.08316100002,,,,,929.0,6505.0,1884,13188,875.0,6128.0,3689.0,81668.0,3689.0,21668.0,,,,,782.0,5900.0,1585.0,11962.0,736.0,5558.0,3103.0,79369.0,3103.0,19369.0,2.9,30.2
8,8.0,8.0,14350.869023,114806.95218400002,,,,,929.0,7434.0,1884,15072,875.0,7003.0,3689.0,85356.0,3689.0,25356.0,,,,,763.0,6663.0,1546.0,13509.0,718.0,6277.0,3027.0,82396.0,3027.0,22396.0,2.9,33.1
9,9.0,9.0,14350.869023,129157.82120700003,,,,,929.0,8363.0,1884,16956,875.0,7879.0,3689.0,89045.0,3689.0,29045.0,,,,,744.0,7407.0,1509.0,15017.0,701.0,6978.0,2954.0,85350.0,2954.0,25350.0,2.9,36.1
10,10.0,10.0,14350.869023,143508.69023000004,,,,,929.0,9292.0,1884,18840,875.0,8754.0,3689.0,92734.0,3689.0,32734.0,,,,,726.0,8133.0,1472.0,16489.0,684.0,7662.0,2882.0,88232.0,2882.0,28232.0,2.9,39.0
11,11.0,11.0,14350.869023,157859.55925300004,,,,,929.0,10222.0,1884,20724,875.0,9629.0,3689.0,96422.0,3689.0,36422.0,,,,,708.0,8841.0,1436.0,17925.0,667.0,8329.0,2811.0,91043.0,2811.0,31043.0,2.9,41.9
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,465.0,10686.0,942,21666,438.0,10067.0,1844.0,98266.0,1844.0,38266.0,,,,,350.0,9191.0,709.0,18634.0,329.0,8658.0,1388.0,92431.0,1388.0,32431.0,1.5,43.4
post-use,11.5,12.65,0.0,165034.99376450005,0,60000,0,-4153,0.0,10686.0,0,21666,0.0,10067.0,0.0,98266.0,0.0,38266.0,0,60000,0.0,-4052.0,0.0,9191.0,0.0,18634.0,0.0,8658.0,0.0,92431.0,0.0,32431.0,0.0,43.4
