period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12954.19509,12954.19509,,,-7500,-7500,707.0,707.0,1884.0,1884.0,790.0,790.0,-4118.0,55882.0,-4118.0,-4118.0,,,-7143.0,-7143.0,674.0,674.0,1794.0,1794.0,753.0,753.0,-3922.0,56078.0,-3922.0,-3922.0,0.7,10.5
2,2.0,2.0,12954.19509,25908.39018,,,,,707.0,1415.0,1884.0,3768.0,790.0,1580.0,3382.0,59263.0,3382.0,-737.0,,,,,642.0,1315.0,1709.0,3503.0,717.0,1469.0,3067.0,59145.0,3067.0,-855.0,0.7,11.1
3,3.0,3.0,12954.19509,38862.585269999996,,,,,707.0,2122.0,1884.0,5652.0,790.0,2371.0,3382.0,62645.0,3382.0,2645.0,,,,,611.0,1926.0,1627.0,5131.0,683.0,2152.0,2921.0,62066.0,2921.0,2066.0,0.7,11.8
4,4.0,4.0,12954.19509,51816.78036,,,,,707.0,2829.0,1884.0,7536.0,790.0,3161.0,3382.0,66026.0,3382.0,6026.0,,,,,582.0,2508.0,1550.0,6681.0,650.0,2802.0,2782.0,64848.0,2782.0,4848.0,0.7,12.4
5,5.0,5.0,12954.19509,64770.97545,,,,,707.0,3536.0,1884.0,9420.0,790.0,3951.0,3382.0,69408.0,3382.0,9408.0,,,,,554.0,3062.0,1476.0,8157.0,619.0,3421.0,2649.0,67497.0,2649.0,7497.0,0.7,13.1
6,6.0,6.0,12954.19509,77725.17053999999,,,,,707.0,4244.0,1884.0,11304.0,790.0,4741.0,3382.0,72789.0,3382.0,12789.0,,,,,528.0,3590.0,1406.0,9563.0,590.0,4011.0,2523.0,70021.0,2523.0,10021.0,0.7,13.7
7,7.0,7.0,12954.19509,90679.36562999999,,,,,707.0,4951.0,1884.0,13188.0,790.0,5531.0,3382.0,76171.0,3382.0,16171.0,,,,,503.0,4093.0,1339.0,10902.0,562.0,4572.0,2403.0,72424.0,2403.0,12424.0,0.7,14.4
8,8.0,8.0,12954.19509,103633.56071999998,,,,,707.0,5658.0,1884.0,15072.0,790.0,6322.0,3382.0,79552.0,3382.0,19552.0,,,,,479.0,4571.0,1275.0,12177.0,535.0,5107.0,2289.0,74713.0,2289.0,14713.0,0.7,15.0
9,9.0,9.0,12954.19509,116587.75580999997,,,,,707.0,6366.0,1884.0,16956.0,790.0,7112.0,3382.0,82934.0,3382.0,22934.0,,,,,456.0,5027.0,1214.0,13391.0,509.0,5617.0,2180.0,76892.0,2180.0,16892.0,0.7,15.7
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,637.0,7002.0,1696.0,18652.0,711.0,7823.0,3043.0,85977.0,3043.0,25977.0,,,,,393.0,5420.0,1046.0,14437.0,439.0,6055.0,1877.0,78770.0,1877.0,18770.0,0.6,16.3
post-use,9.9,10.89,0.0,128246.53139099998,0,60000,0,-7500,0.0,7002.0,0.0,18652.0,0.0,7823.0,0.0,85977.0,0.0,25977.0,0,60000,0.0,-7143.0,0.0,5420.0,0.0,14437.0,0.0,6055.0,0.0,78770.0,0.0,18770.0,0.0,16.3
