period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2027.0,2027.0,1788.0,1788.0,1308.0,1308.0,5123.0,55229.0,5123.0,5123.0,,,,,1930.0,1930.0,1703.0,1703.0,1246.0,1246.0,4879.0,54985.0,4879.0,4879.0,4.4,9.8
2,2.0,2.0,12954.19509,25908.39018,,,,,2027.0,4053.0,1788.0,3576.0,1308.0,2617.0,5123.0,60352.0,5123.0,10246.0,,,,,1838.0,3768.0,1622.0,3325.0,1187.0,2433.0,4647.0,59632.0,4647.0,9526.0,4.4,14.2
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2027.0,6080.0,1788.0,5364.0,1308.0,3925.0,5123.0,65475.0,5123.0,15369.0,,,,,1751.0,5519.0,1545.0,4869.0,1130.0,3563.0,4426.0,64057.0,4426.0,13951.0,4.4,18.5
4,4.0,4.0,12954.19509,51816.78036,,,,,2027.0,8107.0,1788.0,7152.0,1308.0,5233.0,5123.0,70598.0,5123.0,20492.0,,,,,1667.0,7187.0,1471.0,6340.0,1076.0,4639.0,4215.0,68272.0,4215.0,18166.0,4.4,22.9
5,5.0,5.0,12954.19509,64770.97545,,,,,2027.0,10134.0,1788.0,8940.0,1308.0,6542.0,5123.0,75721.0,5123.0,25615.0,,,,,1588.0,8775.0,1401.0,7741.0,1025.0,5665.0,4014.0,72286.0,4014.0,22180.0,4.4,27.2
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2027.0,12160.0,1788.0,10728.0,1308.0,7850.0,5123.0,80844.0,5123.0,30738.0,,,,,1512.0,10287.0,1334.0,9075.0,976.0,6641.0,3823.0,76109.0,3823.0,26003.0,4.4,31.6
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2027.0,14187.0,1788.0,12516.0,1308.0,9159.0,5123.0,85968.0,5123.0,35862.0,,,,,1440.0,11727.0,1271.0,10346.0,930.0,7571.0,3641.0,79750.0,3641.0,29644.0,4.4,36.0
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2027.0,16214.0,1788.0,14304.0,1308.0,10467.0,5123.0,91091.0,5123.0,40985.0,,,,,1372.0,13099.0,1210.0,11556.0,886.0,8456.0,3468.0,83218.0,3468.0,33112.0,4.4,40.3
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2027.0,18240.0,1788.0,16092.0,1308.0,11775.0,5123.0,96214.0,5123.0,46108.0,,,,,1306.0,14405.0,1153.0,12709.0,843.0,9300.0,3302.0,86520.0,3302.0,36414.0,4.4,44.7
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1824.0,20064.0,1609.0,17701.0,1178.0,12953.0,4611.0,100824.0,4611.0,50718.0,,,,,1125.0,15531.0,993.0,13702.0,726.0,10026.0,2844.0,89364.0,2844.0,39258.0,3.9,48.6
post-use,9.9,10.89,0.0,128246.53139099998,0,50106,0,0,0.0,20064.0,0.0,17701.0,0.0,12953.0,0.0,100824.0,0.0,50718.0,0,50106,0,0,0.0,15531.0,0.0,13702.0,0.0,10026.0,0.0,89364.0,0.0,39258.0,0.0,48.6
