period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1804.0,1804.0,1788.0,1788.0,1165.0,1165.0,4757.0,54863.0,4757.0,4757.0,,,,,1719.0,1719.0,1703.0,1703.0,1109.0,1109.0,4531.0,54637.0,4531.0,4531.0,3.9,9.3
2,2.0,2.0,11533.46302,23066.92604,,,,,1804.0,3609.0,1788.0,3576.0,1165.0,2330.0,4757.0,59621.0,4757.0,9515.0,,,,,1637.0,3355.0,1622.0,3325.0,1057.0,2166.0,4315.0,58952.0,4315.0,8846.0,3.9,13.2
3,3.0,3.0,11533.46302,34600.38906,,,,,1804.0,5413.0,1788.0,5364.0,1165.0,3495.0,4757.0,64378.0,4757.0,14272.0,,,,,1559.0,4914.0,1545.0,4869.0,1006.0,3172.0,4110.0,63061.0,4110.0,12955.0,3.9,17.1
4,4.0,4.0,11533.46302,46133.85208,,,,,1804.0,7218.0,1788.0,7152.0,1165.0,4660.0,4757.0,69135.0,4757.0,19029.0,,,,,1485.0,6398.0,1471.0,6340.0,958.0,4131.0,3914.0,66975.0,3914.0,16869.0,3.9,21.0
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1804.0,9022.0,1788.0,8940.0,1165.0,5824.0,4757.0,73893.0,4757.0,23787.0,,,,,1414.0,7812.0,1401.0,7741.0,913.0,5043.0,3727.0,70703.0,3727.0,20597.0,3.9,24.9
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1804.0,10827.0,1788.0,10728.0,1165.0,6989.0,4757.0,78650.0,4757.0,28544.0,,,,,1346.0,9159.0,1334.0,9075.0,869.0,5913.0,3550.0,74253.0,3550.0,24147.0,3.9,28.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1804.0,12631.0,1788.0,12516.0,1165.0,8154.0,4757.0,83407.0,4757.0,33301.0,,,,,1282.0,10441.0,1271.0,10346.0,828.0,6740.0,3381.0,77634.0,3381.0,27528.0,3.9,32.6
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1804.0,14435.0,1788.0,14304.0,1165.0,9319.0,4757.0,88164.0,4757.0,38058.0,,,,,1221.0,11662.0,1210.0,11556.0,788.0,7529.0,3220.0,80854.0,3220.0,30748.0,3.9,36.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1624.0,16059.0,1609.0,15913.0,1048.0,10367.0,4282.0,92446.0,4282.0,42340.0,,,,,1052.0,12714.0,1042.0,12599.0,679.0,8208.0,2773.0,83627.0,2773.0,33521.0,3.5,40.0
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,50106,0,0,0.0,16059.0,0.0,15913.0,0.0,10367.0,0.0,92446.0,0.0,42340.0,0,50106,0,0,0.0,12714.0,0.0,12599.0,0.0,8208.0,0.0,83627.0,0.0,33521.0,0.0,40.0
