period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1703.0,1703.0,1788.0,1788.0,1180.0,1180.0,4672.0,54778.0,,,,,1662.0,1662.0,1744.0,1744.0,1152.0,1152.0,4558.0,54664.0,3.9,9.4
2,2.0,2.0,11687.0,23374.0,,,,,1703.0,3406.0,1788.0,3576.0,1180.0,2361.0,4672.0,59449.0,,,,,1621.0,3283.0,1702.0,3446.0,1124.0,2275.0,4446.0,59110.0,3.9,13.3
3,3.0,3.0,11687.0,35061.0,,,,,1703.0,5109.0,1788.0,5364.0,1180.0,3541.0,4672.0,64121.0,,,,,1582.0,4864.0,1660.0,5107.0,1096.0,3371.0,4338.0,63448.0,3.9,17.3
4,4.0,4.0,11687.0,46748.0,,,,,1703.0,6813.0,1788.0,7152.0,1180.0,4722.0,4672.0,68792.0,,,,,1543.0,6407.0,1620.0,6726.0,1069.0,4441.0,4232.0,67680.0,3.9,21.2
5,5.0,5.0,11687.0,58435.0,,,,,1703.0,8516.0,1788.0,8940.0,1180.0,5902.0,4672.0,73464.0,,,,,1505.0,7912.0,1580.0,8307.0,1043.0,5484.0,4129.0,71809.0,3.9,25.1
6,6.0,6.0,11687.0,70122.0,,,,,1703.0,10219.0,1788.0,10728.0,1180.0,7082.0,4672.0,78135.0,,,,,1469.0,9381.0,1542.0,9849.0,1018.0,6502.0,4028.0,75837.0,3.9,29.0
7,7.0,7.0,11687.0,81809.0,,,,,1703.0,11922.0,1788.0,12516.0,1180.0,8263.0,4672.0,82807.0,,,,,1433.0,10814.0,1504.0,11353.0,993.0,7495.0,3930.0,79767.0,3.9,33.0
8,8.0,8.0,11687.0,93496.0,,,,,1703.0,13625.0,1788.0,14304.0,1180.0,9443.0,4672.0,87478.0,,,,,1398.0,12212.0,1467.0,12820.0,969.0,8464.0,3834.0,83601.0,3.9,36.9
9,9.0,9.0,11687.0,105183.0,,,,,1703.0,15328.0,1788.0,16092.0,1180.0,10623.0,4672.0,92150.0,,,,,1364.0,13575.0,1432.0,14252.0,945.0,9409.0,3741.0,87342.0,3.9,40.8
10,10.0,10.0,11687.0,116870.0,,,,,1703.0,17031.0,1788.0,17880.0,1180.0,11804.0,4672.0,96821.0,,,,,1330.0,14906.0,1397.0,15649.0,922.0,10331.0,3649.0,90991.0,3.9,44.8
11,11.0,11.0,11687.0,128557.0,,,,,1703.0,18734.0,1788.0,19668.0,1180.0,12984.0,4672.0,101493.0,,,,,1298.0,16204.0,1363.0,17011.0,900.0,11230.0,3560.0,94552.0,3.9,48.7
12,12.0,12.0,11687.0,140244.0,,,,,1703.0,20438.0,1788.0,21456.0,1180.0,14165.0,4672.0,106164.0,,,,,1266.0,17470.0,1329.0,18341.0,878.0,12108.0,3474.0,98025.0,3.9,52.6
13,13.0,13.0,11687.0,151931.0,,,,,1703.0,22141.0,1788.0,23244.0,1180.0,15345.0,4672.0,110836.0,,,,,1235.0,18706.0,1297.0,19638.0,856.0,12964.0,3389.0,101414.0,3.9,56.5
14,14.0,14.0,11687.0,163618.0,,,,,1703.0,23844.0,1788.0,25032.0,1180.0,16525.0,4672.0,115507.0,,,,,1205.0,19911.0,1265.0,20903.0,835.0,13800.0,3306.0,104720.0,3.9,60.5
15,15.0,15.0,11687.0,175305.0,,,,,1703.0,25547.0,1788.0,26820.0,1180.0,17706.0,4672.0,120179.0,,,,,1176.0,21087.0,1235.0,22138.0,815.0,14615.0,3226.0,107946.0,3.9,64.4
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,681.0,26228.0,715.0,27535.0,472.0,18178.0,1869.0,122047.0,,,,,466.0,21553.0,489.0,22627.0,323.0,14938.0,1278.0,109223.0,1.6,66.0
post-use,15.4,16.94,0.0,179979.80000000002,0,50106,0,0,0.0,26228.0,0.0,27535.0,0.0,18178.0,0.0,122047.0,0,50106,0,0,0.0,21553.0,0.0,22627.0,0.0,14938.0,0.0,109223.0,0.0,66.0
