period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1585.0,1585.0,1788.0,1788.0,1180.0,1180.0,4553.0,54659.0,,,,,1546.0,1546.0,1744.0,1744.0,1152.0,1152.0,4442.0,54548.0,3.9,9.4
2,2.0,2.0,11687.0,23374.0,,,,,1585.0,3169.0,1788.0,3576.0,1180.0,2361.0,4553.0,59212.0,,,,,1508.0,3054.0,1702.0,3446.0,1124.0,2275.0,4334.0,58881.0,3.9,13.3
3,3.0,3.0,11687.0,35061.0,,,,,1585.0,4754.0,1788.0,5364.0,1180.0,3541.0,4553.0,63765.0,,,,,1471.0,4525.0,1660.0,5107.0,1096.0,3371.0,4228.0,63109.0,3.9,17.3
4,4.0,4.0,11687.0,46748.0,,,,,1585.0,6338.0,1788.0,7152.0,1180.0,4722.0,4553.0,68318.0,,,,,1435.0,5961.0,1620.0,6726.0,1069.0,4441.0,4125.0,67234.0,3.9,21.2
5,5.0,5.0,11687.0,58435.0,,,,,1585.0,7923.0,1788.0,8940.0,1180.0,5902.0,4553.0,72870.0,,,,,1400.0,7361.0,1580.0,8307.0,1043.0,5484.0,4024.0,71258.0,3.9,25.1
6,6.0,6.0,11687.0,70122.0,,,,,1585.0,9507.0,1788.0,10728.0,1180.0,7082.0,4553.0,77423.0,,,,,1366.0,8728.0,1542.0,9849.0,1018.0,6502.0,3926.0,75184.0,3.9,29.0
7,7.0,7.0,11687.0,81809.0,,,,,1585.0,11092.0,1788.0,12516.0,1180.0,8263.0,4553.0,81976.0,,,,,1333.0,10061.0,1504.0,11353.0,993.0,7495.0,3830.0,79014.0,3.9,33.0
8,8.0,8.0,11687.0,93496.0,,,,,1585.0,12676.0,1788.0,14304.0,1180.0,9443.0,4553.0,86529.0,,,,,1300.0,11361.0,1467.0,12820.0,969.0,8464.0,3737.0,82751.0,3.9,36.9
9,9.0,9.0,11687.0,105183.0,,,,,1585.0,14261.0,1788.0,16092.0,1180.0,10623.0,4553.0,91082.0,,,,,1269.0,12630.0,1432.0,14252.0,945.0,9409.0,3646.0,86397.0,3.9,40.8
10,10.0,10.0,11687.0,116870.0,,,,,1585.0,15845.0,1788.0,17880.0,1180.0,11804.0,4553.0,95635.0,,,,,1238.0,13868.0,1397.0,15649.0,922.0,10331.0,3557.0,89953.0,3.9,44.8
11,11.0,11.0,11687.0,128557.0,,,,,1585.0,17430.0,1788.0,19668.0,1180.0,12984.0,4553.0,100188.0,,,,,1208.0,15075.0,1363.0,17011.0,900.0,11230.0,3470.0,93423.0,3.9,48.7
12,12.0,12.0,11687.0,140244.0,,,,,1585.0,19014.0,1788.0,21456.0,1180.0,14165.0,4553.0,104741.0,,,,,1178.0,16254.0,1329.0,18341.0,878.0,12108.0,3385.0,96809.0,3.9,52.6
13,13.0,13.0,11687.0,151931.0,,,,,1585.0,20599.0,1788.0,23244.0,1180.0,15345.0,4553.0,109294.0,,,,,1149.0,17403.0,1297.0,19638.0,856.0,12964.0,3303.0,100111.0,3.9,56.5
14,14.0,14.0,11687.0,163618.0,,,,,1585.0,22183.0,1788.0,25032.0,1180.0,16525.0,4553.0,113847.0,,,,,1121.0,18524.0,1265.0,20903.0,835.0,13800.0,3222.0,103334.0,3.9,60.5
15,15.0,15.0,11687.0,175305.0,,,,,1585.0,23768.0,1788.0,26820.0,1180.0,17706.0,4553.0,118399.0,,,,,1094.0,19618.0,1235.0,22138.0,815.0,14615.0,3144.0,106477.0,3.9,64.4
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,634.0,24401.0,715.0,27535.0,472.0,18178.0,1821.0,120221.0,,,,,433.0,20052.0,489.0,22627.0,323.0,14938.0,1245.0,107722.0,1.6,66.0
post-use,15.4,16.94,0.0,179979.80000000002,0,50106,0,0,0.0,24401.0,0.0,27535.0,0.0,18178.0,0.0,120221.0,0,50106,0,0,0.0,20052.0,0.0,22627.0,0.0,14938.0,0.0,107722.0,0.0,66.0
