period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2006.0,2006.0,1788.0,1788.0,1308.0,1308.0,5103.0,55209.0,5103.0,5103.0,,,,,1911.0,1911.0,1703.0,1703.0,1246.0,1246.0,4860.0,54966.0,4860.0,4860.0,4.4,9.8
2,2.0,2.0,12954.19509,25908.39018,,,,,2006.0,4013.0,1788.0,3576.0,1308.0,2617.0,5103.0,60312.0,5103.0,10206.0,,,,,1820.0,3731.0,1622.0,3325.0,1187.0,2433.0,4628.0,59594.0,4628.0,9488.0,4.4,14.2
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2006.0,6019.0,1788.0,5364.0,1308.0,3925.0,5103.0,65414.0,5103.0,15308.0,,,,,1733.0,5464.0,1545.0,4869.0,1130.0,3563.0,4408.0,64002.0,4408.0,13896.0,4.4,18.5
4,4.0,4.0,12954.19509,51816.78036,,,,,2006.0,8026.0,1788.0,7152.0,1308.0,5233.0,5103.0,70517.0,5103.0,20411.0,,,,,1651.0,7115.0,1471.0,6340.0,1076.0,4639.0,4198.0,68200.0,4198.0,18094.0,4.4,22.9
5,5.0,5.0,12954.19509,64770.97545,,,,,2006.0,10032.0,1788.0,8940.0,1308.0,6542.0,5103.0,75620.0,5103.0,25514.0,,,,,1572.0,8687.0,1401.0,7741.0,1025.0,5665.0,3998.0,72199.0,3998.0,22093.0,4.4,27.2
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2006.0,12039.0,1788.0,10728.0,1308.0,7850.0,5103.0,80723.0,5103.0,30617.0,,,,,1497.0,10184.0,1334.0,9075.0,976.0,6641.0,3808.0,76006.0,3808.0,25900.0,4.4,31.6
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2006.0,14045.0,1788.0,12516.0,1308.0,9159.0,5103.0,85826.0,5103.0,35720.0,,,,,1426.0,11610.0,1271.0,10346.0,930.0,7571.0,3626.0,79633.0,3626.0,29527.0,4.4,36.0
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2006.0,16052.0,1788.0,14304.0,1308.0,10467.0,5103.0,90929.0,5103.0,40823.0,,,,,1358.0,12968.0,1210.0,11556.0,886.0,8456.0,3454.0,83087.0,3454.0,32981.0,4.4,40.3
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2006.0,18058.0,1788.0,16092.0,1308.0,11775.0,5103.0,96031.0,5103.0,45925.0,,,,,1293.0,14261.0,1153.0,12709.0,843.0,9300.0,3289.0,86376.0,3289.0,36270.0,4.4,44.7
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1806.0,19864.0,1609.0,17701.0,1178.0,12953.0,4593.0,100624.0,4593.0,50518.0,,,,,1114.0,15375.0,993.0,13702.0,726.0,10026.0,2833.0,89209.0,2833.0,39103.0,3.9,48.6
post-use,9.9,10.89,0.0,128246.53139099998,0,50106,0,0,0.0,19864.0,0.0,17701.0,0.0,12953.0,0.0,100624.0,0.0,50518.0,0,50106,0,0,0.0,15375.0,0.0,13702.0,0.0,10026.0,0.0,89209.0,0.0,39103.0,0.0,48.6
