period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,2070.0,2070.0,1788,1788,1350.0,1350.0,5208.0,55314.0,5208.0,5208.0,,,,,1971.0,1971.0,1703.0,1703.0,1285.0,1285.0,4960.0,55066.0,4960.0,4960.0,4.5,10.0
2,2,2.0,13363.34444,26726.68888,,,,,2070.0,4140.0,1788,3576,1350.0,2699.0,5208.0,60521.0,5208.0,10415.0,,,,,1877.0,3849.0,1622.0,3325.0,1224.0,2510.0,4723.0,59789.0,4723.0,9683.0,4.5,14.5
3,3,3.0,13363.34444,40090.03332,,,,,2070.0,6209.0,1788,5364,1350.0,4049.0,5208.0,65729.0,5208.0,15623.0,,,,,1788.0,5637.0,1545.0,4869.0,1166.0,3676.0,4498.0,64287.0,4498.0,14181.0,4.5,18.9
4,4,4.0,13363.34444,53453.37776,,,,,2070.0,8279.0,1788,7152,1350.0,5399.0,5208.0,70936.0,5208.0,20830.0,,,,,1703.0,7339.0,1471.0,6340.0,1110.0,4786.0,4284.0,68572.0,4284.0,18466.0,4.5,23.4
5,5,5.0,13363.34444,66816.7222,,,,,2070.0,10349.0,1788,8940,1350.0,6748.0,5208.0,76144.0,5208.0,26038.0,,,,,1622.0,8961.0,1401.0,7741.0,1058.0,5843.0,4080.0,72652.0,4080.0,22546.0,4.5,27.9
6,6,6.0,13363.34444,80180.06664,,,,,2070.0,12419.0,1788,10728,1350.0,8098.0,5208.0,81351.0,5208.0,31245.0,,,,,1545.0,10506.0,1334.0,9075.0,1007.0,6851.0,3886.0,76538.0,3886.0,26432.0,4.5,32.4
7,7,7.0,13363.34444,93543.41108,,,,,2070.0,14489.0,1788,12516,1350.0,9448.0,5208.0,86559.0,5208.0,36453.0,,,,,1471.0,11977.0,1271.0,10346.0,959.0,7810.0,3701.0,80239.0,3701.0,30133.0,4.5,36.9
8,8,8.0,13363.34444,106906.75552,,,,,2070.0,16558.0,1788,14304,1350.0,10798.0,5208.0,91766.0,5208.0,41660.0,,,,,1401.0,13378.0,1210.0,11556.0,914.0,8723.0,3525.0,83763.0,3525.0,33657.0,4.5,41.4
9,9,9.0,13363.34444,120270.09996,,,,,2070.0,18628.0,1788,16092,1350.0,12147.0,5208.0,96974.0,5208.0,46868.0,,,,,1334.0,14712.0,1153.0,12709.0,870.0,9593.0,3357.0,87120.0,3357.0,37014.0,4.5,45.9
10,10,10.0,13363.34444,133633.4444,,,,,2070.0,20698.0,1788,17880,1350.0,13497.0,5208.0,102181.0,5208.0,52075.0,,,,,1271.0,15983.0,1098.0,13806.0,829.0,10422.0,3197.0,90317.0,3197.0,40211.0,4.5,50.4
11,11,11.0,13363.34444,146996.78884,,,,,2070.0,22768.0,1788,19668,1350.0,14847.0,5208.0,107389.0,5208.0,57283.0,,,,,1210.0,17193.0,1045.0,14852.0,789.0,11211.0,3045.0,93362.0,3045.0,43256.0,4.5,54.9
12,12,12.0,13363.34444,160360.13328,,,,,2070.0,24838.0,1788,21456,1350.0,16196.0,5208.0,112596.0,5208.0,62490.0,,,,,1153.0,18345.0,996.0,15847.0,752.0,11963.0,2900.0,96261.0,2900.0,46155.0,4.5,59.4
13,13,13.0,13363.34444,173723.47772000002,,,,,2070.0,26908.0,1788,23244,1350.0,17546.0,5208.0,117804.0,5208.0,67698.0,,,,,1098.0,19443.0,948.0,16796.0,716.0,12678.0,2762.0,99023.0,2762.0,48917.0,4.5,63.9
post-use,13,14.3,0.0,173723.47772000002,0,50106,0,0,0.0,26908.0,0,23244,0.0,17546.0,0.0,117804.0,0.0,67698.0,0,50106,0,0,0.0,19443.0,0.0,16796.0,0.0,12678.0,0.0,99023.0,0.0,48917.0,0.0,63.9
