period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1786.0,1786.0,1788.0,1788.0,1165.0,1165.0,4739.0,54845.0,4739.0,4739.0,,,,,1743.0,1743.0,1744.0,1744.0,1136.0,1136.0,4624.0,54730.0,4624.0,4624.0,3.9,9.3
2,2.0,2.0,11533.46302,23066.92604,,,,,1786.0,3573.0,1788.0,3576.0,1165.0,2330.0,4739.0,59585.0,4739.0,9479.0,,,,,1700.0,3443.0,1702.0,3446.0,1109.0,2245.0,4511.0,59241.0,4511.0,9135.0,3.9,13.2
3,3.0,3.0,11533.46302,34600.38906,,,,,1786.0,5359.0,1788.0,5364.0,1165.0,3495.0,4739.0,64324.0,4739.0,14218.0,,,,,1659.0,5102.0,1660.0,5107.0,1082.0,3327.0,4401.0,63641.0,4401.0,13535.0,3.9,17.1
4,4.0,4.0,11533.46302,46133.85208,,,,,1786.0,7146.0,1788.0,7152.0,1165.0,4660.0,4739.0,69063.0,4739.0,18957.0,,,,,1618.0,6720.0,1620.0,6726.0,1055.0,4382.0,4294.0,67935.0,4294.0,17829.0,3.9,21.0
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1786.0,8932.0,1788.0,8940.0,1165.0,5824.0,4739.0,73802.0,4739.0,23696.0,,,,,1579.0,8299.0,1580.0,8307.0,1030.0,5412.0,4189.0,72124.0,4189.0,22018.0,3.9,24.9
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1786.0,10718.0,1788.0,10728.0,1165.0,6989.0,4739.0,78542.0,4739.0,28436.0,,,,,1540.0,9840.0,1542.0,9849.0,1004.0,6416.0,4087.0,76210.0,4087.0,26104.0,3.9,28.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1786.0,12505.0,1788.0,12516.0,1165.0,8154.0,4739.0,83281.0,4739.0,33175.0,,,,,1503.0,11342.0,1504.0,11353.0,980.0,7396.0,3987.0,80197.0,3987.0,30091.0,3.9,32.6
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1786.0,14291.0,1788.0,14304.0,1165.0,9319.0,4739.0,88020.0,4739.0,37914.0,,,,,1466.0,12809.0,1467.0,12820.0,956.0,8352.0,3890.0,84087.0,3890.0,33981.0,3.9,36.5
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1608.0,15899.0,1609.0,15913.0,1048.0,10367.0,4265.0,92285.0,4265.0,42179.0,,,,,1291.0,14099.0,1292.0,14112.0,842.0,9194.0,3424.0,87511.0,3424.0,37405.0,3.5,40.0
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,50106,0,0,0.0,15899.0,0.0,15913.0,0.0,10367.0,0.0,92285.0,0.0,42179.0,0,50106,0,0,0.0,14099.0,0.0,14112.0,0.0,9194.0,0.0,87511.0,0.0,37405.0,0.0,40.0
