period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0,0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1795.0,1795.0,1788,1788,1350.0,1350.0,4933.0,55039.0,4933.0,4933.0,,,,,1709.0,1709.0,1703.0,1703.0,1285.0,1285.0,4698.0,54804.0,4698.0,4698.0,4.5,10.0
2,2,2.0,13363.34444,26726.68888,,,,,1795.0,3590.0,1788,3576,1350.0,2699.0,4933.0,59971.0,4933.0,9865.0,,,,,1628.0,3338.0,1622.0,3325.0,1224.0,2510.0,4474.0,59278.0,4474.0,9172.0,4.5,14.5
3,3,3.0,13363.34444,40090.03332,,,,,1795.0,5385.0,1788,5364,1350.0,4049.0,4933.0,64904.0,4933.0,14798.0,,,,,1551.0,4888.0,1545.0,4869.0,1166.0,3676.0,4261.0,63539.0,4261.0,13433.0,4.5,18.9
4,4,4.0,13363.34444,53453.37776,,,,,1795.0,7180.0,1788,7152,1350.0,5399.0,4933.0,69837.0,4933.0,19731.0,,,,,1477.0,6365.0,1471.0,6340.0,1110.0,4786.0,4058.0,67597.0,4058.0,17491.0,4.5,23.4
5,5,5.0,13363.34444,66816.7222,,,,,1795.0,8975.0,1788,8940,1350.0,6748.0,4933.0,74769.0,4933.0,24663.0,,,,,1406.0,7771.0,1401.0,7741.0,1058.0,5843.0,3865.0,71462.0,3865.0,21356.0,4.5,27.9
6,6,6.0,13363.34444,80180.06664,,,,,1795.0,10770.0,1788,10728,1350.0,8098.0,4933.0,79702.0,4933.0,29596.0,,,,,1339.0,9111.0,1334.0,9075.0,1007.0,6851.0,3681.0,75143.0,3681.0,25037.0,4.5,32.4
7,7,7.0,13363.34444,93543.41108,,,,,1795.0,12565.0,1788,12516,1350.0,9448.0,4933.0,84635.0,4933.0,34529.0,,,,,1276.0,10386.0,1271.0,10346.0,959.0,7810.0,3506.0,78648.0,3506.0,28542.0,4.5,36.9
8,8,8.0,13363.34444,106906.75552,,,,,1795.0,14360.0,1788,14304,1350.0,10798.0,4933.0,89567.0,4933.0,39461.0,,,,,1215.0,11601.0,1210.0,11556.0,914.0,8723.0,3339.0,81987.0,3339.0,31881.0,4.5,41.4
9,9,9.0,13363.34444,120270.09996,,,,,1795.0,16155.0,1788,16092,1350.0,12147.0,4933.0,94500.0,4933.0,44394.0,,,,,1157.0,12758.0,1153.0,12709.0,870.0,9593.0,3180.0,85166.0,3180.0,35060.0,4.5,45.9
10,10,10.0,13363.34444,133633.4444,,,,,1795.0,17950.0,1788,17880,1350.0,13497.0,4933.0,99433.0,4933.0,49327.0,,,,,1102.0,13860.0,1098.0,13806.0,829.0,10422.0,3028.0,88195.0,3028.0,38089.0,4.5,50.4
11,11,11.0,13363.34444,146996.78884,,,,,1795.0,19745.0,1788,19668,1350.0,14847.0,4933.0,104365.0,4933.0,54259.0,,,,,1049.0,14910.0,1045.0,14852.0,789.0,11211.0,2884.0,91079.0,2884.0,40973.0,4.5,54.9
12,12,12.0,13363.34444,160360.13328,,,,,1795.0,21540.0,1788,21456,1350.0,16196.0,4933.0,109298.0,4933.0,59192.0,,,,,1000.0,15909.0,996.0,15847.0,752.0,11963.0,2747.0,93825.0,2747.0,43719.0,4.5,59.4
13,13,13.0,13363.34444,173723.47772000002,,,,,1795.0,23334.0,1788,23244,1350.0,17546.0,4933.0,114231.0,4933.0,64125.0,,,,,952.0,16861.0,948.0,16796.0,716.0,12678.0,2616.0,96441.0,2616.0,46335.0,4.5,63.9
post-use,13,14.3,0.0,173723.47772000002,0,50106,0,0,0.0,23334.0,0,23244,0.0,17546.0,0.0,114231.0,0.0,64125.0,0,50106,0,0,0.0,16861.0,0.0,16796.0,0.0,12678.0,0.0,96441.0,0.0,46335.0,0.0,63.9
