period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2303.0,2303.0,1788.0,1788.0,1308.0,1308.0,5399.0,55505.0,5399.0,5399.0,,,,,2247.0,2247.0,1744.0,1744.0,1276.0,1276.0,5268.0,55374.0,5268.0,5268.0,4.4,9.8
2,2.0,2.0,12954.19509,25908.39018,,,,,2303.0,4606.0,1788.0,3576.0,1308.0,2617.0,5399.0,60905.0,5399.0,10799.0,,,,,2192.0,4439.0,1702.0,3446.0,1245.0,2522.0,5139.0,60513.0,5139.0,10407.0,4.4,14.2
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2303.0,6909.0,1788.0,5364.0,1308.0,3925.0,5399.0,66304.0,5399.0,16198.0,,,,,2139.0,6578.0,1660.0,5107.0,1215.0,3737.0,5014.0,65527.0,5014.0,15421.0,4.4,18.5
4,4.0,4.0,12954.19509,51816.78036,,,,,2303.0,9212.0,1788.0,7152.0,1308.0,5233.0,5399.0,71704.0,5399.0,21598.0,,,,,2086.0,8664.0,1620.0,6726.0,1185.0,4922.0,4892.0,70418.0,4892.0,20312.0,4.4,22.9
5,5.0,5.0,12954.19509,64770.97545,,,,,2303.0,11515.0,1788.0,8940.0,1308.0,6542.0,5399.0,77103.0,5399.0,26997.0,,,,,2036.0,10699.0,1580.0,8307.0,1156.0,6078.0,4772.0,75191.0,4772.0,25085.0,4.4,27.2
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2303.0,13818.0,1788.0,10728.0,1308.0,7850.0,5399.0,82502.0,5399.0,32396.0,,,,,1986.0,12685.0,1542.0,9849.0,1128.0,7207.0,4656.0,79847.0,4656.0,29741.0,4.4,31.6
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2303.0,16121.0,1788.0,12516.0,1308.0,9159.0,5399.0,87902.0,5399.0,37796.0,,,,,1937.0,14623.0,1504.0,11353.0,1101.0,8307.0,4542.0,84389.0,4542.0,34283.0,4.4,36.0
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2303.0,18424.0,1788.0,14304.0,1308.0,10467.0,5399.0,93301.0,5399.0,43195.0,,,,,1890.0,16513.0,1467.0,12820.0,1074.0,9381.0,4432.0,88820.0,4432.0,38714.0,4.4,40.3
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2303.0,20727.0,1788.0,16092.0,1308.0,11775.0,5399.0,98701.0,5399.0,48595.0,,,,,1844.0,18357.0,1432.0,14252.0,1048.0,10429.0,4323.0,93144.0,4323.0,43038.0,4.4,44.7
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,2073.0,22800.0,1609.0,17701.0,1178.0,12953.0,4859.0,103560.0,4859.0,53454.0,,,,,1623.0,19980.0,1260.0,15512.0,922.0,11351.0,3806.0,96950.0,3806.0,46844.0,3.9,48.6
post-use,9.9,10.89,0.0,128246.53139099998,0,50106,0,0,0.0,22800.0,0.0,17701.0,0.0,12953.0,0.0,103560.0,0.0,53454.0,0,50106,0,0,0.0,19980.0,0.0,15512.0,0.0,11351.0,0.0,96950.0,0.0,46844.0,0.0,48.6
