period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.5,5.5
1,1.0,1.0,13821.181558,13821.181558,,,,,1537.0,1537.0,1788.0,1788.0,1396.0,1396.0,4721.0,54827.0,4721.0,4721.0,,,,,1464.0,1464.0,1703.0,1703.0,1329.0,1329.0,4496.0,54602.0,4496.0,4496.0,4.6,10.1
2,2.0,2.0,13821.181558,27642.363116,,,,,1537.0,3075.0,1788.0,3576.0,1396.0,2792.0,4721.0,59549.0,4721.0,9443.0,,,,,1394.0,2859.0,1622.0,3325.0,1266.0,2596.0,4282.0,58885.0,4282.0,8779.0,4.6,14.8
3,3.0,3.0,13821.181558,41463.544674000004,,,,,1537.0,4612.0,1788.0,5364.0,1396.0,4188.0,4721.0,64270.0,4721.0,14164.0,,,,,1328.0,4187.0,1545.0,4869.0,1206.0,3801.0,4078.0,62963.0,4078.0,12857.0,4.6,19.4
4,4.0,4.0,13821.181558,55284.726232,,,,,1537.0,6150.0,1788.0,7152.0,1396.0,5584.0,4721.0,68991.0,4721.0,18885.0,,,,,1265.0,5451.0,1471.0,6340.0,1148.0,4950.0,3884.0,66848.0,3884.0,16742.0,4.6,24.1
5,5.0,5.0,13821.181558,69105.90779,,,,,1537.0,7687.0,1788.0,8940.0,1396.0,6980.0,4721.0,73713.0,4721.0,23607.0,,,,,1205.0,6656.0,1401.0,7741.0,1094.0,6044.0,3699.0,70547.0,3699.0,20441.0,4.6,28.7
6,6.0,6.0,13821.181558,82927.089348,,,,,1537.0,9224.0,1788.0,10728.0,1396.0,8376.0,4721.0,78434.0,4721.0,28328.0,,,,,1147.0,7803.0,1334.0,9075.0,1042.0,7085.0,3523.0,74070.0,3523.0,23964.0,4.6,33.3
7,7.0,7.0,13821.181558,96748.27090599999,,,,,1537.0,10762.0,1788.0,12516.0,1396.0,9772.0,4721.0,83155.0,4721.0,33049.0,,,,,1093.0,8896.0,1271.0,10346.0,992.0,8077.0,3355.0,77425.0,3355.0,27319.0,4.6,38.0
8,8.0,8.0,13821.181558,110569.45246399999,,,,,1537.0,12299.0,1788.0,14304.0,1396.0,11168.0,4721.0,87877.0,4721.0,37771.0,,,,,1041.0,9936.0,1210.0,11556.0,945.0,9022.0,3196.0,80621.0,3196.0,30515.0,4.6,42.6
9,9.0,9.0,13821.181558,124390.63402199998,,,,,1537.0,13836.0,1788.0,16092.0,1396.0,12563.0,4721.0,92598.0,4721.0,42492.0,,,,,991.0,10927.0,1153.0,12709.0,900.0,9922.0,3043.0,83664.0,3043.0,33558.0,4.6,47.3
10,10.0,10.0,13821.181558,138211.81558,,,,,1537.0,15374.0,1788.0,17880.0,1396.0,13959.0,4721.0,97319.0,4721.0,47213.0,,,,,944.0,11871.0,1098.0,13806.0,857.0,10779.0,2898.0,86563.0,2898.0,36457.0,4.6,51.9
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,1076.0,16450.0,1252.0,19132.0,977.0,14937.0,3305.0,100624.0,3305.0,50518.0,,,,,638.0,12510.0,743.0,14549.0,580.0,11359.0,1961.0,88524.0,1961.0,38418.0,3.3,55.2
post-use,10.7,11.77,0.0,147886.64267059998,0,50106,0,0,0.0,16450.0,0.0,19132.0,0.0,14937.0,0.0,100624.0,0.0,50518.0,0,50106,0,0,0.0,12510.0,0.0,14549.0,0.0,11359.0,0.0,88524.0,0.0,38418.0,0.0,55.2
