period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,756.0,756.0,1884.0,1884.0,713.0,713.0,-4147.0,67853.0,,,-7317.0,-7317.0,737.0,737.0,1838.0,1838.0,696.0,696.0,-4046.0,67954.0,2.3,12.1
2,2.0,2.0,11687.0,23374.0,,,,,756.0,1511.0,1884.0,3768.0,713.0,1426.0,3353.0,71205.0,,,,,719.0,1457.0,1793.0,3631.0,679.0,1374.0,3191.0,71145.0,2.3,14.4
3,3.0,3.0,11687.0,35061.0,,,,,756.0,2267.0,1884.0,5652.0,713.0,2139.0,3353.0,74558.0,,,,,702.0,2158.0,1749.0,5381.0,662.0,2036.0,3113.0,74258.0,2.3,16.8
4,4.0,4.0,11687.0,46748.0,,,,,756.0,3023.0,1884.0,7536.0,713.0,2852.0,3353.0,77911.0,,,,,685.0,2843.0,1707.0,7088.0,646.0,2682.0,3037.0,77296.0,2.3,19.1
5,5.0,5.0,11687.0,58435.0,,,,,756.0,3779.0,1884.0,9420.0,713.0,3565.0,3353.0,81263.0,,,,,668.0,3511.0,1665.0,8753.0,630.0,3312.0,2963.0,80259.0,2.3,21.4
6,6.0,6.0,11687.0,70122.0,,,,,756.0,4534.0,1884.0,11304.0,713.0,4277.0,3353.0,84616.0,,,,,652.0,4163.0,1625.0,10377.0,615.0,3927.0,2891.0,83150.0,2.3,23.7
7,7.0,7.0,11687.0,81809.0,,,,,756.0,5290.0,1884.0,13188.0,713.0,4990.0,3353.0,87969.0,,,,,636.0,4799.0,1585.0,11962.0,600.0,4527.0,2820.0,85970.0,2.3,26.0
8,8.0,8.0,11687.0,93496.0,,,,,756.0,6046.0,1884.0,15072.0,713.0,5703.0,3353.0,91321.0,,,,,620.0,5419.0,1546.0,13509.0,585.0,5112.0,2752.0,88722.0,2.3,28.3
9,9.0,9.0,11687.0,105183.0,,,,,756.0,6802.0,1884.0,16956.0,713.0,6416.0,3353.0,94674.0,,,,,605.0,6024.0,1509.0,15017.0,571.0,5682.0,2685.0,91406.0,2.3,30.6
10,10.0,10.0,11687.0,116870.0,,,,,756.0,7557.0,1884.0,18840.0,713.0,7129.0,3353.0,98027.0,,,,,590.0,6614.0,1472.0,16489.0,557.0,6239.0,2619.0,94026.0,2.3,32.9
11,11.0,11.0,11687.0,128557.0,,,,,756.0,8313.0,1884.0,20724.0,713.0,7842.0,3353.0,101379.0,,,,,576.0,7190.0,1436.0,17925.0,543.0,6783.0,2555.0,96581.0,2.3,35.3
12,12.0,12.0,11687.0,140244.0,,,,,756.0,9069.0,1884.0,22608.0,713.0,8555.0,3353.0,104732.0,,,,,562.0,7752.0,1401.0,19326.0,530.0,7313.0,2493.0,99074.0,2.3,37.6
13,13.0,13.0,11687.0,151931.0,,,,,756.0,9825.0,1884.0,24492.0,713.0,9268.0,3353.0,108085.0,,,,,548.0,8301.0,1367.0,20692.0,517.0,7830.0,2432.0,101506.0,2.3,39.9
14,14.0,14.0,11687.0,163618.0,,,,,756.0,10580.0,1884.0,26376.0,713.0,9981.0,3353.0,111437.0,,,,,535.0,8835.0,1333.0,22026.0,505.0,8335.0,2373.0,103879.0,2.3,42.2
15,15.0,15.0,11687.0,175305.0,,,,,756.0,11336.0,1884.0,28260.0,713.0,10694.0,3353.0,114790.0,,,,,522.0,9357.0,1301.0,23327.0,492.0,8827.0,2315.0,106193.0,2.3,44.5
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,302.0,11639.0,754.0,29014.0,285.0,10979.0,1341.0,116131.0,,,,,207.0,9564.0,515.0,23842.0,195.0,9022.0,917.0,107110.0,0.9,45.4
post-use,15.4,16.94,0.0,179979.80000000002,0,72000,0,-7500,0.0,11639.0,0.0,29014.0,0.0,10979.0,0.0,116131.0,0,72000,0.0,-7317.0,0.0,9564.0,0.0,23842.0,0.0,9022.0,0.0,107110.0,0.0,45.4
