period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,731.0,731.0,1884.0,1884.0,713.0,713.0,-4172.0,67828.0,,,-7317.0,-7317.0,713.0,713.0,1838.0,1838.0,696.0,696.0,-4070.0,67930.0,2.4,12.2
2,2.0,2.0,11687.0,23374.0,,,,,731.0,1462.0,1884.0,3768.0,713.0,1426.0,3328.0,71156.0,,,,,696.0,1409.0,1793.0,3631.0,679.0,1374.0,3168.0,71097.0,2.4,14.6
3,3.0,3.0,11687.0,35061.0,,,,,731.0,2193.0,1884.0,5652.0,713.0,2139.0,3328.0,74484.0,,,,,679.0,2088.0,1749.0,5381.0,662.0,2036.0,3090.0,74188.0,2.4,16.9
4,4.0,4.0,11687.0,46748.0,,,,,731.0,2924.0,1884.0,7536.0,713.0,2852.0,3328.0,77812.0,,,,,662.0,2750.0,1707.0,7088.0,646.0,2682.0,3015.0,77202.0,2.4,19.3
5,5.0,5.0,11687.0,58435.0,,,,,731.0,3655.0,1884.0,9420.0,713.0,3565.0,3328.0,81140.0,,,,,646.0,3396.0,1665.0,8753.0,630.0,3312.0,2941.0,80144.0,2.4,21.7
6,6.0,6.0,11687.0,70122.0,,,,,731.0,4386.0,1884.0,11304.0,713.0,4277.0,3328.0,84467.0,,,,,630.0,4026.0,1625.0,10377.0,615.0,3927.0,2870.0,83013.0,2.4,24.1
7,7.0,7.0,11687.0,81809.0,,,,,731.0,5117.0,1884.0,13188.0,713.0,4990.0,3328.0,87795.0,,,,,615.0,4641.0,1585.0,11962.0,600.0,4527.0,2800.0,85813.0,2.4,26.4
8,8.0,8.0,11687.0,93496.0,,,,,731.0,5848.0,1884.0,15072.0,713.0,5703.0,3328.0,91123.0,,,,,600.0,5241.0,1546.0,13509.0,585.0,5112.0,2731.0,88545.0,2.4,28.8
9,9.0,9.0,11687.0,105183.0,,,,,731.0,6579.0,1884.0,16956.0,713.0,6416.0,3328.0,94451.0,,,,,585.0,5827.0,1509.0,15017.0,571.0,5682.0,2665.0,91209.0,2.4,31.2
10,10.0,10.0,11687.0,116870.0,,,,,731.0,7310.0,1884.0,18840.0,713.0,7129.0,3328.0,97779.0,,,,,571.0,6398.0,1472.0,16489.0,557.0,6239.0,2600.0,93809.0,2.4,33.6
11,11.0,11.0,11687.0,128557.0,,,,,731.0,8041.0,1884.0,20724.0,713.0,7842.0,3328.0,101107.0,,,,,557.0,6955.0,1436.0,17925.0,543.0,6783.0,2536.0,96345.0,2.4,35.9
12,12.0,12.0,11687.0,140244.0,,,,,731.0,8772.0,1884.0,22608.0,713.0,8555.0,3328.0,104435.0,,,,,544.0,7499.0,1401.0,19326.0,530.0,7313.0,2474.0,98820.0,2.4,38.3
13,13.0,13.0,11687.0,151931.0,,,,,731.0,9503.0,1884.0,24492.0,713.0,9268.0,3328.0,107763.0,,,,,530.0,8029.0,1367.0,20692.0,517.0,7830.0,2414.0,101234.0,2.4,40.7
14,14.0,14.0,11687.0,163618.0,,,,,731.0,10234.0,1884.0,26376.0,713.0,9981.0,3328.0,111091.0,,,,,517.0,8546.0,1333.0,22026.0,505.0,8335.0,2355.0,103589.0,2.4,43.1
15,15.0,15.0,11687.0,175305.0,,,,,731.0,10965.0,1884.0,28260.0,713.0,10694.0,3328.0,114419.0,,,,,505.0,9051.0,1301.0,23327.0,492.0,8827.0,2298.0,105887.0,2.4,45.4
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,292.0,11258.0,754.0,29014.0,285.0,10979.0,1331.0,115750.0,,,,,200.0,9251.0,515.0,23842.0,195.0,9022.0,910.0,106797.0,0.9,46.4
post-use,15.4,16.94,0.0,179979.80000000002,0,72000,0,-7500,0.0,11258.0,0.0,29014.0,0.0,10979.0,0.0,115750.0,0,72000,0.0,-7317.0,0.0,9251.0,0.0,23842.0,0.0,9022.0,0.0,106797.0,0.0,46.4
