period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,790.0,790.0,1884.0,1884.0,770.0,770.0,-4057.0,67943.0,-4057.0,-4057.0,,,-7143.0,-7143.0,752.0,752.0,1794.0,1794.0,733.0,733.0,-3863.0,68137.0,-3863.0,-3863.0,2.6,12.4
2,2.0,2.0,12622.201554,25244.403108,,,,,790.0,1579.0,1884.0,3768.0,770.0,1540.0,3443.0,71387.0,3443.0,-613.0,,,,,716.0,1468.0,1709.0,3503.0,698.0,1432.0,3123.0,71260.0,3123.0,-740.0,2.6,15.0
3,3.0,3.0,12622.201554,37866.604662,,,,,790.0,2369.0,1884.0,5652.0,770.0,2310.0,3443.0,74830.0,3443.0,2830.0,,,,,682.0,2150.0,1627.0,5131.0,665.0,2097.0,2975.0,74235.0,2975.0,2235.0,2.6,17.5
4,4.0,4.0,12622.201554,50488.806216,,,,,790.0,3158.0,1884.0,7536.0,770.0,3080.0,3443.0,78274.0,3443.0,6274.0,,,,,650.0,2800.0,1550.0,6681.0,633.0,2730.0,2833.0,77067.0,2833.0,5067.0,2.6,20.1
5,5.0,5.0,12622.201554,63111.00777,,,,,790.0,3948.0,1884.0,9420.0,770.0,3850.0,3443.0,81717.0,3443.0,9717.0,,,,,619.0,3418.0,1476.0,8157.0,603.0,3333.0,2698.0,79766.0,2698.0,7766.0,2.6,22.6
6,6.0,6.0,12622.201554,75733.209324,,,,,790.0,4737.0,1884.0,11304.0,770.0,4620.0,3443.0,85161.0,3443.0,13161.0,,,,,589.0,4007.0,1406.0,9563.0,575.0,3908.0,2570.0,82335.0,2570.0,10335.0,2.6,25.2
7,7.0,7.0,12622.201554,88355.410878,,,,,790.0,5527.0,1884.0,13188.0,770.0,5390.0,3443.0,88604.0,3443.0,16604.0,,,,,561.0,4568.0,1339.0,10902.0,547.0,4455.0,2447.0,84782.0,2447.0,12782.0,2.6,27.8
8,8.0,8.0,12622.201554,100977.612432,,,,,790.0,6316.0,1884.0,15072.0,770.0,6160.0,3443.0,92048.0,3443.0,20048.0,,,,,534.0,5103.0,1275.0,12177.0,521.0,4976.0,2331.0,87113.0,2331.0,15113.0,2.6,30.3
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,711.0,7027.0,1696.0,16768.0,693.0,6853.0,3099.0,95147.0,3099.0,23147.0,,,,,460.0,5563.0,1098.0,13275.0,449.0,5425.0,2007.0,89120.0,2007.0,17120.0,2.3,32.6
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,72000,0,-7500,0.0,7027.0,0.0,16768.0,0.0,6853.0,0.0,95147.0,0.0,23147.0,0,72000,0.0,-7143.0,0.0,5563.0,0.0,13275.0,0.0,5425.0,0.0,89120.0,0.0,17120.0,0.0,32.6
