period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,865.0,865.0,1884,1884,815.0,815.0,2176.0,74176.0,2176.0,2176.0,,,-1355.0,-1355.0,844.0,844.0,1838.0,1838.0,795.0,795.0,2123.0,74123.0,2123.0,2123.0,2.7,12.5
2,2,2.0,13363.34444,26726.68888,,,,,865.0,1731.0,1884,3768,815.0,1630.0,3564.0,77740.0,3564.0,5740.0,,,,,824.0,1668.0,1793.0,3631.0,776.0,1571.0,3393.0,77515.0,3393.0,5515.0,2.7,15.3
3,3,3.0,13363.34444,40090.03332,,,,,865.0,2596.0,1884,5652,815.0,2445.0,3564.0,81305.0,3564.0,9305.0,,,,,804.0,2471.0,1749.0,5381.0,757.0,2328.0,3310.0,80825.0,3310.0,8825.0,2.7,18.0
4,4,4.0,13363.34444,53453.37776,,,,,865.0,3461.0,1884,7536,815.0,3261.0,3564.0,84869.0,3564.0,12869.0,,,,,784.0,3255.0,1707.0,7088.0,738.0,3067.0,3229.0,84055.0,3229.0,12055.0,2.7,20.7
5,5,5.0,13363.34444,66816.7222,,,,,865.0,4327.0,1884,9420,815.0,4076.0,3564.0,88434.0,3564.0,16434.0,,,,,765.0,4020.0,1665.0,8753.0,720.0,3787.0,3150.0,87205.0,3150.0,15205.0,2.7,23.4
6,6,6.0,13363.34444,80180.06664,,,,,865.0,5192.0,1884,11304,815.0,4891.0,3564.0,91998.0,3564.0,19998.0,,,,,746.0,4766.0,1625.0,10377.0,703.0,4490.0,3074.0,90279.0,3074.0,18279.0,2.7,26.1
7,7,7.0,13363.34444,93543.41108,,,,,865.0,6057.0,1884,13188,815.0,5706.0,3564.0,95563.0,3564.0,23563.0,,,,,728.0,5494.0,1585.0,11962.0,686.0,5176.0,2999.0,93277.0,2999.0,21277.0,2.7,28.8
8,8,8.0,13363.34444,106906.75552,,,,,865.0,6922.0,1884,15072,815.0,6521.0,3564.0,99127.0,3564.0,27127.0,,,,,710.0,6204.0,1546.0,13509.0,669.0,5845.0,2926.0,96203.0,2926.0,24203.0,2.7,31.5
9,9,9.0,13363.34444,120270.09996,,,,,865.0,7788.0,1884,16956,815.0,7336.0,3564.0,102692.0,3564.0,30692.0,,,,,693.0,6897.0,1509.0,15017.0,653.0,6498.0,2854.0,99057.0,2854.0,27057.0,2.7,34.3
10,10,10.0,13363.34444,133633.4444,,,,,865.0,8653.0,1884,18840,815.0,8152.0,3564.0,106256.0,3564.0,34256.0,,,,,676.0,7573.0,1472.0,16489.0,637.0,7134.0,2785.0,101842.0,2785.0,29842.0,2.7,37.0
11,11,11.0,13363.34444,146996.78884,,,,,865.0,9518.0,1884,20724,815.0,8967.0,3564.0,109820.0,3564.0,37820.0,,,,,659.0,8233.0,1436.0,17925.0,621.0,7756.0,2717.0,104558.0,2717.0,32558.0,2.7,39.7
12,12,12.0,13363.34444,160360.13328,,,,,865.0,10384.0,1884,22608,815.0,9782.0,3564.0,113385.0,3564.0,41385.0,,,,,643.0,8876.0,1401.0,19326.0,606.0,8362.0,2650.0,107209.0,2650.0,35209.0,2.7,42.4
13,13,13.0,13363.34444,173723.47772000002,,,,,865.0,11249.0,1884,24492,815.0,10597.0,3564.0,116949.0,3564.0,44949.0,,,,,628.0,9504.0,1367.0,20692.0,591.0,8953.0,2586.0,109794.0,2586.0,37794.0,2.7,45.1
post-use,13,14.3,0.0,173723.47772000002,0,72000,0.0,-1389.0,0.0,11249.0,0,24492,0.0,10597.0,0.0,116949.0,0.0,44949.0,0,72000,0.0,-1355.0,0.0,9504.0,0.0,20692.0,0.0,8953.0,0.0,109794.0,0.0,37794.0,0.0,45.1
