period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1.0,1.0,14350.869023,14350.869023,,,-4153,-4153,758.0,758.0,1884,1884,875.0,875.0,-636.0,71364.0,-636.0,-636.0,,,-3955.0,-3955.0,721.0,721.0,1794.0,1794.0,834.0,834.0,-606.0,71394.0,-606.0,-606.0,0.7,10.5
2,2.0,2.0,14350.869023,28701.738046,,,,,758.0,1515.0,1884,3768,875.0,1751.0,3517.0,74881.0,3517.0,2881.0,,,,,687.0,1409.0,1709.0,3503.0,794.0,1628.0,3190.0,74584.0,3190.0,2584.0,0.7,11.3
3,3.0,3.0,14350.869023,43052.607069,,,,,758.0,2273.0,1884,5652,875.0,2626.0,3517.0,78398.0,3517.0,6398.0,,,,,654.0,2063.0,1627.0,5131.0,756.0,2384.0,3038.0,77622.0,3038.0,5622.0,0.7,12.0
4,4.0,4.0,14350.869023,57403.476092,,,,,758.0,3030.0,1884,7536,875.0,3502.0,3517.0,81915.0,3517.0,9915.0,,,,,623.0,2686.0,1550.0,6681.0,720.0,3104.0,2893.0,80516.0,2893.0,8516.0,0.7,12.7
5,5.0,5.0,14350.869023,71754.345115,,,,,758.0,3788.0,1884,9420,875.0,4377.0,3517.0,85432.0,3517.0,13432.0,,,,,594.0,3280.0,1476.0,8157.0,686.0,3790.0,2756.0,83271.0,2756.0,11271.0,0.7,13.4
6,6.0,6.0,14350.869023,86105.21413800001,,,,,758.0,4545.0,1884,11304,875.0,5252.0,3517.0,88949.0,3517.0,16949.0,,,,,565.0,3845.0,1406.0,9563.0,653.0,4443.0,2624.0,85896.0,2624.0,13896.0,0.7,14.2
7,7.0,7.0,14350.869023,100456.08316100002,,,,,758.0,5303.0,1884,13188,875.0,6128.0,3517.0,92465.0,3517.0,20465.0,,,,,538.0,4383.0,1339.0,10902.0,622.0,5065.0,2499.0,88395.0,2499.0,16395.0,0.7,14.9
8,8.0,8.0,14350.869023,114806.95218400002,,,,,758.0,6060.0,1884,15072,875.0,7003.0,3517.0,95982.0,3517.0,23982.0,,,,,513.0,4896.0,1275.0,12177.0,593.0,5658.0,2380.0,90775.0,2380.0,18775.0,0.7,15.6
9,9.0,9.0,14350.869023,129157.82120700003,,,,,758.0,6818.0,1884,16956,875.0,7879.0,3517.0,99499.0,3517.0,27499.0,,,,,488.0,5384.0,1214.0,13391.0,564.0,6222.0,2267.0,93042.0,2267.0,21042.0,0.7,16.3
10,10.0,10.0,14350.869023,143508.69023000004,,,,,758.0,7575.0,1884,18840,875.0,8754.0,3517.0,103016.0,3517.0,31016.0,,,,,465.0,5849.0,1157.0,14548.0,537.0,6760.0,2159.0,95202.0,2159.0,23202.0,0.7,17.1
11,11.0,11.0,14350.869023,157859.55925300004,,,,,758.0,8333.0,1884,20724,875.0,9629.0,3517.0,106533.0,3517.0,34533.0,,,,,443.0,6292.0,1102.0,15649.0,512.0,7271.0,2056.0,97258.0,2056.0,25258.0,0.7,17.8
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,379.0,8711.0,942,21666,438.0,10067.0,1758.0,108292.0,1758.0,36292.0,,,,,216.0,6508.0,537.0,16187.0,250.0,7521.0,1003.0,98261.0,1003.0,26261.0,0.4,18.1
post-use,11.5,12.65,0.0,165034.99376450005,0,72000,0,-4153,0.0,8711.0,0,21666,0.0,10067.0,0.0,108292.0,0.0,36292.0,0,72000,0.0,-3955.0,0.0,6508.0,0.0,16187.0,0.0,7521.0,0.0,98261.0,0.0,26261.0,0.0,18.1
