period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,72000,72000,,,0.0,0.0,0,0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,705.0,705.0,1884,1884,815.0,815.0,2016.0,74016.0,2016.0,2016.0,,,-1323.0,-1323.0,672.0,672.0,1794.0,1794.0,776.0,776.0,1920.0,73920.0,1920.0,1920.0,0.7,10.5
2,2,2.0,13363.34444,26726.68888,,,,,705.0,1411.0,1884,3768,815.0,1630.0,3405.0,77420.0,3405.0,5420.0,,,,,640.0,1312.0,1709.0,3503.0,739.0,1516.0,3088.0,77008.0,3088.0,5008.0,0.7,11.2
3,3,3.0,13363.34444,40090.03332,,,,,705.0,2116.0,1884,5652,815.0,2445.0,3405.0,80825.0,3405.0,8825.0,,,,,609.0,1921.0,1627.0,5131.0,704.0,2220.0,2941.0,79949.0,2941.0,7949.0,0.7,11.8
4,4,4.0,13363.34444,53453.37776,,,,,705.0,2822.0,1884,7536,815.0,3261.0,3405.0,84230.0,3405.0,12230.0,,,,,580.0,2501.0,1550.0,6681.0,671.0,2891.0,2801.0,82750.0,2801.0,10750.0,0.7,12.5
5,5,5.0,13363.34444,66816.7222,,,,,705.0,3527.0,1884,9420,815.0,4076.0,3405.0,87634.0,3405.0,15634.0,,,,,553.0,3054.0,1476.0,8157.0,639.0,3529.0,2668.0,85417.0,2668.0,13417.0,0.7,13.2
6,6,6.0,13363.34444,80180.06664,,,,,705.0,4232.0,1884,11304,815.0,4891.0,3405.0,91039.0,3405.0,19039.0,,,,,526.0,3580.0,1406.0,9563.0,608.0,4138.0,2541.0,87958.0,2541.0,15958.0,0.7,13.9
7,7,7.0,13363.34444,93543.41108,,,,,705.0,4938.0,1884,13188,815.0,5706.0,3405.0,94443.0,3405.0,22443.0,,,,,501.0,4082.0,1339.0,10902.0,579.0,4717.0,2420.0,90377.0,2420.0,18377.0,0.7,14.5
8,8,8.0,13363.34444,106906.75552,,,,,705.0,5643.0,1884,15072,815.0,6521.0,3405.0,97848.0,3405.0,25848.0,,,,,477.0,4559.0,1275.0,12177.0,552.0,5269.0,2304.0,92682.0,2304.0,20682.0,0.7,15.2
9,9,9.0,13363.34444,120270.09996,,,,,705.0,6349.0,1884,16956,815.0,7336.0,3405.0,101252.0,3405.0,29252.0,,,,,455.0,5014.0,1214.0,13391.0,525.0,5794.0,2195.0,94876.0,2195.0,22876.0,0.7,15.9
10,10,10.0,13363.34444,133633.4444,,,,,705.0,7054.0,1884,18840,815.0,8152.0,3405.0,104657.0,3405.0,32657.0,,,,,433.0,5447.0,1157.0,14548.0,500.0,6294.0,2090.0,96967.0,2090.0,24967.0,0.7,16.6
11,11,11.0,13363.34444,146996.78884,,,,,705.0,7759.0,1884,20724,815.0,8967.0,3405.0,108061.0,3405.0,36061.0,,,,,412.0,5859.0,1102.0,15649.0,477.0,6771.0,1991.0,98957.0,1991.0,26957.0,0.7,17.2
12,12,12.0,13363.34444,160360.13328,,,,,705.0,8465.0,1884,22608,815.0,9782.0,3405.0,111466.0,3405.0,39466.0,,,,,393.0,6252.0,1049.0,16698.0,454.0,7225.0,1896.0,100853.0,1896.0,28853.0,0.7,17.9
13,13,13.0,13363.34444,173723.47772000002,,,,,705.0,9170.0,1884,24492,815.0,10597.0,3405.0,114871.0,3405.0,42871.0,,,,,374.0,6626.0,999.0,17697.0,432.0,7657.0,1806.0,102658.0,1806.0,30658.0,0.7,18.6
post-use,13,14.3,0.0,173723.47772000002,0,72000,0.0,-1389.0,0.0,9170.0,0,24492,0.0,10597.0,0.0,114871.0,0.0,42871.0,0,72000,0.0,-1323.0,0.0,6626.0,0.0,17697.0,0.0,7657.0,0.0,102658.0,0.0,30658.0,0.0,18.6
