period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.1500000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,64207,64207,,,0.0,0.0,0,0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.5,5.5
1,1.0,1.0,14350.869023,14350.869023,,,,,3033.0,3033.0,1788,1788,1449.0,1449.0,6270.0,70477.0,6270.0,6270.0,,,,,2889.0,2889.0,1703.0,1703.0,1380.0,1380.0,5972.0,70179.0,5972.0,5972.0,6.6,12.1
2,2.0,2.0,14350.869023,28701.738046,,,,,3033.0,6066.0,1788,3576,1449.0,2899.0,6270.0,76748.0,6270.0,12541.0,,,,,2751.0,5640.0,1622.0,3325.0,1315.0,2695.0,5687.0,75866.0,5687.0,11659.0,6.6,18.7
3,3.0,3.0,14350.869023,43052.607069,,,,,3033.0,9099.0,1788,5364,1449.0,4348.0,6270.0,83018.0,6270.0,18811.0,,,,,2620.0,8260.0,1545.0,4869.0,1252.0,3947.0,5417.0,81283.0,5417.0,17076.0,6.6,25.3
4,4.0,4.0,14350.869023,57403.476092,,,,,3033.0,12132.0,1788,7152,1449.0,5798.0,6270.0,89289.0,6270.0,25082.0,,,,,2495.0,10755.0,1471.0,6340.0,1192.0,5140.0,5159.0,86442.0,5159.0,22235.0,6.6,31.9
5,5.0,5.0,14350.869023,71754.345115,,,,,3033.0,15165.0,1788,8940,1449.0,7247.0,6270.0,95559.0,6270.0,31352.0,,,,,2376.0,13131.0,1401.0,7741.0,1136.0,6275.0,4913.0,91355.0,4913.0,27148.0,6.6,38.6
6,6.0,6.0,14350.869023,86105.21413800001,,,,,3033.0,18198.0,1788,10728,1449.0,8697.0,6270.0,101830.0,6270.0,37623.0,,,,,2263.0,15394.0,1334.0,9075.0,1082.0,7357.0,4679.0,96034.0,4679.0,31827.0,6.6,45.2
7,7.0,7.0,14350.869023,100456.08316100002,,,,,3033.0,21231.0,1788,12516,1449.0,10146.0,6270.0,108100.0,6270.0,43893.0,,,,,2155.0,17550.0,1271.0,10346.0,1030.0,8387.0,4456.0,100490.0,4456.0,36283.0,6.6,51.8
8,8.0,8.0,14350.869023,114806.95218400002,,,,,3033.0,24264.0,1788,14304,1449.0,11596.0,6270.0,114370.0,6270.0,50163.0,,,,,2053.0,19603.0,1210.0,11556.0,981.0,9368.0,4244.0,104734.0,4244.0,40527.0,6.6,58.4
9,9.0,9.0,14350.869023,129157.82120700003,,,,,3033.0,27297.0,1788,16092,1449.0,13045.0,6270.0,120641.0,6270.0,56434.0,,,,,1955.0,21558.0,1153.0,12709.0,934.0,10302.0,4042.0,108776.0,4042.0,44569.0,6.6,65.0
10,10.0,10.0,14350.869023,143508.69023000004,,,,,3033.0,30330.0,1788,17880,1449.0,14494.0,6270.0,126911.0,6270.0,62704.0,,,,,1862.0,23420.0,1098.0,13806.0,890.0,11192.0,3849.0,112626.0,3849.0,48419.0,6.6,71.6
11,11.0,11.0,14350.869023,157859.55925300004,,,,,3033.0,33363.0,1788,19668,1449.0,15944.0,6270.0,133182.0,6270.0,68975.0,,,,,1773.0,25193.0,1045.0,14852.0,847.0,12040.0,3666.0,116292.0,3666.0,52085.0,6.6,78.3
11.5,11.5,11.5,7175.4345115,165034.99376450005,,,,,1516.0,34879.0,894,20562,725.0,16669.0,3135.0,136317.0,3135.0,72110.0,,,,,865.0,26058.0,510.0,15362.0,414.0,12453.0,1789.0,118081.0,1789.0,53874.0,3.3,81.6
post-use,11.5,12.65,0.0,165034.99376450005,0,64207,0,0,0.0,34879.0,0,20562,0.0,16669.0,0.0,136317.0,0.0,72110.0,0,64207,0,0,0.0,26058.0,0.0,15362.0,0.0,12453.0,0.0,118081.0,0.0,53874.0,0.0,81.6
