period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,64207,64207,,,0.0,0.0,0.0,0.0,0.0,0.0,64207.0,64207.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,2438.0,2438.0,1788.0,1788.0,1165.0,1165.0,5390.0,69597.0,5390.0,5390.0,,,,,2321.0,2321.0,1703.0,1703.0,1109.0,1109.0,5134.0,69341.0,5134.0,5134.0,5.3,10.8
2,2.0,2.0,11533.46302,23066.92604,,,,,2438.0,4875.0,1788.0,3576.0,1165.0,2330.0,5390.0,74988.0,5390.0,10781.0,,,,,2211.0,4532.0,1622.0,3325.0,1057.0,2166.0,4889.0,74230.0,4889.0,10023.0,5.3,16.1
3,3.0,3.0,11533.46302,34600.38906,,,,,2438.0,7313.0,1788.0,5364.0,1165.0,3495.0,5390.0,80378.0,5390.0,16171.0,,,,,2106.0,6638.0,1545.0,4869.0,1006.0,3172.0,4656.0,78886.0,4656.0,14679.0,5.3,21.4
4,4.0,4.0,11533.46302,46133.85208,,,,,2438.0,9750.0,1788.0,7152.0,1165.0,4660.0,5390.0,85769.0,5390.0,21562.0,,,,,2005.0,8643.0,1471.0,6340.0,958.0,4131.0,4435.0,83321.0,4435.0,19114.0,5.3,26.7
5,5.0,5.0,11533.46302,57667.31509999999,,,,,2438.0,12188.0,1788.0,8940.0,1165.0,5824.0,5390.0,91159.0,5390.0,26952.0,,,,,1910.0,10553.0,1401.0,7741.0,913.0,5043.0,4224.0,87545.0,4224.0,23338.0,5.3,32.1
6,6.0,6.0,11533.46302,69200.77811999999,,,,,2438.0,14625.0,1788.0,10728.0,1165.0,6989.0,5390.0,96550.0,5390.0,32343.0,,,,,1819.0,12372.0,1334.0,9075.0,869.0,5913.0,4022.0,91567.0,4022.0,27360.0,5.3,37.4
7,7.0,7.0,11533.46302,80734.24113999998,,,,,2438.0,17063.0,1788.0,12516.0,1165.0,8154.0,5390.0,101940.0,5390.0,37733.0,,,,,1732.0,14105.0,1271.0,10346.0,828.0,6740.0,3831.0,95398.0,3831.0,31191.0,5.3,42.7
8,8.0,8.0,11533.46302,92267.70415999998,,,,,2438.0,19500.0,1788.0,14304.0,1165.0,9319.0,5390.0,107330.0,5390.0,43123.0,,,,,1650.0,15754.0,1210.0,11556.0,788.0,7529.0,3648.0,99046.0,3648.0,34839.0,5.3,48.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,2194.0,21694.0,1609.0,15913.0,1048.0,10367.0,4851.0,112182.0,4851.0,47975.0,,,,,1421.0,17175.0,1042.0,12599.0,679.0,8208.0,3143.0,102189.0,3143.0,37982.0,4.8,52.8
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,64207,0,0,0.0,21694.0,0.0,15913.0,0.0,10367.0,0.0,112182.0,0.0,47975.0,0,64207,0,0,0.0,17175.0,0.0,12599.0,0.0,8208.0,0.0,102189.0,0.0,37982.0,0.0,52.8
